"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448972909202213455.ret"
""
"Cadastrado título novo: 9000007112 4556 - ASSOCIACAO DE MELHOR 31/10/2022 RG 1340,39 0"
"Cadastrado título novo: 9000007113 477 - TERRA DO PARAISO LTDA 10/10/2022 RG 782,12 0"
"Cadastrado título novo: 9000007114 2360 - ORION COMERCIO DE MI 31/10/2022 RG 222,08 0"
"Cadastrado título novo: 9000007115 411 - IOCHPE-MAXION S/A 31/10/2022 RG 1490,99 0"
"Cadastrado título novo: 9000007116 6966 - TONINPAR EMPREENDIME 31/10/2022 RG 1304,09 0"
"Pago título: 2220001891 3931 - MARCOS ANTONIO POLET 31/08/2022 LQ 213,21 219,5"
"Pago título: 2220002267 4650 - ABATEDOURO DE AVES I 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002279 3298 - ASSOC DO CONJUNTO RE 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002307 3340 - FRIGOGIL INDUSTRIAL 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002311 81 - CONPROP DO BRASIL EMPR 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002347 7361 - GENCONS EMPREENDIMEN 30/09/2022 LQ 214,67 214,67"
"Pago título: 2220002383 3150 - QUARTZO MINERACAO LT 30/09/2022 LQ 211,76 211,76"
"Pago título: 2220002443 1850 - DP & LF TRANSPORTES 30/09/2022 LQ 204,94 204,94"
"Pago título: 2220002459 3415 - CONDOMINIO EDIFICIO 30/09/2022 LQ 202,52 202,52"
"Pago título: 2220002475 835 - ARKEMA QUIMICA LTDA 30/09/2022 LQ 200,59 200,59"
"Pago título: 2220002549 7444 - THAIS REGINA ROCHITI 30/09/2022 LQ 232,93 232,93"
"Pago título: 2220002624 1383 - MAQUINAS FURLAN LTDA 30/09/2022 LQ 222,5 222,5"
"Pago título: 2220002644 3608 - BIONOVIS S.A.   CIA 30/09/2022 LQ 220,12 220,12"
"Pago título: 2220002789 3680 - T & K LOCACOES DE QU 30/09/2022 LQ 204,94 204,94"
"Pago título: 2220002824 853 - TAKASAGO FRANGANCIAS 30/09/2022 LQ 204,27 204,27"
"Pago título: 2220002854 4135 - ALCEBIADES FERREIRA 30/09/2022 LQ 232,66 232,66"
"Pago título: 2220002878 2362 - ASSOCIACAO  PROPRIET 30/09/2022 LQ 229,26 229,26"
"Pago título: 2220003250 286 - T.F.T. TECIDOS E FIOS 30/09/2022 LQ 201,13 201,13"
"Pago título: 2220003448 1132 - CIA SANEAMENTO BASIC 30/09/2022 LQ 19417,1 19417,1"
"Pago título: 2220003567 1129 - CIA SANEAMENTO BASIC 30/09/2022 LQ 9222,47 9222,47"
"Pago título: 2220003812 160 - ASSOCIACAO RESIDENCIA 30/09/2022 LQ 2850,29 2850,29"
"Pago título: 2220003833 1575 - SO AGUA COMERCIO E S 30/09/2022 LQ 2508,55 2508,55"
"Pago título: 2220003854 1128 - CIA SANEAMENTO BASIC 30/09/2022 LQ 2401,47 2401,47"
"Pago título: 2220004050 5076 - CLUBE DE CAMPO FAZEN 30/09/2022 LQ 1848,61 1848,61"
"Pago título: 2220004092 886 - PROVIDER INDUSTRIA E 30/09/2022 LQ 1786,86 1786,86"
"Pago título: 2220004141 357 - CONDOMINIO VILLE DE C 30/09/2022 LQ 1649,35 1649,35"
"Pago título: 2220004169 1926 - YADOYA INDUSTRIA E C 30/09/2022 LQ 1601,33 1601,33"
"Pago título: 2220004435 7373 - LEVISSIMA DISTRIBUIC 30/09/2022 LQ 1104,15 1104,15"
"Pago título: 2220004463 2751 - SERVICO AUTONOMO DE 30/09/2022 LQ 1075,62 1075,62"
"Pago título: 2220004582 421 - MARTINREA HONSEL BRAS 30/09/2022 LQ 991,24 991,24"
"Pago título: 2220004750 861 - HUDTELFA TEXTILE TECH 30/09/2022 LQ 867,19 867,19"
"Pago título: 2220004799 3622 - CONDOMINIO CAPELA DO 30/09/2022 LQ 838,11 838,11"
"Pago título: 2220004813 7213 - AGUAS DE MAIRIPORA L 30/09/2022 LQ 836,48 836,48"
"Pago título: 2220004932 4014 - ASSOC DOS PROPRIETAR 30/09/2022 LQ 752,83 752,83"
"Pago título: 2220005107 52 - ASSOCIACAO DOS PROPRIE 30/09/2022 LQ 670,76 670,76"
"Pago título: 2220005135 3899 - ASSOCIACAO RESIDENCI 30/09/2022 LQ 661,72 661,72"
"Pago título: 2220005212 356 - ESTANCIA ARVORE DA VI 30/09/2022 LQ 634,44 634,44"
"Pago título: 2220005226 1249 - ESTANCIA PARQUE ATIB 30/09/2022 LQ 631,77 631,77"
"Pago título: 2220005240 1139 - HOPI HARI S/A 30/09/2022 LQ 617,91 617,91"
"Pago título: 2220005394 5418 - SAMUEL SAMPAIO TOCAL 30/09/2022 LQ 567,91 567,91"
"Pago título: 2220005597 297 - CERAMICA CRISTOFOLETT 30/09/2022 LQ 501,89 501,89"
"Pago título: 2220005632 3345 - SAO PAULO SECRETARIA 30/09/2022 LQ 493,19 493,19"
"Pago título: 2220005660 1829 - NHEEL QUIMICA LTDA 30/09/2022 LQ 484,96 484,96"
"Pago título: 2220005793 5646 - MRV ENGENHARIA E PAR 30/09/2022 LQ 449,83 449,83"
"Pago título: 2220006017 3926 - HWT PROMOCOES ESPORT 30/09/2022 LQ 415,62 415,62"
"Pago título: 2220006101 3660 - SO AGUA COMERCIAL E 30/09/2022 LQ 401,51 401,51"
"Pago título: 2220006227 5652 - CONDOMINIO D. PEDRO 30/09/2022 LQ 376,41 376,41"
"Pago título: 2220006311 1972 - SINDICATO DOS TRAB I 30/09/2022 LQ 366,21 366,21"
"Pago título: 2220006325 841 - MAGNETI MARELLI SISTE 30/09/2022 LQ 365,06 365,06"
