"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448993009202214600.ret"
""
"Cadastrado título novo: 9000007117 6729 - ANTONIO RENAN FERRO 31/10/2022 RG 401,05 0"
"Cadastrado título novo: 9000007118 6729 - ANTONIO RENAN FERRO 30/11/2022 RG 401,05 0"
"Cadastrado título novo: 9000007119 6729 - ANTONIO RENAN FERRO 26/12/2022 RG 401,05 0"
"Cadastrado título novo: 9000007121 5035 - CLOSURE SYSTEMS INTE 31/10/2022 RG 1186,79 0"
"Cadastrado título novo: 9000007122 78 - RESTAURANTE IRMAOS MAR 31/10/2022 RG 383,11 0"
"Pago título: 2220002023 5564 - ASSOC DOS PROPRITARI 30/09/2022 LQ 245,76 245,76"
"Pago título: 2220002027 2967 - AGUA MINERAL CASTELO 30/09/2022 LQ 245,54 245,54"
"Pago título: 2220002035 2051 - BISCOITONE INDUSTRIA 30/09/2022 LQ 244,19 244,19"
"Pago título: 2220002047 522 - CONDOMINIO RESIDENCIA 30/09/2022 LQ 241,13 241,13"
"Pago título: 2220002051 1598 - ARTEC PISOS E REVEST 30/09/2022 LQ 239,4 239,4"
"Pago título: 2220002059 5571 - FENIX AGRO PECUS IND 30/09/2022 LQ 239,34 239,34"
"Pago título: 2220002067 1892 - INBRA INDUSTRIAS QUI 30/09/2022 LQ 238,55 238,55"
"Pago título: 2220002071 1020 - CONDOMINIO RESIDENCI 30/09/2022 LQ 236,42 236,42"
"Pago título: 2220002075 4148 - CHRISTEYNS BRASIL PR 30/09/2022 LQ 236,04 236,04"
"Pago título: 2220002079 3162 - CONGE FRUTAS LTDA EP 30/09/2022 LQ 234,65 234,65"
"Pago título: 2220002083 2798 - MINERADORA AGUA BRAN 30/09/2022 LQ 234,21 234,21"
"Pago título: 2220002095 3771 - INDUSTRIA E COMERCIO 30/09/2022 LQ 233,04 233,04"
"Pago título: 2220002099 4093 - UNIVERSAL INDUSTRIAS 30/09/2022 LQ 232,92 232,92"
"Pago título: 2220002111 997 - CEDASA INDUSTRIA E CO 30/09/2022 LQ 230,55 230,55"
"Pago título: 2220002119 3927 - FLAMBOIA ALIMENTOS L 30/09/2022 LQ 230,55 230,55"
"Pago título: 2220002135 5048 - CR2 EMPREENDIMENTOS 30/09/2022 LQ 230,01 230,01"
"Pago título: 2220002139 5390 - LOLLY BABY PRODUTOS 30/09/2022 LQ 230,01 230,01"
"Pago título: 2220002163 450 - CONDOMINIO CHACARAS D 30/09/2022 LQ 229,09 229,09"
"Pago título: 2220002167 2926 - R M DE BARROS TEXTIL 30/09/2022 LQ 226,69 226,69"
"Pago título: 2220002175 2594 - A A DE MELO & CIA LT 30/09/2022 LQ 226,23 226,23"
"Pago título: 2220002199 260 - SERVICO DE SAUDE DR. 30/09/2022 LQ 223,97 223,97"
"Pago título: 2220002203 3459 - JOFEGE CONCRETO LTDA 30/09/2022 LQ 223,59 223,59"
"Pago título: 2220002211 2438 - ASSOCIACAO SAO MIGUE 30/09/2022 LQ 222,65 222,65"
"Pago título: 2220002219 5428 - TECTEXTIL EMBALAGENS 30/09/2022 LQ 220,34 220,34"
"Pago título: 2220002223 5419 - TECTEXTIL EMBALAGENS 30/09/2022 LQ 220,34 220,34"
"Pago título: 2220002239 3733 - ASSOC PROPRIETARIOS 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002243 1204 - PLASCAR INDUSTRIA DE 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002263 3726 - SATOSHI ITO E OUTROS 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002275 1945 - G KT DO BRASIL LTDA 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002283 5621 - CENTERANEL 1 PARTICI 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002291 4976 - ASTRA S/A INDUSTRIA 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002295 6982 - ASSOCIACAO DOS MORAD 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002299 3663 - ASSOCIACAO DOS ADQ L 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002323 3400 - S.ZANARDI EMPREENDIM 30/09/2022 LQ 216,65 216,65"
"Pago título: 2220002327 5635 - RECAP CONSTRUTORA E 30/09/2022 LQ 216,57 216,57"
"Pago título: 2220002335 3819 - ASSOCIACAO ADMINISTR 30/09/2022 LQ 215,39 215,39"
"Pago título: 2220002343 579 - CPQ BRASIL S/A 30/09/2022 LQ 215,1 215,1"
"Pago título: 2220002355 1967 - PLASTICOS SANTANA LT 30/09/2022 LQ 214,09 214,09"
"Pago título: 2220002363 1678 - JATOBA S/A 30/09/2022 LQ 213,76 213,76"
"Pago título: 2220002371 837 - CLICK AUTOMOTIVA INDU 30/09/2022 LQ 213,29 213,29"
"Pago título: 2220002379 5468 - LUCIANO TORELLI E CI 30/09/2022 LQ 211,76 211,76"
"Pago título: 2220002395 4509 - EXTRACAO E COMERCIO 30/09/2022 LQ 210,79 210,79"
"Pago título: 2220002403 4835 - TRANSPORTES GABARDO 30/09/2022 LQ 210,79 210,79"
"Pago título: 2220002415 1445 - SOCIEDADE DOS AMIGOS 30/09/2022 LQ 209,25 209,25"
"Pago título: 2220002419 7669 - ASSOCIACAO DA INSTIT 30/09/2022 LQ 208,6 208,6"
"Pago título: 2220002423 222 - NOTRE DAME INTERMEDIC 30/09/2022 LQ 208,09 208,09"
"Pago título: 2220002431 1228 - FERNANDES TEXTIL LTD 30/09/2022 LQ 207,5 207,5"
"Pago título: 2220002447 4895 - VYLLA EMPREENDIMENTO 30/09/2022 LQ 204,94 204,94"
"Pago título: 2220002471 3856 - BRASPARK ADMINISTRAD 30/09/2022 LQ 201,02 201,02"
"Pago título: 2220002489 301 - CRIA SIM PRODUTOS DE 30/09/2022 LQ 238,58 238,58"
"Pago título: 2220002494 1774 - MINERACAO SAARA EXTR 30/09/2022 LQ 237,45 237,45"
"Pago título: 2220002499 4053 - ASSOCIACAO DOS PROPR 30/09/2022 LQ 237,14 237,14"
"Pago título: 2220002504 3803 - ASSOCIACAO ALPHAVILL 30/09/2022 LQ 235,21 235,21"
"Pago título: 2220002509 7011 - JS ESPUMAS FLEXIVEIS 30/09/2022 LQ 235,08 235,08"
"Pago título: 2220002519 7294 - ASSOCIACAO DE PROPRI 30/09/2022 LQ 234,21 234,21"
"Pago título: 2220002524 86 - PROMOCAO DO ENSINO DE 30/09/2022 LQ 234,21 234,21"
"Pago título: 2220002529 3991 - HIGIBRAG TRANSPORTE 30/09/2022 LQ 234,21 234,21"
"Pago título: 2220002534 2832 - THERMAS DAS AGUAS DE 30/09/2022 LQ 234,21 234,21"
"Pago título: 2220002539 3615 - IMOBILIARIA HELVETIA 30/09/2022 LQ 234,21 234,21"
