"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72449292410202223541.ret"
""
"Cadastrado título novo: 9000007189 319 - AGROPECUARIA SANTA RO 31/10/2022 RG 966,57 0"
"Cadastrado título novo: 9000007190 3815 - CONDOMINIO AMABILIS 31/10/2022 RG 730,09 0"
"Cadastrado título novo: 9000007191 3471 - ALTO DA COLINA VERDE 31/10/2022 RG 902,15 0"
"Cadastrado título novo: 9000007192 506 - KLABIN S/A 31/10/2022 RG 231,09 0"
"Pago título: 2220002480 3098 - ASSOC DOS PROPR E MO 31/10/2022 LQ 239,48 239,48"
"Pago título: 2220002605 5352 - CONDOMINIO RESIDENCI 31/10/2022 LQ 225,43 225,43"
"Pago título: 2220002740 4973 - ASSOCIACAO DOS PROPR 31/10/2022 LQ 210,79 210,79"
"Pago título: 2220003316 826 - DEPARTAMENTO AUTONOMO 31/10/2022 LQ 101188,33 101188,33"
"Pago título: 2220004849 3060 - ASSOCIACAO DOS PROPR 31/10/2022 LQ 815,56 815,56"
"Pago título: 2220005164 4786 - SEARA ALIMENTOS LTDA 31/10/2022 LQ 648,27 648,27"
"Pago título: 2220006312 1972 - SINDICATO DOS TRAB I 31/10/2022 LQ 366,21 366,21"
"Pago título: 2220006424 3145 - RCL CAMPING E TURISM 31/10/2022 LQ 353,41 353,41"
"Pago título: 2220006599 5558 - PARKLOG ADMINISTRADO 31/10/2022 LQ 334,59 334,59"
"Pago título: 2220006886 1675 - ASSOCIACAO DOS MORAD 31/10/2022 LQ 298,62 298,62"
"Pago título: 2220006963 523 - CONDOMINIO RESIDENCIA 31/10/2022 LQ 289,65 289,65"
"Pago título: 2220007670 2165 - CONDOMINIO RESIDENCI 31/10/2022 LQ 217,29 217,29"
"Pago título: 2220007712 3606 - ANTONIO CHAVES DOS S 31/10/2022 LQ 210,58 210,58"
"Pago título: 2220007824 6784 - CONDOMINIO RESIDENCI 31/10/2022 LQ 208,84 208,84"
"Pago título: 9000007185 5352 - CONDOMINIO RESIDENCI 31/10/2022 LQ 942,97 942,97"
