"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72449312510202214217.ret"
""
"Cadastrado título novo: 9000007193 2583 - FRESENIUS MEDICAL CA 31/10/2022 RG 1425,47 0"
"Pago título: 2220002550 7444 - THAIS REGINA ROCHITI 31/10/2022 LQ 232,93 232,93"
"Pago título: 2220002660 4579 - ASSOCIACAO DE MORADO 31/10/2022 LQ 218,83 218,83"
"Pago título: 2220003197 6600 - TERRA AZUL MARKETING 31/10/2022 LQ 206,35 206,35"
"Pago título: 2220003246 1733 - ESPER EMBALAGENS LTD 30/11/2022 LQ 201,63 201,63"
"Pago título: 2220003694 3379 - SSB ENERGIA RENOVAVE 31/10/2022 LQ 4368,06 4368,06"
"Pago título: 2220004051 5076 - CLUBE DE CAMPO FAZEN 31/10/2022 LQ 1848,61 1848,61"
"Pago título: 2220004499 1934 - SSB ENERGIA RENOVAVE 31/10/2022 LQ 1045,59 1045,59"
"Pago título: 2220004856 2752 - PREFEITURA DO MUNICI 31/10/2022 LQ 815,02 815,02"
"Pago título: 2220004912 254 - SOCIEDADE HIPICA DE C 31/10/2022 LQ 756,56 756,56"
"Pago título: 2220005094 59 - FUND CPQD - CENTRO PES 31/10/2022 LQ 688,03 688,03"
"Pago título: 2220005353 3389 - CONDOMINIO RESIDENCI 31/10/2022 LQ 587,31 587,31"
"Pago título: 2220005773 1547 - SOCER BRASIL INDUSTR 31/10/2022 LQ 450,8 450,8"
"Pago título: 2220006025 3262 - ASSOCIACAO DE AMIGOS 31/10/2022 LQ 415,61 415,61"
"Pago título: 2220006536 5082 - ELLOS EMPREENDIMENTO 31/10/2022 LQ 338,77 338,77"
"Pago título: 2220006844 3779 - SOCIEDADE JARDIM VIL 31/10/2022 LQ 301,97 301,97"
"Pago título: 2220006936 1976 - SOL INVEST EMPREENDI 30/11/2022 LQ 291,16 291,16"
"Pago título: 2220007145 5354 - CONDOMINIO RESIDENCI 31/10/2022 LQ 262,49 262,49"
"Pago título: 2220007299 1564 - INDUSTRIA E COMERCIO 31/10/2022 LQ 248,63 248,63"
"Pago título: 2220007446 3703 - ASSOCIACAO DOS PROP. 31/10/2022 LQ 234,21 234,21"
"Pago título: 2220007537 6768 - CONDOMINIO RESIDENCI 31/10/2022 LQ 225,36 225,36"
"Pago título: 2220007607 44 - CELULOSE IRANI S/A 31/10/2022 LQ 220,58 220,58"
"Pago título: 2220007663 3540 - COMERCIAL DE ALIMENT 31/10/2022 LQ 217,7 217,7"
"Pago título: 9000006889 1792 - ASSOC DE AMIGOS DO C 31/10/2022 LQ 342,96 342,96"
"Pago título: 9000007135 5354 - CONDOMINIO RESIDENCI 31/10/2022 LQ 1098,01 1098,01"
"Pago título: 9000007169 2812 - CONDOMINIO PRO-INDIV 31/10/2022 LQ 727,5 727,5"
