"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72449332610202212907.ret"
""
"Cadastrado título novo: 9000007194 3391 - PREFEITURA MUNICIPAL 30/11/2022 RG 953,1 0"
"Pago título: 2220003295 1046 - BRK AMBIENTAL - LIME 31/10/2022 LQ 170356,37 170356,37"
"Pago título: 2220003351 940 - SERVICO AUTONOMO DE A 31/10/2022 LQ 52004,29 52004,29"
"Pago título: 2220003491 1695 - GOODYEAR DO BRASIL P 31/10/2022 LQ 15287,19 15287,19"
"Pago título: 2220003533 999 - BRK AMBIENTAL - SANTA 31/10/2022 LQ 10131,94 10131,94"
"Pago título: 2220003701 878 - PREFEITURA MUNICIPAL 31/10/2022 LQ 4246,58 4246,58"
"Pago título: 2220003778 1048 - AHLSTROM LOUVEIRA LT 31/10/2022 LQ 3095,36 3095,36"
"Pago título: 2220003785 857 - CPIC BRASIL FIBRAS DE 31/10/2022 LQ 3019,23 3019,23"
"Pago título: 2220003806 448 - INDUSTRIA DE PAPEL R. 31/10/2022 LQ 2873,31 2873,31"
"Pago título: 2220004240 358 - ASSOCIACAO AMIGOS MAR 31/10/2022 LQ 1393,48 1393,48"
"Pago título: 2220004345 3462 - CONDOMINIO EMPRESARI 31/10/2022 LQ 1236,2 1236,2"
"Pago título: 2220004688 558 - CONDOMINIO CENTRO EMP 31/10/2022 LQ 899,6 899,6"
"Pago título: 2220005031 900 - DANA INDUSTRIAS LTDA 31/10/2022 LQ 717,37 717,37"
"Pago título: 2220005129 3383 - CENTRO EMPRESARIAL E 31/10/2022 LQ 666,86 666,86"
"Pago título: 2220005262 3032 - CONDOMINIO VILLAGE S 31/10/2022 LQ 614,81 614,81"
"Pago título: 2220005388 491 - CATERPILLAR BRASIL LT 31/10/2022 LQ 572,82 572,82"
"Pago título: 2220005416 978 - CHEM-TREND IND E COM 31/10/2022 LQ 564,5 564,5"
"Pago título: 2220005815 1479 - MEAT SNACK PARTNERS 31/10/2022 LQ 444,74 444,74"
"Pago título: 2220005927 3954 - MARCO ANTONIO TONOLI 31/10/2022 LQ 418,24 418,24"
"Pago título: 2220006270 5035 - CLOSURE SYSTEMS INTE 31/10/2022 LQ 376,41 376,41"
"Pago título: 2220006319 5545 - COOPERATIVA VEILING 31/10/2022 LQ 365,12 365,12"
"Pago título: 2220006340 2688 - ARYZTA DO BRASIL ALI 31/10/2022 LQ 364,26 364,26"
"Pago título: 2220006648 3382 - CENTRO EMPRESARIAL E 31/10/2022 LQ 328,89 328,89"
"Pago título: 2220006753 7194 - EMBAVI - EMPRESA BRA 31/10/2022 LQ 313,68 313,68"
"Pago título: 2220006921 4830 - CONDOMINIO RESIDENCI 31/10/2022 LQ 292,77 292,77"
"Pago título: 2220007453 319 - AGROPECUARIA SANTA RO 31/10/2022 LQ 231,08 231,08"
"Pago título: 2220007628 6911 - MAURO DA SILVA ARTUR 31/10/2022 LQ 219,05 219,05"
"Pago título: 2220007845 1426 - WEIDMANN TECNOLOGIA 31/10/2022 LQ 208,41 208,41"
"Pago título: 9000006881 968 - SUZANO PAPEL E CELULO 31/10/2022 LQ 610,38 610,38"
"Pago título: 9000006952 1134 - MUNICIPIO DE SUMARE 31/10/2022 LQ 220417,23 220417,23"
"Pago título: 9000006963 1926 - YADOYA INDUSTRIA E C 31/10/2022 LQ 1699,28 1699,28"
"Pago título: 9000007099 7736 - GREAT WALL MOTOR BRA 31/10/2022 LQ 4664,67 4664,67"
"Pago título: 9000007121 5035 - CLOSURE SYSTEMS INTE 31/10/2022 LQ 1186,79 1186,79"
"Pago título: 9000007137 4830 - CONDOMINIO RESIDENCI 31/10/2022 LQ 1224,64 1224,64"
"Pago título: 9000007139 337 - EMPRESA SAO JOAO DE T 31/10/2022 LQ 301,13 301,13"
