"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72449372810202212708.ret"
""
"Cadastrado título novo: 9000007205 3471 - ALTO DA COLINA VERDE 31/10/2022 RG 763,78 0"
"Cadastrado título novo: 9000007206 3471 - ALTO DA COLINA VERDE 30/11/2022 RG 763,78 0"
"Cadastrado título novo: 9000007207 3471 - ALTO DA COLINA VERDE 30/12/2022 RG 763,78 0"
"Cadastrado título novo: 9000007208 3471 - ALTO DA COLINA VERDE 31/01/2023 RG 763,78 0"
"Cadastrado título novo: 9000007209 3471 - ALTO DA COLINA VERDE 28/02/2023 RG 763,78 0"
"Cadastrado título novo: 9000007210 3471 - ALTO DA COLINA VERDE 31/03/2023 RG 763,78 0"
"Cadastrado título novo: 9000007211 3471 - ALTO DA COLINA VERDE 28/04/2023 RG 763,78 0"
"Cadastrado título novo: 9000007212 3471 - ALTO DA COLINA VERDE 31/05/2023 RG 763,78 0"
"Cadastrado título novo: 9000007213 3471 - ALTO DA COLINA VERDE 30/06/2023 RG 763,78 0"
"Cadastrado título novo: 9000007214 3471 - ALTO DA COLINA VERDE 31/07/2023 RG 763,78 0"
"Cadastrado título novo: 9000007215 3524 - CMS PUPO INDUSTRIA E 31/10/2022 RG 378,99 0"
"Pago título: 2220002625 1383 - MAQUINAS FURLAN LTDA 31/10/2022 LQ 222,5 222,5"
"Pago título: 2220002665 5616 - TRADECORP DO BRASIL, 31/10/2022 LQ 218,76 218,76"
"Pago título: 2220002879 2362 - ASSOCIACAO  PROPRIET 31/10/2022 LQ 229,26 229,26"
"Pago título: 2220003323 882 - SERVICO AUTONOMO DE A 31/10/2022 LQ 79458,34 79458,34"
"Pago título: 2220003449 1132 - CIA SANEAMENTO BASIC 31/10/2022 LQ 19417,1 19417,1"
"Pago título: 2220003568 1129 - CIA SANEAMENTO BASIC 31/10/2022 LQ 9222,47 9222,47"
"Pago título: 2220003575 986 - PREFEITURA MUNICIPAL 31/10/2022 LQ 8845,9 8845,9"
"Pago título: 2220003582 821 - PREFEITURA MUNICIPAL 31/10/2022 LQ 8131 8131"
"Pago título: 2220003666 868 - PREFEITURA MUNICIPAL 31/10/2022 LQ 4782,14 4782,14"
"Pago título: 2220003687 1743 - EDSON CHINARELLI TRA 31/10/2022 LQ 4483,51 4483,51"
"Pago título: 2220003715 2359 - AGROPECUARIA TUIUTI 31/10/2022 LQ 3712,49 3712,49"
"Pago título: 2220003813 160 - ASSOCIACAO RESIDENCIA 31/10/2022 LQ 2850,29 2850,29"
"Pago título: 2220003848 1848 - PREFEITURA MUNICIPAL 31/10/2022 LQ 2413,23 2413,23"
"Pago título: 2220003855 1128 - CIA SANEAMENTO BASIC 31/10/2022 LQ 2401,47 2401,47"
"Pago título: 2220004016 3673 - PLATLOG IMPORTACAO, 31/10/2022 LQ 1932,64 1932,64"
"Pago título: 2220004527 2910 - CHACARAS LONG ISLAND 31/10/2022 LQ 1040,68 1040,68"
"Pago título: 2220004548 5599 - COOPERATIVA PECUARIA 31/10/2022 LQ 1018,44 1018,44"
"Pago título: 2220004933 4014 - ASSOC DOS PROPRIETAR 31/10/2022 LQ 752,83 752,83"
"Pago título: 2220005010 1216 - CERBA DESTILARIA DE 31/10/2022 LQ 731,92 731,92"
"Pago título: 2220005038 411 - IOCHPE-MAXION S/A 31/10/2022 LQ 712,91 712,91"
"Pago título: 2220005108 52 - ASSOCIACAO DOS PROPRIE 31/10/2022 LQ 670,76 670,76"
"Pago título: 2220005136 3899 - ASSOCIACAO RESIDENCI 31/10/2022 LQ 661,72 661,72"
"Pago título: 2220005192 1490 - AGUA SANTO ANTONIO L 31/10/2022 LQ 640,84 640,84"
"Pago título: 2220005227 1249 - ESTANCIA PARQUE ATIB 31/10/2022 LQ 631,77 631,77"
"Pago título: 2220005633 3345 - SAO PAULO SECRETARIA 31/10/2022 LQ 493,19 493,19"
"Pago título: 2220005661 1829 - NHEEL QUIMICA LTDA 31/10/2022 LQ 484,96 484,96"
"Pago título: 2220005787 1148 - ARCELOR MITTAL GONVA 31/10/2022 LQ 450,46 450,46"
"Pago título: 2220006004 2310 - AQUACHER COMERCIAL L 31/10/2022 LQ 417,19 417,19"
"Pago título: 2220006228 5652 - CONDOMINIO D. PEDRO 31/10/2022 LQ 376,41 376,41"
"Pago título: 2220006326 841 - MAGNETI MARELLI SISTE 31/10/2022 LQ 365,06 365,06"
"Pago título: 2220006508 1222 - SOCIEDADE COMUNITARI 31/10/2022 LQ 342,12 342,12"
"Pago título: 2220006515 4129 - TERRAPLANAGEM PARAIZ 31/10/2022 LQ 340,65 340,65"
"Pago título: 2220006627 1902 - KENJI EXTRACAO E COM 31/10/2022 LQ 331,5 331,5"
"Pago título: 2220006662 1985 - CONJUNTO RESIDENCIAL 31/10/2022 LQ 327,06 327,06"
"Pago título: 2220006774 5306 - ASSOCIACAO DE AMIGOS 31/10/2022 LQ 313,68 313,68"
"Pago título: 2220006900 1701 - TINTURARIA E ESTAMPA 31/10/2022 LQ 294,55 294,55"
"Pago título: 2220007173 5442 - ASSOCIACAO DOS PROPR 31/10/2022 LQ 257,11 257,11"
"Pago título: 2220007194 149 - GREEN GOLF CLUB 31/10/2022 LQ 254,83 254,83"
"Pago título: 2220007250 5079 - CONDOMINIO EDIFICIO 31/10/2022 LQ 250,94 250,94"
"Pago título: 2220007432 7717 - ASSOCIACAO DO CONJUN 31/10/2022 LQ 235,45 235,45"
"Pago título: 2220007705 1750 - PREFEITURA MUNICIPAL 31/10/2022 LQ 210,7 210,7"
"Pago título: 2220007782 5982 - ASSOCIACAO DOS MORAD 31/10/2022 LQ 209,12 209,12"
"Pago título: 2220007831 5318 - SERRANO EMPREENDIMEN 31/10/2022 LQ 208,55 208,55"
"Pago título: 9000006777 2602 - BIRICA EMPREENDIMENT 31/10/2022 LQ 777,4 777,4"
"Pago título: 9000006979 7722 - ASSOC DE PROP DO LOT 31/10/2022 LQ 207,05 207,05"
