"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72449393110202224033.ret"
""
"Cadastrado título novo: 9000007216 4820 - TRANSPEDROSA S/A 30/11/2022 RG 989,52 0"
"Pago título: 2220002490 301 - CRIA SIM PRODUTOS DE 31/10/2022 LQ 238,58 238,58"
"Pago título: 2220002495 1774 - MINERACAO SAARA EXTR 31/10/2022 LQ 237,45 237,45"
"Pago título: 2220002500 4053 - ASSOCIACAO DOS PROPR 31/10/2022 LQ 237,14 237,14"
"Pago título: 2220002505 3803 - ASSOCIACAO ALPHAVILL 31/10/2022 LQ 235,21 235,21"
"Pago título: 2220002510 7011 - JS ESPUMAS FLEXIVEIS 31/10/2022 LQ 235,08 235,08"
"Pago título: 2220002520 7294 - ASSOCIACAO DE PROPRI 31/10/2022 LQ 234,21 234,21"
"Pago título: 2220002525 86 - PROMOCAO DO ENSINO DE 31/10/2022 LQ 234,21 234,21"
"Pago título: 2220002530 3991 - HIGIBRAG TRANSPORTE 31/10/2022 LQ 234,21 234,21"
"Pago título: 2220002535 2832 - THERMAS DAS AGUAS DE 31/10/2022 LQ 234,21 234,21"
"Pago título: 2220002540 3615 - IMOBILIARIA HELVETIA 31/10/2022 LQ 234,21 234,21"
"Pago título: 2220002555 2800 - CHENDEL PARTICIPACOE 31/10/2022 LQ 232,75 232,75"
"Pago título: 2220002560 894 - DAUNE TRAVESSEIROS DE 31/10/2022 LQ 230,76 230,76"
"Pago título: 2220002565 3285 - ASSSOCIACAO VILLAGE 31/10/2022 LQ 230,26 230,26"
"Pago título: 2220002575 2280 - TINTURARIA SANTA ADE 31/10/2022 LQ 228,81 228,81"
"Pago título: 2220002585 2719 - E TECNO EMPREENDIMEN 31/10/2022 LQ 227,17 227,17"
"Pago título: 2220002600 5861 - ASSOCIACAO DESPORTIV 31/10/2022 LQ 226,28 226,28"
"Pago título: 2220002610 2338 - WALDIR VIANNA ME 31/10/2022 LQ 225,09 225,09"
"Pago título: 2220002615 890 - LABORATORIO TAYUYNA L 31/10/2022 LQ 224,46 224,46"
"Pago título: 2220002630 1430 - ASSOCIACAO DOS MORAD 31/10/2022 LQ 222,5 222,5"
"Pago título: 2220002645 3608 - BIONOVIS S.A.   CIA 31/10/2022 LQ 220,12 220,12"
"Pago título: 2220002655 1832 - LANMAR INDUSTRIA MET 31/10/2022 LQ 219,33 219,33"
"Pago título: 2220002675 969 - PRALANA INDUSTRIA E C 31/10/2022 LQ 217,75 217,75"
"Pago título: 2220002680 3288 - SELIAL IND E COM, IM 31/10/2022 LQ 217,38 217,38"
"Pago título: 2220002685 4327 - CEETEPS CENTRO ESTAD 31/10/2022 LQ 216,65 216,65"
"Pago título: 2220002690 3399 - EDENA MARIA PECHIO S 31/10/2022 LQ 216,61 216,61"
"Pago título: 2220002695 5274 - AMETEK DO BRASIL LTD 31/10/2022 LQ 216,33 216,33"
"Pago título: 2220002700 3292 - JARDIM SAO GERALDO E 31/10/2022 LQ 216,06 216,06"
"Pago título: 2220002705 2389 - JOFEGE CONCRETO LTDA 31/10/2022 LQ 215,7 215,7"
"Pago título: 2220002710 3984 - BELEM TRANSPORTES E 31/10/2022 LQ 215,61 215,61"
"Pago título: 2220002750 4136 - STORAGE ADMINISTRACA 31/10/2022 LQ 210,79 210,79"
"Pago título: 2220002755 3729 - NP EMPREENDIMENTOS L 31/10/2022 LQ 210,79 210,79"
"Pago título: 2220002770 779 - MERI IDO 31/10/2022 LQ 209,3 209,3"
"Pago título: 2220002775 953 - MAHLE COMPRESSORES DO 31/10/2022 LQ 206,82 206,82"
"Pago título: 2220002780 3945 - BRASA BURGER IND E C 31/10/2022 LQ 206,27 206,27"
"Pago título: 2220002785 617 - JOAO BOZZA JUNIOR 31/10/2022 LQ 204,94 204,94"
"Pago título: 2220002790 3680 - T & K LOCACOES DE QU 31/10/2022 LQ 204,94 204,94"
"Pago título: 2220002795 3424 - ASSOCIACAO DOS PROP. 31/10/2022 LQ 204,94 204,94"
"Pago título: 2220002805 3656 - FAZENDA TOZAN DO BRA 31/10/2022 LQ 204,93 204,93"
"Pago título: 2220002810 1572 - ETAPA EDUCACIONAL LT 31/10/2022 LQ 204,82 204,82"
"Pago título: 2220002815 5007 - ARRICO AGRONEGOCIOS 31/10/2022 LQ 204,74 204,74"
"Pago título: 2220002835 413 - INDUSTRIAS ROMI S/A 31/10/2022 LQ 202,87 202,87"
"Pago título: 2220002840 2367 - INDUSTRIA DE FRIOS X 31/10/2022 LQ 202,64 202,64"
"Pago título: 2220002845 3259 - BAG CLEANER COMERCIO 31/10/2022 LQ 202,32 202,32"
"Pago título: 2220002855 4135 - ALCEBIADES FERREIRA 31/10/2022 LQ 232,66 232,66"
"Pago título: 2220002861 391 - CONDOMINIO EDIFICIO E 31/10/2022 LQ 232,33 232,33"
"Pago título: 2220002867 3616 - CONCREMIX S/A 31/10/2022 LQ 230,44 230,44"
"Pago título: 2220002873 1097 - TERRAR INDUSTRIA E C 31/10/2022 LQ 229,5 229,5"
"Pago título: 2220002885 5870 - VILA HIPICA EMPREEND 31/10/2022 LQ 228,36 228,36"
"Pago título: 2220002891 1158 - SI GROUP RESINAS S.A 31/10/2022 LQ 228,23 228,23"
"Pago título: 2220002897 521 - SPG PRINTS BRASIL LTD 31/10/2022 LQ 228,11 228,11"
"Pago título: 2220002903 474 - VINGI INDUSTRIA TEXTI 31/10/2022 LQ 227,97 227,97"
"Pago título: 2220002909 2686 - BOM PEIXE INDUSTRIA 31/10/2022 LQ 226,77 226,77"
"Pago título: 2220002915 495 - NEUMAYER TEKFOR AUTOM 31/10/2022 LQ 226,22 226,22"
"Pago título: 2220002921 959 - ASK PRODUTOS QUIMICOS 31/10/2022 LQ 226,08 226,08"
"Pago título: 2220002927 3230 - CSC SERVICES LAVANDE 31/10/2022 LQ 225,98 225,98"
"Pago título: 2220002939 3547 - NEO RODAS S.A. 31/10/2022 LQ 224,46 224,46"
"Pago título: 2220002945 1113 - PPC SANTANA EQUIPAME 31/10/2022 LQ 223,29 223,29"
"Pago título: 2220002951 4829 - CLUBE RECREATIVO SUM 31/10/2022 LQ 222,02 222,02"
"Pago título: 2220002957 3853 - MONTE COR PROTECAO D 31/10/2022 LQ 221,25 221,25"
"Pago título: 2220002963 4584 - CONJUNTO RESIDENCIAL 31/10/2022 LQ 220,55 220,55"
"Pago título: 2220002981 2528 - MULTILOG BRASIL S.A. 31/10/2022 LQ 219,58 219,58"
"Pago título: 2220002993 4840 - CIALENE INDUSTRIA E 31/10/2022 LQ 219,58 219,58"
"Pago título: 2220003005 2935 - CERAMICA ALMEIDA LTD 31/10/2022 LQ 219,58 219,58"
"Pago título: 2220003017 4938 - MOMBUCA BENEFICIADOR 31/10/2022 LQ 219,58 219,58"
"Pago título: 2220003023 3160 - VIA APPIA FESTAS E E 31/10/2022 LQ 219,57 219,57"
"Pago título: 2220003035 2653 - TANQUE MATERIAS PARA 31/10/2022 LQ 219,24 219,24"
"Pago título: 2220003041 1415 - DPV PRODUTOS QUIMICO 31/10/2022 LQ 218,63 218,63"
"Pago título: 2220003047 3594 - CPM CONCRETO DE PRE 31/10/2022 LQ 218,04 218,04"
"Pago título: 2220003053 760 - LETICIA APARECIDA MAR 31/10/2022 LQ 217,47 217,47"
"Pago título: 2220003065 3516 - JOSE JORGE BERARDINE 31/10/2022 LQ 214,7 214,7"
"Pago título: 2220003077 1323 - TEXTIL SUCCI LTDA ME 31/10/2022 LQ 214,33 214,33"
"Pago título: 2220003089 2227 - COMSAPE EXTRACAO E C 31/10/2022 LQ 214,03 214,03"
"Pago título: 2220003095 1276 - INDUSTRIA E COMERCIO 31/10/2022 LQ 213,45 213,45"
"Pago título: 2220003101 186 - OBER S/A INDUSTRIA E 31/10/2022 LQ 213,23 213,23"
"Pago título: 2220003107 473 - TECELAGEM CHUAHY LTDA 31/10/2022 LQ 213,04 213,04"
"Pago título: 2220003119 975 - BANN QUIMICA LTDA 31/10/2022 LQ 211,58 211,58"
"Pago título: 2220003125 2469 - RICLAN S/A 31/10/2022 LQ 211,5 211,5"
"Pago título: 2220003131 1649 - CONDOMINIO CASA GRAN 31/10/2022 LQ 210,79 210,79"
"Pago título: 2220003137 1414 - CERVEJARIA ASHBY LTD 31/10/2022 LQ 210,03 210,03"
"Pago título: 2220003143 289 - INDUSTRIA CERAMICA FR 31/10/2022 LQ 209,82 209,82"
"Pago título: 2220003149 1558 - CONDOMINIO CHACARAS 31/10/2022 LQ 209,82 209,82"
"Pago título: 2220003161 5773 - OWB INDUSTRIA DE AUT 31/10/2022 LQ 208,44 208,44"
"Pago título: 2220003221 2687 - ROTOCROM INDUSTRIA E 31/10/2022 LQ 203,76 203,76"
"Pago título: 2220003233 3929 - MINERACAO SAMAMBAIA 31/10/2022 LQ 202,19 202,19"
"Pago título: 2220003251 286 - T.F.T. TECIDOS E FIOS 31/10/2022 LQ 201,13 201,13"
"Pago título: 2220003269 3022 - BORGWARNER BRASIL LT 31/10/2022 LQ 200,21 200,21"
"Pago título: 2220003275 875 - RICHARD KLINGER INDUS 31/10/2022 LQ 200,03 200,03"
"Pago título: 2220003281 1111 - CIA SANEAMENTO BASIC 31/10/2022 LQ 445448,28 445448,28"
"Pago título: 2220003288 898 - SERVICO MUNICIPAL DE 31/10/2022 LQ 250944,29 250944,29"
"Pago título: 2220003302 1078 - DAE S/A AGUA E ESGOT 31/10/2022 LQ 117709,08 117709,08"
"Pago título: 2220003337 1052 - DEPARTAMENTO DE AGUA 31/10/2022 LQ 63071,83 63071,83"
"Pago título: 2220003344 828 - SERVICO AUTONOMO DE A 31/10/2022 LQ 56971,89 56971,89"
"Pago título: 2220003365 831 - DEPARTAMENTO DE AGUAS 31/10/2022 LQ 41817,17 41817,17"
"Pago título: 2220003372 976 - SOCIEDADE DE ABASTECI 31/10/2022 LQ 40244,64 40244,64"
"Pago título: 2220003386 930 - SERVICO AUTONOMO DE A 31/10/2022 LQ 39331,26 39331,26"
