"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244941111202214507.ret"
""
"Cadastrado título novo: 9000007217 2553 - UNIGRES CERAMICA LTD 30/11/2022 RG 1154,33 0"
"Cadastrado título novo: 9000007218 2304 - LAZARO MELLO BRANDAO 30/11/2022 RG 1155,16 0"
"Cadastrado título novo: 9000007219 4168 - HM 14 EMPRENDIMENTO 30/11/2022 RG 701,32 0"
"Pago título: 2220003083 7659 - LUIZ BASILIO REANI 31/10/2022 LQ 214,17 218,52"
"Pago título: 2220006361 1425 - TRANSPORTE E COMERCI 31/10/2022 LQ 359,68 366,98"
"Pago título: 2220006754 7194 - EMBAVI - EMPRESA BRA 30/11/2022 LQ 313,68 313,68"
"Pago título: 2220007285 1173 - MASTERCOR BENEFICIAM 31/10/2022 LQ 250,74 255,83"
"Pago título: 2220007461 5614 - ATIBAIA SANEAMENTO S 30/11/2022 LQ 230,89 230,89"
"Pago título: 2220007698 4615 - RAIZEN ENERGIA S.A. 31/10/2022 LQ 211,82 216,12"
"Pago título: 9000006945 4887 - RAIZEN ENERGIA S.A. 31/10/2022 LQ 431,34 440,1"
"Pago título: 9000007074 7735 - JAIME ALVES DE FARIA 31/10/2022 LQ 419,35 427,86"
"Pago título: 9000007076 7735 - JAIME ALVES DE FARIA 26/12/2022 LQ 419,35 419,35"
"Pago título: 9000007152 553 - DOEHLER AMERICA LATIN 31/10/2022 LQ 932,27 951,22"
"Pago título: 9000007179 3882 - SOCIEDADE MELHORAMEN 31/10/2022 LQ 722,47 737,15"
