"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72449772911202212458.ret"
""
"Cadastrado título novo: 9000007275 1783 - CESAR RODRIGO ZUMSTE 30/11/2022 RG 326,88 0"
"Cadastrado título novo: 9000007276 411 - IOCHPE-MAXION S/A 26/12/2022 RG 2270,14 0"
"Cadastrado título novo: 9000007277 564 - LOGISPOT ARMAZENS GER 26/12/2022 RG 3486,86 0"
"Cadastrado título novo: 9000007278 3673 - PLATLOG IMPORTACAO, 26/12/2022 RG 2071,82 0"
"Pago título: 2220003000 3124 - BARREIRENSE PRODUTOS 30/11/2022 LQ 219,58 219,58"
"Pago título: 2220003012 3890 - V. BARROS PARTICIPAC 30/11/2022 LQ 219,58 219,58"
"Pago título: 2220003078 1323 - TEXTIL SUCCI LTDA ME 30/11/2022 LQ 214,33 214,33"
"Pago título: 2220003198 6600 - TERRA AZUL MARKETING 30/11/2022 LQ 206,35 206,35"
"Pago título: 2220003352 940 - SERVICO AUTONOMO DE A 30/11/2022 LQ 52004,29 52004,29"
"Pago título: 2220003450 1132 - CIA SANEAMENTO BASIC 30/11/2022 LQ 19417,1 19417,1"
"Pago título: 2220003569 1129 - CIA SANEAMENTO BASIC 30/11/2022 LQ 9222,47 9222,47"
"Pago título: 2220003576 986 - PREFEITURA MUNICIPAL 30/11/2022 LQ 8845,9 8845,9"
"Pago título: 2220003653 856 - PREFEITURA MUNICIPAL 30/11/2022 LQ 5118,88 5118,88"
"Pago título: 2220003702 878 - PREFEITURA MUNICIPAL 30/11/2022 LQ 4246,58 4246,58"
"Pago título: 2220003814 160 - ASSOCIACAO RESIDENCIA 30/11/2022 LQ 2850,29 2850,29"
"Pago título: 2220003856 1128 - CIA SANEAMENTO BASIC 30/11/2022 LQ 2401,47 2401,47"
"Pago título: 2220004143 357 - CONDOMINIO VILLE DE C 30/11/2022 LQ 1649,35 1649,35"
"Pago título: 2220004171 1926 - YADOYA INDUSTRIA E C 30/11/2022 LQ 1601,33 1601,33"
"Pago título: 2220004465 2751 - SERVICO AUTONOMO DE 30/11/2022 LQ 1075,62 1075,62"
"Pago título: 2220004528 2910 - CHACARAS LONG ISLAND 30/11/2022 LQ 1040,68 1040,68"
"Pago título: 2220004752 861 - HUDTELFA TEXTILE TECH 30/11/2022 LQ 867,19 867,19"
"Pago título: 2220004759 449 - ASSOCIACAO PRO AGUA T 30/11/2022 LQ 862,72 862,72"
"Pago título: 2220004829 4580 - ASSOCIACAO DOS PROPR 30/11/2022 LQ 829,32 829,32"
"Pago título: 2220004850 3060 - ASSOCIACAO DOS PROPR 30/11/2022 LQ 815,56 815,56"
"Pago título: 2220005011 1216 - CERBA DESTILARIA DE 30/11/2022 LQ 731,92 731,92"
"Pago título: 2220005109 52 - ASSOCIACAO DOS PROPRIE 30/11/2022 LQ 670,76 670,76"
"Pago título: 2220005207 2331 - STONE BUILDING INDUS 30/11/2022 LQ 639,23 639,23"
"Pago título: 2220005228 1249 - ESTANCIA PARQUE ATIB 30/11/2022 LQ 631,77 631,77"
"Pago título: 2220005634 3345 - SAO PAULO SECRETARIA 30/11/2022 LQ 493,19 493,19"
"Pago título: 2220005662 1829 - NHEEL QUIMICA LTDA 30/11/2022 LQ 484,96 484,96"
"Pago título: 2220005928 3954 - MARCO ANTONIO TONOLI 30/11/2022 LQ 418,24 418,24"
"Pago título: 2220006019 3926 - HWT PROMOCOES ESPORT 30/11/2022 LQ 415,62 415,62"
"Pago título: 2220006040 2906 - TRANSPORTADORA H2O L 30/11/2022 LQ 414,04 414,04"
"Pago título: 2220006138 932 - GREMIO RECR EMPREGADO 30/11/2022 LQ 395,69 395,69"
"Pago título: 2220006229 5652 - CONDOMINIO D. PEDRO 30/11/2022 LQ 376,41 376,41"
"Pago título: 2220006327 841 - MAGNETI MARELLI SISTE 30/11/2022 LQ 365,06 365,06"
"Pago título: 2220006509 1222 - SOCIEDADE COMUNITARI 30/11/2022 LQ 342,12 342,12"
"Pago título: 2220006628 1902 - KENJI EXTRACAO E COM 30/11/2022 LQ 331,5 331,5"
"Pago título: 2220006635 3366 - TECHIMPORT TECNOLOGI 30/11/2022 LQ 331,37 331,37"
"Pago título: 2220006663 1985 - CONJUNTO RESIDENCIAL 30/11/2022 LQ 327,06 327,06"
"Pago título: 2220006698 1749 - USINA PAULISTA DE BR 30/11/2022 LQ 322,99 322,99"
"Pago título: 2220006726 7718 - OURO GRES REVESTIMEN 30/11/2022 LQ 319,76 319,76"
"Pago título: 2220007251 5079 - CONDOMINIO EDIFICIO 30/11/2022 LQ 250,94 250,94"
"Pago título: 2220007314 4485 - PARQUE DOS EUCALIPTO 30/11/2022 LQ 246,55 246,55"
"Pago título: 2220007510 3994 - ASSOCIACAO RESERVA D 30/11/2022 LQ 225,85 225,85"
"Pago título: 9000006874 943 - RAIZEN ENERGIA S/A 30/11/2022 LQ 10581,41 10581,41"
"Pago título: 9000006953 1134 - MUNICIPIO DE SUMARE 30/11/2022 LQ 220417,23 220417,23"
"Pago título: 9000006964 1926 - YADOYA INDUSTRIA E C 30/11/2022 LQ 1699,28 1699,28"
