"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72450072012202214650.ret"
""
"Cadastrado título novo: 9000007326 2757 - CARAVITA EMPRESA DE 31/01/2023 RG 880,08 0"
"Cadastrado título novo: 9000007327 829 - SERVICO AUTONOMO DE A 26/12/2022 RG 125631,61 0"
"Cadastrado título novo: 9000007328 7330 - LA VITA ALIMENTOS AG 26/12/2022 RG 1118,8 0"
"Pago título: 2220003346 828 - SERVICO AUTONOMO DE A 26/12/2022 LQ 56971,89 56971,89"
"Pago título: 2220003696 3379 - SSB ENERGIA RENOVAVE 26/12/2022 LQ 4368,06 4368,06"
"Pago título: 2220003703 878 - PREFEITURA MUNICIPAL 26/12/2022 LQ 4246,58 4246,58"
"Pago título: 2220004466 2751 - SERVICO AUTONOMO DE 26/12/2022 LQ 1075,62 1075,62"
"Pago título: 2220004501 1934 - SSB ENERGIA RENOVAVE 26/12/2022 LQ 1045,59 1045,59"
"Pago título: 2220004851 3060 - ASSOCIACAO DOS PROPR 26/12/2022 LQ 815,56 815,56"
"Pago título: 2220004858 2752 - PREFEITURA DO MUNICI 26/12/2022 LQ 815,02 815,02"
"Pago título: 2220005040 411 - IOCHPE-MAXION S/A 26/12/2022 LQ 712,91 712,91"
"Pago título: 2220005215 356 - ESTANCIA ARVORE DA VI 26/12/2022 LQ 634,44 634,44"
"Pago título: 2220005320 477 - TERRA DO PARAISO LTDA 26/12/2022 LQ 602,26 602,26"
"Pago título: 2220005348 2655 - JOAO CARLOS LEME RIB 26/12/2022 LQ 588,98 588,98"
"Pago título: 2220005369 1965 - ASSOC DE PROPRIETARI 26/12/2022 LQ 585,53 585,53"
"Pago título: 2220005390 491 - CATERPILLAR BRASIL LT 26/12/2022 LQ 572,82 572,82"
"Pago título: 2220005446 2748 - QUALITY BENEFICIADOR 26/12/2022 LQ 545,37 545,37"
"Pago título: 2220006461 5802 - AGUAS DO BARREIRO RI 26/12/2022 LQ 350,48 350,48"
"Pago título: 2220006573 1289 - ASGA S/A 26/12/2022 LQ 334,59 334,59"
"Pago título: 2220006643 3336 - CONDOMINIO RESIDENCI 26/12/2022 LQ 329,82 329,82"
"Pago título: 2220006699 1749 - USINA PAULISTA DE BR 26/12/2022 LQ 322,99 322,99"
"Pago título: 2220007112 2962 - CONDOMINIO VITORIA D 26/12/2022 LQ 271,02 271,02"
"Pago título: 2220007252 5079 - CONDOMINIO EDIFICIO 26/12/2022 LQ 250,94 250,94"
"Pago título: 2220007336 2549 - KNAUF ISOPOR LTDA. 26/12/2022 LQ 244,67 244,67"
"Pago título: 2220007714 3606 - ANTONIO CHAVES DOS S 26/12/2022 LQ 210,58 210,58"
"Pago título: 2220007826 6784 - CONDOMINIO RESIDENCI 26/12/2022 LQ 208,84 208,84"
"Pago título: 2220007854 5486 - ASSOCIACAO DO BRAGAN 26/12/2022 LQ 206,84 206,84"
"Pago título: 9000007276 411 - IOCHPE-MAXION S/A 26/12/2022 LQ 2270,14 2270,14"
"Pago título: 9000007324 2229 - AUDAX QUIMICA IND E 26/12/2022 LQ 234,14 234,14"
"Pago título: 9000007325 477 - TERRA DO PARAISO LTDA 26/12/2022 LQ 1880,02 1880,02"
