"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72450112212202214304.ret"
""
"Cadastrado título novo: 9000007329 1898 - KERRY DO BRASIL LTDA 31/01/2023 RG 1232,59 0"
"Cadastrado título novo: 9000007330 2337 - CERAMICA CARMELO FIO 31/01/2023 RG 1644,54 0"
"Cadastrado título novo: 9000007331 3449 - CERAMICA CARMELO FIO 31/01/2023 RG 1811,43 0"
"Cadastrado título novo: 9000007332 7193 - GHG PARTICIPACOES LT 31/01/2023 RG 525,69 0"
"Pago título: 2220003318 826 - DEPARTAMENTO AUTONOMO 26/12/2022 LQ 101188,33 101188,33"
"Pago título: 2220003381 1035 - RAIZEN ENERGIA S/A 26/12/2022 LQ 40054,06 40054,06"
"Pago título: 2220003402 942 - RAIZEN ENERGIA S/A 26/12/2022 LQ 33218,01 33218,01"
"Pago título: 2220003451 1132 - CIA SANEAMENTO BASIC 26/12/2022 LQ 19417,1 19417,1"
"Pago título: 2220003500 944 - PREFEITURA MUNICIPAL 26/12/2022 LQ 14520,42 14520,42"
"Pago título: 2220003570 1129 - CIA SANEAMENTO BASIC 26/12/2022 LQ 9222,47 9222,47"
"Pago título: 2220003689 1743 - EDSON CHINARELLI TRA 26/12/2022 LQ 4483,51 4483,51"
"Pago título: 2220003808 448 - INDUSTRIA DE PAPEL R. 26/12/2022 LQ 2873,31 2873,31"
"Pago título: 2220003857 1128 - CIA SANEAMENTO BASIC 26/12/2022 LQ 2401,47 2401,47"
"Pago título: 2220004053 5076 - CLUBE DE CAMPO FAZEN 26/12/2022 LQ 1848,61 1848,61"
"Pago título: 2220004095 886 - PROVIDER INDUSTRIA E 26/12/2022 LQ 1786,86 1786,86"
"Pago título: 2220004753 861 - HUDTELFA TEXTILE TECH 26/12/2022 LQ 867,19 867,19"
"Pago título: 2220004795 5402 - SAO PAULO SECRETARIA 26/12/2022 LQ 844,71 844,71"
"Pago título: 2220005257 5404 - ASSOC DE CONGRESSOS 26/12/2022 LQ 616,54 616,54"
"Pago título: 2220005264 3032 - CONDOMINIO VILLAGE S 26/12/2022 LQ 614,81 614,81"
"Pago título: 2220005460 4116 - TARTALIA EMPREENDIME 26/12/2022 LQ 543,71 543,71"
"Pago título: 2220005733 2478 - ASSOC DOS PROPRIETAR 26/12/2022 LQ 462,04 462,04"
"Pago título: 2220005761 3026 - RAIZEN ENERGIA S/A 26/12/2022 LQ 454,83 454,83"
"Pago título: 2220006132 1862 - DOR RIO CONFECCAO LT 26/12/2022 LQ 395,98 395,98"
"Pago título: 2220006293 2665 - ASSOC DOS PROPRIET D 26/12/2022 LQ 372,59 372,59"
"Pago título: 2220006846 3779 - SOCIEDADE JARDIM VIL 26/12/2022 LQ 301,97 301,97"
"Pago título: 2220006874 5805 - QUIBRITA MINERADORA 26/12/2022 LQ 300,79 300,79"
"Pago título: 2220007105 4385 - MATEUS CAVALCANTI IZ 26/12/2022 LQ 271,86 271,86"
"Pago título: 2220007329 2956 - CENTER GIRO TRANSPOR 26/12/2022 LQ 246,21 246,21"
"Pago título: 2220007602 7711 - PAULO SETUBAL NETO 26/12/2022 LQ 220,83 220,83"
"Pago título: 2220007630 6911 - MAURO DA SILVA ARTUR 26/12/2022 LQ 219,05 219,05"
"Pago título: 2220007966 5449 - CONDOMINIO HOTEL INT 26/12/2022 LQ 200,75 200,75"
"Pago título: 9000006883 968 - SUZANO PAPEL E CELULO 26/12/2022 LQ 610,38 610,38"
"Pago título: 9000007303 942 - RAIZEN ENERGIA S/A 26/12/2022 LQ 68784,6 68784,6"
"Pago título: 9000007304 1035 - RAIZEN ENERGIA S/A 26/12/2022 LQ 41263,69 41263,69"
"Pago título: 9000007311 4330 - CPD LOCADORA DE VEIC 31/01/2023 LQ 1254,71 1254,71"
