"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72450152612202224108.ret"
""
"Cadastrado título novo: 9000007333 2553 - UNIGRES CERAMICA LTD 31/01/2023 RG 228,56 0"
"Pago título: 2220003283 1111 - CIA SANEAMENTO BASIC 26/12/2022 LQ 445448,28 445448,28"
"Pago título: 2220003297 1046 - BRK AMBIENTAL - LIME 26/12/2022 LQ 170356,37 170356,37"
"Pago título: 2220003304 1078 - DAE S/A AGUA E ESGOT 26/12/2022 LQ 117709,08 117709,08"
"Pago título: 2220003360 919 - COMPANHIA DE DESENVOL 26/12/2022 LQ 44433,2 44433,2"
"Pago título: 2220003374 976 - SOCIEDADE DE ABASTECI 26/12/2022 LQ 40244,64 40244,64"
"Pago título: 2220003409 487 - USINA ACUCAREIRA ESTE 26/12/2022 LQ 26214,36 26214,36"
"Pago título: 2220003416 966 - SERVICO DE AGUA E ESG 26/12/2022 LQ 25495,14 25495,14"
"Pago título: 2220003423 962 - SAO MARTINHO S.A. 26/12/2022 LQ 25062,6 25062,6"
"Pago título: 2220003430 1057 - CIA SANEAMENTO BASIC 26/12/2022 LQ 21427,84 21427,84"
"Pago título: 2220003465 1084 - COMPANHIA DE SANEAME 26/12/2022 LQ 17626,64 17626,64"
"Pago título: 2220003479 5261 - CIA DE SANEAMENTO BA 26/12/2022 LQ 17302,09 17302,09"
"Pago título: 2220003486 1000 - CIA SANEAMENTO BASIC 26/12/2022 LQ 17077,28 17077,28"
"Pago título: 2220003507 4519 - IVO ZARZUR ADMINISTR 26/12/2022 LQ 12610,39 12610,39"
"Pago título: 2220003514 1067 - CIA SANEAMENTO BASIC 26/12/2022 LQ 12207,24 12207,24"
"Pago título: 2220003521 1073 - CIA SANEAMENTO BASIC 26/12/2022 LQ 11381,69 11381,69"
"Pago título: 2220003528 822 - AGUAS DE HOLAMBRA SAN 26/12/2022 LQ 10430,32 10430,32"
"Pago título: 2220003542 1058 - CIA SANEAMENTO BASIC 26/12/2022 LQ 10002,41 10002,41"
"Pago título: 2220003549 920 - ELEKEIROZ S/A 26/12/2022 LQ 9546,42 9546,42"
"Pago título: 2220003556 1484 - DELTA INDUSTRIA CERA 26/12/2022 LQ 9365,49 9365,49"
"Pago título: 2220003563 1123 - CIA SANEAMENTO BASIC 26/12/2022 LQ 9250,96 9250,96"
"Pago título: 2220003584 821 - PREFEITURA MUNICIPAL 26/12/2022 LQ 8131 8131"
"Pago título: 2220003591 5355 - CIA DE SANEAMENTO BA 26/12/2022 LQ 7296,85 7296,85"
"Pago título: 2220003598 1064 - CIA SANEAMENTO BASIC 26/12/2022 LQ 6687,95 6687,95"
"Pago título: 2220003605 885 - CP KELCO BRASIL S/A 26/12/2022 LQ 6233,33 6233,33"
"Pago título: 2220003612 6490 - USINA IRB S.A. 26/12/2022 LQ 6192,84 6192,84"
"Pago título: 2220003619 500 - BIGNARDI IND E COM DE 26/12/2022 LQ 6060,2 6060,2"
"Pago título: 2220003633 1070 - CIA SANEAMENTO BASIC 26/12/2022 LQ 5748,27 5748,27"
"Pago título: 2220003640 845 - THYSSENKRUPP METALURG 26/12/2022 LQ 5652,76 5652,76"
"Pago título: 2220003647 1060 - CIA SANEAMENTO BASIC 26/12/2022 LQ 5577,77 5577,77"
"Pago título: 2220003661 1047 - QUIMICA AMPARO LTDA 26/12/2022 LQ 4942,01 4942,01"
"Pago título: 2220003668 868 - PREFEITURA MUNICIPAL 26/12/2022 LQ 4782,14 4782,14"
"Pago título: 2220003682 1110 - SERVICO AUTONOMO DE 26/12/2022 LQ 4522,93 4522,93"
"Pago título: 2220003717 2359 - AGROPECUARIA TUIUTI 26/12/2022 LQ 3712,49 3712,49"
"Pago título: 2220003724 1405 - ASSOCIACAO LOTEAMENT 26/12/2022 LQ 3662,78 3662,78"
"Pago título: 2220003731 1063 - CIA SANEAMENTO BASIC 26/12/2022 LQ 3662,16 3662,16"
"Pago título: 2220003738 891 - TIMAVO DO BRASIL S/A 26/12/2022 LQ 3572,06 3572,06"
"Pago título: 2220003745 417 - EMBRAMACO EMPRESA BRA 26/12/2022 LQ 3536,5 3536,5"
"Pago título: 2220003752 1195 - TEXTIL CANATIBA LTDA 26/12/2022 LQ 3448,55 3448,55"
"Pago título: 2220003759 499 - SPAL INDUSTRIA BRASIL 26/12/2022 LQ 3333,99 3333,99"
"Pago título: 2220003766 948 - QUINTA DA BARONEZA GO 26/12/2022 LQ 3327,5 3327,5"
"Pago título: 2220003794 332 - CBR BRANDS INDUSTRIA 26/12/2022 LQ 2969,93 2969,93"
"Pago título: 2220003801 2289 - ADVANCE INDUSTRIA TE 26/12/2022 LQ 2952,21 2952,21"
"Pago título: 2220003815 160 - ASSOCIACAO RESIDENCIA 26/12/2022 LQ 2850,29 2850,29"
"Pago título: 2220003822 529 - OWENS CORNING FIBERGL 26/12/2022 LQ 2830,9 2830,9"
"Pago título: 2220003829 7351 - COMPANHIA DE SANEAME 26/12/2022 LQ 2747,82 2747,82"
"Pago título: 2220003836 1575 - SO AGUA COMERCIO E S 26/12/2022 LQ 2508,55 2508,55"
"Pago título: 2220003850 1848 - PREFEITURA MUNICIPAL 26/12/2022 LQ 2413,23 2413,23"
"Pago título: 2220003864 1087 - TOYOTA DO BRASIL LTD 26/12/2022 LQ 2360,95 2360,95"
"Pago título: 2220003878 3755 - INDUSTRIAS XHARA LTD 26/12/2022 LQ 2265,13 2265,13"
