"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72451843105202315201.ret"
""
"Cadastrado título novo: 9000007447 2774 - TEXTIL RIO VERDE LTD 30/06/2023 RG 501,45 0"
"Cadastrado título novo: 9000007448 4872 - CONDOMINIO CAMPINAS 30/06/2023 RG 497,29 0"
"Pago título: 9000007212 3471 - ALTO DA COLINA VERDE 31/05/2023 LQ 763,78 763,78"
"Pago título: 9000007267 951 - SERVICO AUTONOMO DE A 31/05/2023 LQ 10000 10000"
"Pago título: 9000007344 7720 - ASSOC DOS MORADORES 31/05/2023 LQ 656,92 656,92"
"Pago título: 9000007365 907 - SERRA AZUL WATER PARK 31/05/2023 LQ 1970,67 1970,67"
"Pago título: 9000007375 96 - TAGMA BRASIL INDUSTRIA 31/05/2023 LQ 4689,71 4689,71"
"Pago título: 9000007380 7376 - CABRINI INDUSTRIA DE 31/05/2023 LQ 799,15 799,15"
"Pago título: 9000007383 4870 - ASSOCIACAO MELHORES 31/05/2023 LQ 2765,32 2765,32"
"Pago título: 9000007385 3439 - CSHG REAL ESTATE FUN 31/05/2023 LQ 1638,46 1638,46"
"Pago título: 9000007387 4582 - CAMPEAO 80 POSTOS DE 31/05/2023 LQ 824,69 824,69"
"Pago título: 9000007388 3946 - CAMPEAO 68 POSTO DE 31/05/2023 LQ 943,32 943,32"
"Pago título: 9000007401 851 - KROMBERG e SCHUBERT D 31/05/2023 LQ 1027,73 1027,73"
"Pago título: 9000007407 1042 - CENTRAL DE SERVICOS 31/05/2023 LQ 525,59 525,59"
"Pago título: 9000007408 933 - MIBA SINTER BRASIL LT 31/05/2023 LQ 1645,86 1645,86"
"Pago título: 9000007411 3450 - ADIVALDO DIAS FURTAD 31/05/2023 LQ 360,15 360,15"
"Pago título: 9000007421 2117 - IPEL - ITIBANYL PROD 31/05/2023 LQ 482,35 482,35"
"Pago título: 9000007424 4043 - CONDOMINIO ALTOS DO 31/05/2023 LQ 652,69 652,69"
"Pago título: 9000007428 7027 - ETIQUETTA BRANCA IND 31/05/2023 LQ 234,61 234,61"
"Pago título: 9000007431 5561 - AGUA DO JAGUARI EMPR 31/05/2023 LQ 2161,7 2161,7"
"Pago título: 9000007442 1550 - CONCRELONGO SERVICOS 31/05/2023 LQ 523,16 523,16"
