"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452401407202312926.ret"
""
"Pago título: 2230000204 1316 - CACOCI CONSULTORIA E 31/07/2023 LQ 274,47 274,47"
"Pago título: 2230000258 1663 - PIMENTA VERDE ALIMEN 31/07/2023 LQ 274,37 274,37"
"Pago título: 2230000260 1679 - PIMENTA VERDE ALIMEN 31/07/2023 LQ 764,45 764,45"
"Pago título: 2230000460 2746 - PIMENTA VERDE ALIMEN 31/07/2023 LQ 374,74 374,74"
"Pago título: 2230000464 2756 - PIMENTA VERDE ALIMEN 31/07/2023 LQ 483,07 483,07"
"Pago título: 2230000604 3373 - PIMENTA VERDE ALIMEN 31/07/2023 LQ 702,64 702,64"
"Pago título: 2230000807 4499 - PIMENTA VERDE ALIMEN 31/07/2023 LQ 1024,69 1024,69"
"Pago título: 2230001559 790 - VLADIMIR JOSE TIZZIAN 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001560 790 - VLADIMIR JOSE TIZZIAN 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230001561 790 - VLADIMIR JOSE TIZZIAN 29/09/2023 LQ 219,58 219,58"
"Pago título: 2230004959 2113 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 487,36 487,36"
"Pago título: 2230005289 2665 - ASSOC DOS PROPRIET D 31/07/2023 LQ 431,06 431,06"
"Pago título: 2230007131 7717 - ASSOCIACAO DO CONJUN 31/07/2023 LQ 262,53 262,53"
"Pago título: 9000007472 3275 - UNIMED DE PIRACICABA 31/07/2023 LQ 1754,61 1754,61"
"Cancelado título: 2230000358 2259 - SANPHAR SAUDE ANIMAL 31/07/2023 BX 134,97 0"
"Cancelado título: 2230004653 1636 - AGV LOGISTICA S.A. 31/07/2023 BX 371,96 0"
"Cancelado título: 2230004654 1636 - AGV LOGISTICA S.A. 31/08/2023 BX 371,98 0"
"Cancelado título: 2230004655 1636 - AGV LOGISTICA S.A. 29/09/2023 BX 371,98 0"
"Cancelado título: 2230004656 1636 - AGV LOGISTICA S.A. 31/10/2023 BX 371,98 0"
"Cancelado título: 2230004657 1636 - AGV LOGISTICA S.A. 30/11/2023 BX 371,98 0"
"Cancelado título: 2230004658 1636 - AGV LOGISTICA S.A. 22/12/2023 BX 371,98 0"
