"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452461907202312816.ret"
""
"Cadastrado título novo: 9000007483 3787 - PEDRA DA MATA EMPREE 31/08/2023 RG 481,75 0"
"Cadastrado título novo: 9000007484 74 - UNILEVER BRASIL INDUST 31/07/2023 RG 5510,57 0"
"Cadastrado título novo: 9000007485 74 - UNILEVER BRASIL INDUST 31/08/2023 RG 5510,55 0"
"Cadastrado título novo: 9000007486 74 - UNILEVER BRASIL INDUST 29/09/2023 RG 5510,55 0"
"Cadastrado título novo: 9000007487 74 - UNILEVER BRASIL INDUST 31/10/2023 RG 5510,55 0"
"Cadastrado título novo: 9000007488 74 - UNILEVER BRASIL INDUST 30/11/2023 RG 5510,55 0"
"Cadastrado título novo: 9000007489 74 - UNILEVER BRASIL INDUST 22/12/2023 RG 5510,55 0"
"Cadastrado título novo: 9000007490 1817 - TECITEX TINTURARIA E 31/07/2023 RG 375,88 0"
"Pago título: 2230000059 341 - DIP S HOTEL LTDA ME 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000147 967 - SYNGENTA PROTECAO DE 31/07/2023 LQ 1398,99 1398,99"
"Pago título: 2230000159 1015 - ASSOCIACAO BRAS IGRE 31/07/2023 LQ 1901,65 1901,65"
"Pago título: 2230000244 1570 - CONDOMINIO RESIDENCI 31/07/2023 LQ 535,44 535,44"
"Pago título: 2230000703 3804 - SORFRIO COMERCIO DE 31/07/2023 LQ 347,71 347,71"
"Pago título: 2230000721 3876 - WEIDMANN TECNOLOGIA 31/07/2023 LQ 245,32 245,32"
"Pago título: 2230000774 4149 - ESCOLA DE EDUCACAO I 31/07/2023 LQ 148,57 148,57"
"Pago título: 2230000843 4833 - FACE EMPREENDIMENTOS 31/07/2023 LQ 322,05 322,05"
"Pago título: 2230001124 1703 - TEXTIL ARATANS LTDA 31/07/2023 LQ 272,29 272,29"
"Pago título: 2230001414 5403 - CLAUDIO ROBERTO DRAG 31/07/2023 LQ 256,17 256,17"
"Pago título: 2230001416 5434 - APARECIDA FLORENCIO 31/07/2023 LQ 238,24 238,24"
"Pago título: 2230001535 451 - VOLKSWAGEN DO BRASIL 31/07/2023 LQ 226,28 226,28"
"Pago título: 2230001536 451 - VOLKSWAGEN DO BRASIL 31/08/2023 LQ 226,27 226,27"
"Pago título: 2230001537 451 - VOLKSWAGEN DO BRASIL 29/09/2023 LQ 226,27 226,27"
"Pago título: 2230004569 1479 - MEAT SNACK PARTNERS 31/07/2023 LQ 518,86 518,86"
"Pago título: 2230005661 3231 - ATMOSFERA GESTAO E H 31/07/2023 LQ 714,53 714,53"
"Pago título: 2230005841 3474 - ASSOCIACAO FILOSOFIC 31/07/2023 LQ 237,15 237,15"
"Pago título: 2230006759 5614 - ATIBAIA SANEAMENTO S 31/07/2023 LQ 438,75 438,75"
"Pago título: 2230006783 5646 - MRV ENGENHARIA E PAR 31/07/2023 LQ 524,79 524,79"
"Pago título: 2230007143 7722 - ASSOC DE PROP DO LOT 31/07/2023 LQ 207,15 207,15"
"Cancelado título: 2230000014 74 - UNILEVER BRASIL INDUST 31/07/2023 BX 33063,32 0"
