"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452502107202313009.ret"
""
"Pago título: 2230000121 859 - AKZO NOBEL PULP AND P 31/07/2023 LQ 2820,62 2820,62"
"Pago título: 2230000179 1108 - GREINER BIO-ONE BRAS 31/07/2023 LQ 693,46 693,46"
"Pago título: 2230000228 1447 - CERAMICA GIANFRANCIS 31/07/2023 LQ 250,26 250,26"
"Pago título: 2230000343 2180 - PEDREIRA E PAVIMENTA 31/07/2023 LQ 808,76 808,76"
"Pago título: 2230000517 2947 - PEDREIRA E PAVIMENTA 31/07/2023 LQ 280,72 280,72"
"Pago título: 2230000553 3161 - ASSOCIACAO DE REPOSI 31/07/2023 LQ 331,99 331,99"
"Pago título: 2230000681 3721 - ASSOCIACAO DE PROPRI 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230000770 4119 - MARTINS & ACCORSI LT 31/07/2023 LQ 395,23 395,23"
"Pago título: 2230001012 141 - PARQUE ECOLOGICO EDUC 31/07/2023 LQ 205,68 205,68"
"Pago título: 2230005889 3590 - AGUA DO CAMPO TRANSP 31/07/2023 LQ 1370,35 1370,35"
"Pago título: 2230006501 5082 - ELLOS EMPREENDIMENTO 31/07/2023 LQ 395,25 395,25"
"Pago título: 9000007481 7753 - POUSADA RECANTO DO T 31/07/2023 LQ 585,53 585,53"
