"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452522407202323649.ret"
""
"Cadastrado título novo: 9000007516 1439 - HOSPITAL NOVO ATIBAI 31/07/2023 RG 349,87 0"
"Pago título: 2230000003 13 - CONDOMINIO EDIFICIO BA 31/07/2023 LQ 252,23 252,23"
"Pago título: 2230000130 897 - TEXPAL QUIMICA LTDA 31/07/2023 LQ 395,91 395,91"
"Pago título: 2230000249 1595 - NOVACKI PAPEL E EMBA 31/07/2023 LQ 174,91 174,91"
"Pago título: 2230000331 2130 - SINEIO LUCIO SERAFIM 31/07/2023 LQ 111,52 111,52"
"Pago título: 2230000342 2173 - CTC CENTRO DE TECNOL 31/07/2023 LQ 4845,53 4845,53"
"Pago título: 2230000374 2383 - SUPERMIX CONCRETO S. 31/07/2023 LQ 192,5 192,5"
"Pago título: 2230000412 2537 - DIA BRASIL SOCIEDADE 31/07/2023 LQ 419,3 419,3"
"Pago título: 2230000526 3000 - TBI DO BRASIL IND, C 31/07/2023 LQ 365,96 365,96"
"Pago título: 2230000560 3186 - ASSOC DOS PROPRIETAR 31/07/2023 LQ 84,37 84,37"
"Pago título: 2230000650 3598 - ECAJ - ENTREPOSTO CE 31/07/2023 LQ 276,56 276,56"
"Pago título: 2230000665 3654 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230000722 3877 - VALINHOS HOTELARIA L 31/07/2023 LQ 248,11 248,11"
"Pago título: 2230000749 4001 - O. S. PARTICIPACOES 31/07/2023 LQ 182,11 182,11"
"Pago título: 2230000904 5470 - MARTINS & PELOSO CHU 31/07/2023 LQ 235,74 235,74"
"Pago título: 2230000928 5591 - M.V.S MINERACAO VALE 31/07/2023 LQ 354,53 354,53"
"Pago título: 2230000952 6763 - CONDOMINIO RESIDENCI 31/07/2023 LQ 145,22 145,22"
"Pago título: 2230001004 79 - HOTEL E SPA JARDIM DA 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001060 889 - INSTITUTO SALESIANO D 31/07/2023 LQ 252,27 252,27"
"Pago título: 2230001302 3633 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001310 3697 - RIO NEGRO EMPREENDIM 31/07/2023 LQ 240,87 240,87"
"Pago título: 2230001392 4794 - CARLOS ALFREDO PETER 31/07/2023 LQ 234,21 234,21"
"Pago título: 2230001393 4794 - CARLOS ALFREDO PETER 31/08/2023 LQ 234,22 234,22"
"Pago título: 2230001718 2974 - ASSOCIACAO DE MORADO 31/07/2023 LQ 234,22 234,22"
"Pago título: 2230001721 2979 - J ARANTES CONSTRUCOE 31/07/2023 LQ 211,7 211,7"
"Pago título: 2230002224 3596 - COEXPAN BRASIL EMBAL 31/07/2023 LQ 211,06 211,06"
"Pago título: 2230002449 302 - TEXTIL IRINEU MENEGHE 31/08/2023 LQ 234,3 234,3"
"Pago título: 2230002588 3285 - ASSOCIACAO VILLAGE L 31/07/2023 LQ 230,26 230,26"
"Pago título: 2230002633 3680 - T & K LOCACOES DE QU 31/07/2023 LQ 204,93 204,93"
"Pago título: 2230002943 85 - ASSOCIACAO PROPRIETARI 31/07/2023 LQ 394,63 394,63"
"Pago título: 2230003681 861 - HUDTELFA TEXTILE TECH 31/07/2023 LQ 1011,73 1011,73"
"Pago título: 2230004683 1675 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 348,41 348,41"
"Pago título: 2230004875 1972 - SINDICATO DOS TRAB I 31/07/2023 LQ 427,24 427,24"
"Pago título: 2230005487 2962 - CONDOMINIO VITORIA D 31/07/2023 LQ 316,17 316,17"
"Pago título: 2230005673 3262 - ASSOCIACAO DE AMIGOS 31/07/2023 LQ 750,1 750,1"
"Pago título: 2230005877 3540 - COMERCIAL DE ALIMENT 31/07/2023 LQ 253,97 253,97"
"Pago título: 2230006003 3703 - ASSOCIACAO DOS PROP. 31/07/2023 LQ 273,23 273,23"
"Pago título: 2230006063 3879 - CATALISE INDUSTRIA E 31/07/2023 LQ 390,35 390,35"
"Pago título: 2230006093 3929 - MINERACAO SAMAMBAIA 31/07/2023 LQ 202,2 202,2"
"Pago título: 2230006495 5079 - CONDOMINIO EDIFICIO 31/07/2023 LQ 292,75 292,75"
"Pago título: 2230006723 5558 - PARKLOG ADMINISTRADO 31/07/2023 LQ 390,33 390,33"
"Pago título: 2230006855 5982 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 243,98 243,98"
"Pago título: 2230006897 6692 - CONDOMINIO EMPRESARI 31/07/2023 LQ 486,48 486,48"
"Pago título: 2230006921 6911 - MAURO DA SILVA ARTUR 31/07/2023 LQ 243,98 243,98"
"Pago título: 2230007011 7308 - MARIA CRISTINA RODRI 31/07/2023 LQ 878,3 878,3"
"Pago título: 2230007119 7711 - PAULO SETUBAL NETO 31/07/2023 LQ 257,62 257,62"
"Cancelado título: 2230001268 3312 - KESTRA UNIVERSAL SOL 31/07/2023 BX 269,27 0"
"Cancelado título: 2230001269 3312 - KESTRA UNIVERSAL SOL 31/08/2023 BX 269,28 0"
