"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452562607202313639.ret"
""
"Cadastrado título novo: 9000007518 746 - RENATO RIOTARO TAKIGU 31/08/2023 RG 198,42 0"
"Pago título: 2230000012 49 - CONTINENTAL AUTOMOTIVE 31/07/2023 LQ 7918,5 7918,5"
"Pago título: 2230000138 933 - MIBA SINTER BRASIL LT 31/07/2023 LQ 1446,26 1446,26"
"Pago título: 2230000166 1026 - CONDOMINIO EDIFICIOS 31/07/2023 LQ 220,57 220,57"
"Pago título: 2230000229 1452 - CERAMICA TABOAL LTDA 31/07/2023 LQ 234,21 234,21"
"Pago título: 2230000297 1904 - ELEKTRO ELETRICIDADE 31/07/2023 LQ 439,14 439,14"
"Pago título: 2230000375 2385 - SOLENIS ESPECIALIDAD 31/07/2023 LQ 4100,64 4100,64"
"Pago título: 2230000685 3736 - C L A - CENTRO LOGIS 31/07/2023 LQ 196,99 196,99"
"Pago título: 2230000710 3822 - PEDREIRA REMANSO LTD 31/07/2023 LQ 895,87 895,87"
"Pago título: 2230000711 3823 - SOLVEN SOLVENTES E Q 31/07/2023 LQ 322,05 322,05"
"Pago título: 2230000845 4844 - CENTRO DE TECNOLOGIA 31/07/2023 LQ 1771,23 1771,23"
"Pago título: 2230000854 4900 - UNIDADE DE TERAPIA R 31/07/2023 LQ 2195,75 2195,75"
"Pago título: 2230000879 5307 - ASSOCIACAO DE MORADO 31/07/2023 LQ 298,62 298,62"
"Pago título: 2230000992 7700 - ASSOC MANTENEDORA DO 31/07/2023 LQ 1053,96 1053,96"
"Pago título: 2230001190 2340 - ASSOC DOS PROPRIETAR 31/07/2023 LQ 296,42 296,42"
"Pago título: 2230001332 3850 - PORTO DE AREIA RIO B 31/07/2023 LQ 243,96 243,96"
"Pago título: 2230001508 147 - COUNTRY CLUB LA CAMPA 31/07/2023 LQ 235,72 235,72"
"Pago título: 2230001619 1838 - MARGARETH CASTILHO D 31/07/2023 LQ 219,81 219,81"
"Pago título: 2230001637 2041 - COSMOPOLITANO FUTEBO 31/07/2023 LQ 219,32 219,32"
