"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452582707202312801.ret"
""
"Cadastrado título novo: 9000007519 1035 - RAIZEN ENERGIA S/A 31/07/2023 RG 33715,04 0"
"Cadastrado título novo: 9000007520 1035 - RAIZEN ENERGIA S/A 31/08/2023 RG 33715,04 0"
"Cadastrado título novo: 9000007521 1035 - RAIZEN ENERGIA S/A 29/09/2023 RG 33715,04 0"
"Cadastrado título novo: 9000007522 1035 - RAIZEN ENERGIA S/A 31/10/2023 RG 33715,04 0"
"Cadastrado título novo: 9000007523 1035 - RAIZEN ENERGIA S/A 30/11/2023 RG 33715,04 0"
"Cadastrado título novo: 9000007524 1035 - RAIZEN ENERGIA S/A 22/12/2023 RG 33715,04 0"
"Pago título: 2230000018 106 - COVABRA SUPERMERCADOS 31/07/2023 LQ 480,46 480,46"
"Pago título: 2230000050 305 - CHR HANSEN INDUSTRIA 31/07/2023 LQ 1189,6 1189,6"
"Pago título: 2230000064 364 - RAINHA INDUSTRIA E CO 31/07/2023 LQ 118,48 118,48"
"Pago título: 2230000073 395 - EDIFICIO RESIDENCIAL 31/07/2023 LQ 200,62 200,62"
"Pago título: 2230000145 963 - SCHOTT FLAT GLASS DO 31/07/2023 LQ 416,64 416,64"
"Pago título: 2230000150 984 - DOM PEDRO EMPREENDIME 31/07/2023 LQ 363,03 363,03"
"Pago título: 2230000153 1007 - CONDOMINIO EDIFICIO 31/07/2023 LQ 222,15 222,15"
"Pago título: 2230000154 1009 - CONDOMINIO EDIFICIO 31/07/2023 LQ 196,94 196,94"
"Pago título: 2230000156 1011 - CONDOMINIO EDIFICIO 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000163 1022 - EDIFICIO RESIDENCIAL 31/07/2023 LQ 190,64 190,64"
"Pago título: 2230000169 1037 - EXXONMOBIL QUIMICA L 31/07/2023 LQ 200,92 200,92"
"Pago título: 2230000183 1133 - AIR LIQUIDE BRASIL L 31/07/2023 LQ 385,61 385,61"
"Pago título: 2230000195 1218 - SEST - SERVICO SOCIA 31/07/2023 LQ 217,07 217,07"
"Pago título: 2230000262 1697 - AVERY DENNISON DO BR 31/07/2023 LQ 482,02 482,02"
"Pago título: 2230000286 1839 - TEXTIL PBS LTDA 31/07/2023 LQ 208,29 208,29"
"Pago título: 2230000305 1941 - ESSENCEFLORA INDUSTR 31/07/2023 LQ 788,3 788,3"
"Pago título: 2230000332 2141 - SEARA ALIMENTOS S/A 31/07/2023 LQ 2173,79 2173,79"
"Pago título: 2230000333 2147 - EDIFICIO VILLA D  AC 31/07/2023 LQ 299,42 299,42"
"Pago título: 2230000350 2230 - ASSOCIACAO DO LOTEAM 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000367 2330 - PQ SILICAS BRAZIL LT 31/07/2023 LQ 4222,46 4222,46"
"Pago título: 2230000438 2654 - CERAMICA SANTA TEREZ 31/07/2023 LQ 246,4 246,4"
"Pago título: 2230000532 3021 - GODOY & BAPTISTELLA 31/07/2023 LQ 300,3 300,3"
"Pago título: 2230000564 3215 - ASSOC DOS PROPRIETAR 31/07/2023 LQ 336,68 336,68"
"Pago título: 2230000612 3420 - CONDOMINIO INDUSTRIA 31/07/2023 LQ 160,12 160,12"
"Pago título: 2230000617 3435 - CONDOMINIO EDIFICIO 31/07/2023 LQ 251,58 251,58"
"Pago título: 2230000626 3472 - CONDOMINIO RESIDENCI 31/07/2023 LQ 147,93 147,93"
"Pago título: 2230000668 3664 - SHW DO BRASIL LTDA 31/07/2023 LQ 133,68 133,68"
"Pago título: 2230000743 3975 - ASSOCIACAO BOAS NOVA 31/07/2023 LQ 388,77 388,77"
"Pago título: 2230000757 4054 - CONDOMINIO PALAZZO U 31/07/2023 LQ 271,57 271,57"
"Pago título: 2230000763 4067 - LICEU CORACAO DE JES 31/07/2023 LQ 371,24 371,24"
"Pago título: 2230000769 4113 - CARLOS ALBERTO TREIN 31/07/2023 LQ 214,72 214,72"
"Pago título: 2230000773 4133 - CHOPERIA GIOVANETTI 31/07/2023 LQ 308,05 308,05"
"Pago título: 2230000779 4225 - CONDOMINIO RESIDENCI 31/07/2023 LQ 417,45 417,45"
"Pago título: 2230000796 4401 - SUPERMERCADOS BOM-NE 31/07/2023 LQ 116,71 116,71"
"Pago título: 2230000930 5610 - ASSOCIACAO DE PROPRI 31/07/2023 LQ 234,21 234,21"
"Pago título: 2230000932 5615 - RANAH ADMINISTRACAO 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000951 6670 - CONDOMINIO RESIDENCI 31/07/2023 LQ 145,22 145,22"
"Pago título: 2230000973 7201 - CONDOMINIO EDIFICIO 31/07/2023 LQ 254,03 254,03"
"Pago título: 2230001008 102 - FSO PRODUTOS ORGANICO 31/07/2023 LQ 204,93 204,93"
"Pago título: 2230001068 1040 - CONJUNTO RESIDENCIAL 31/07/2023 LQ 287,25 287,25"
"Pago título: 2230001227 2842 - CONDOMINIO RESIDENCI 31/08/2023 LQ 246,37 246,37"
"Pago título: 2230001288 3511 - CONDOMINIO RESIDENCI 31/07/2023 LQ 284,8 284,8"
"Pago título: 2230001362 4374 - WAGNER BISCO 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230001412 5304 - EDIFICIO NOVAMERICA 31/07/2023 LQ 276,19 276,19"
"Pago título: 2230001577 1125 - KARCHER INDUSTRIA E 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001679 2495 - HOTEL NACIONAL INN L 31/07/2023 LQ 211,97 211,97"
"Pago título: 2230001745 3193 - NOSSO CLUBE 31/07/2023 LQ 214,59 214,59"
"Pago título: 2230001877 4804 - FATIMA APARECIDA LAN 31/07/2023 LQ 243,97 243,97"
"Pago título: 2230001883 4872 - CONDOMINIO CAMPINAS 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001964 7712 - JORGE DA FONSECA OSO 31/07/2023 LQ 249,13 249,13"
"Pago título: 2230001988 260 - SERVICO DE SAUDE DR. 31/07/2023 LQ 223,96 223,96"
"Pago título: 2230002020 835 - ARKEMA QUIMICA LTDA 31/07/2023 LQ 200,6 200,6"
"Pago título: 2230002052 1092 - PREFEITURA MUNICIPAL 31/07/2023 LQ 243,87 243,87"
"Pago título: 2230002152 2657 - INDUSTRIAS NARDINI S 31/07/2023 LQ 234,07 234,07"
"Pago título: 2230002288 4407 - RODOPOSTO BANDEIRANT 31/07/2023 LQ 229,45 229,45"
"Pago título: 2230002340 5353 - CONDOMINIO RESIDENCI 31/07/2023 LQ 226,07 226,07"
"Pago título: 2230002698 4579 - ASSOCIACAO DE MORADO 31/07/2023 LQ 218,83 218,83"
"Pago título: 2230003009 152 - SOCIEDADE AMIGOS DO R 31/07/2023 LQ 500,16 500,16"
"Pago título: 2230003165 262 - INDUSTRIA CAMPINEIRA 31/07/2023 LQ 395,21 395,21"
"Pago título: 2230003261 357 - CONDOMINIO VILLE DE C 31/07/2023 LQ 1924,23 1924,23"
"Pago título: 2230003339 421 - MARTINREA HONSEL BRAS 31/07/2023 LQ 1156,42 1156,42"
"Pago título: 2230003831 923 - EMS S/A 31/07/2023 LQ 1456,67 1456,67"
"Pago título: 2230003873 940 - SERVICO AUTONOMO DE A 31/07/2023 LQ 61220,43 61220,43"
"Pago título: 2230003957 968 - SUZANO PAPEL E CELULO 31/07/2023 LQ 1087,22 1087,22"
"Pago título: 2230004323 1140 - VIA VAREJO S/A 31/07/2023 LQ 442,26 442,26"
"Pago título: 2230004587 1490 - AGUA SANTO ANTONIO L 31/07/2023 LQ 747,63 747,63"
"Pago título: 2230005091 2310 - AQUACHER COMERCIAL L 31/07/2023 LQ 486,73 486,73"
"Pago título: 2230005565 3091 - KARCHER INDUSTRIA E 31/07/2023 LQ 302,02 302,02"
"Pago título: 2230005775 3389 - CONDOMINIO RESIDENCI 31/07/2023 LQ 685,19 685,19"
"Pago título: 2230005949 3660 - SO AGUA COMERCIAL E 31/07/2023 LQ 468,41 468,41"
"Pago título: 2230006123 3994 - ASSOCIACAO RESERVA D 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230006159 4135 - ALCEBIADES FERREIRA 31/07/2023 LQ 232,64 232,64"
"Pago título: 2230006525 5261 - CIA DE SANEAMENTO BA 31/07/2023 LQ 16503,02 16503,02"
"Pago título: 2230007173 7733 - ASSOC PROP LOT FECH 31/07/2023 LQ 487,92 487,92"
"Cancelado título: 2230000718 3869 - LOGBRAS CABREUVA EMP 31/07/2023 BX 256,17 0"
"Cancelado título: 2230004053 1035 - RAIZEN ENERGIA S/A 31/07/2023 BX 81487,11 0"
"Cancelado título: 2230004054 1035 - RAIZEN ENERGIA S/A 31/08/2023 BX 81487,13 0"
"Cancelado título: 2230004055 1035 - RAIZEN ENERGIA S/A 29/09/2023 BX 81487,13 0"
"Cancelado título: 2230004056 1035 - RAIZEN ENERGIA S/A 31/10/2023 BX 81487,13 0"
"Cancelado título: 2230004057 1035 - RAIZEN ENERGIA S/A 30/11/2023 BX 81487,13 0"
"Cancelado título: 2230004058 1035 - RAIZEN ENERGIA S/A 22/12/2023 BX 81487,13 0"
