"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452602807202314942.ret"
""
"Cadastrado título novo: 9000007525 2073 - CTEEP CIA DE TRANSMI 04/08/2023 RG 403,66 0"
"Cadastrado título novo: 9000007526 2070 - CTEEP CIA DE TRANSMI 04/08/2023 RG 598,02 0"
"Cadastrado título novo: 9000007527 7742 - QUIMICOS E SOLUCOES 31/07/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007528 7742 - QUIMICOS E SOLUCOES 31/08/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007529 7742 - QUIMICOS E SOLUCOES 29/09/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007530 7742 - QUIMICOS E SOLUCOES 31/10/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007531 7742 - QUIMICOS E SOLUCOES 30/11/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007532 7742 - QUIMICOS E SOLUCOES 22/12/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007533 2444 - TNT MERCURIO CARGAS 31/08/2023 RG 226,23 0"
"Cadastrado título novo: 9000007534 4674 - L'OCCITANE OPERA IND 09/08/2023 RG 239,62 0"
"Pago título: 2230000017 104 - SCHOLLE LTDA 31/07/2023 LQ 1873,71 1873,71"
"Pago título: 2230000022 122 - D  I  EMPREENDIMENTOS 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230000025 139 - RIO EMPREENDIMENTOS I 31/07/2023 LQ 247,39 247,39"
"Pago título: 2230000027 143 - CONDOMINIO EDIFICIO I 31/07/2023 LQ 267,95 267,95"
"Pago título: 2230000035 175 - SOCIEDADE DE EDUCACAO 31/07/2023 LQ 109,81 109,81"
"Pago título: 2230000071 389 - STOLLER DO BRASIL LTD 31/07/2023 LQ 3705,95 3705,95"
"Pago título: 2230000089 496 - VETTA QUIMICA IMPORTA 31/07/2023 LQ 2358,18 2358,18"
"Pago título: 2230000140 935 - PREFEITURA MUNICIPAL 31/07/2023 LQ 20826,26 20826,26"
"Pago título: 2230000170 1043 - MAGNA DO BRASIL PROD 31/07/2023 LQ 1573 1573"
"Pago título: 2230000186 1160 - OPERSAN RESIDUOS IND 31/07/2023 LQ 750,03 750,03"
"Pago título: 2230000197 1224 - SECRETARIA DA ADM PE 31/07/2023 LQ 2480,07 2480,07"
"Pago título: 2230000201 1279 - METALURGICA DDL LTDA 31/07/2023 LQ 250,08 250,08"
"Pago título: 2230000213 1383 - MAQUINAS FURLAN LTDA 31/07/2023 LQ 1112,51 1112,51"
"Pago título: 2230000214 1384 - BRITISH INDUSTRIA E 31/07/2023 LQ 167,1 167,1"
"Pago título: 2230000230 1453 - MARIA CUSTODIA DE SA 31/07/2023 LQ 218,35 218,35"
"Pago título: 2230000234 1480 - ASSOCIACAO DOS AMIGO 31/07/2023 LQ 711,42 711,42"
"Pago título: 2230000242 1562 - RODOPOSTO TURMALINA 31/07/2023 LQ 1563,03 1563,03"
"Pago título: 2230000255 1633 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 1376,01 1376,01"
"Pago título: 2230000298 1911 - AUTO POSTO PETROPEN 31/07/2023 LQ 137,5 137,5"
"Pago título: 2230000307 1946 - ARCELOR MITTAL BRASI 31/07/2023 LQ 3120,89 3120,89"
"Pago título: 2230000364 2297 - VITORIA QUIMICA TINT 31/07/2023 LQ 304,06 304,06"
"Pago título: 2230000368 2333 - AGUA BRAG ABASTECIME 31/07/2023 LQ 240,63 240,63"
"Pago título: 2230000369 2341 - TRANSPORTE FREIRE & 31/07/2023 LQ 1466,38 1466,38"
"Pago título: 2230000387 2460 - JOSE LAVELLI DE LIMA 31/07/2023 LQ 281,05 281,05"
"Pago título: 2230000403 2499 - SCHREDER DO BRASIL I 31/07/2023 LQ 169,4 169,4"
"Pago título: 2230000414 2542 - COOPERATIVA DE PRODU 31/07/2023 LQ 115,67 115,67"
"Pago título: 2230000441 2670 - RONALDO ALUISIO KIEV 31/07/2023 LQ 380,59 380,59"
"Pago título: 2230000443 2677 - ARACAJU PARTICIPACOE 31/07/2023 LQ 173,39 173,39"
"Pago título: 2230000562 3206 - ASSOCIACAO DE AMIGOS 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000582 3283 - TECNOROAD RODAS E PN 31/07/2023 LQ 191,99 191,99"
"Pago título: 2230000599 3354 - RIO FORMOSO NEGOCIOS 31/07/2023 LQ 2413,59 2413,59"
"Pago título: 2230000653 3610 - FENIX FABRIL INDUSTR 31/07/2023 LQ 3273,63 3273,63"
"Pago título: 2230000680 3718 - FRANCISCO SALES DUAR 31/07/2023 LQ 47,14 47,14"
"Pago título: 2230000700 3790 - RIO EMPREENDIMENTOS 31/07/2023 LQ 109,36 109,36"
"Pago título: 2230000705 3810 - BRENHA DA FONTOURA A 31/07/2023 LQ 908,34 908,34"
"Pago título: 2230000706 3811 - ROXO NOBRE E FILHO S 31/07/2023 LQ 875,32 875,32"
"Pago título: 2230000738 3941 - EDSON SANTO INCERPI 31/07/2023 LQ 131,75 131,75"
"Pago título: 2230000745 3982 - TRANSPORTADORA CARDE 31/07/2023 LQ 140,21 140,21"
"Pago título: 2230000760 4061 - CONDOMINIO EDIFICIO 31/07/2023 LQ 282,59 282,59"
"Pago título: 2230000781 4242 - NEW COLOR PLASTIC IN 31/07/2023 LQ 77,11 77,11"
"Pago título: 2230000818 4591 - SIEMENS LTDA. 31/07/2023 LQ 1063,49 1063,49"
"Pago título: 2230000830 4741 - RODOSNACK MIRANTE LA 31/07/2023 LQ 731,91 731,91"
"Pago título: 2230000884 5378 - JD AGRICULTURA E PAR 31/07/2023 LQ 223,64 223,64"
"Pago título: 2230000900 5450 - CLUBE DE CAMPO PRO-V 31/07/2023 LQ 1024,69 1024,69"
"Pago título: 2230000906 5477 - SAN MARCOS REVESTIME 31/07/2023 LQ 878,3 878,3"
"Pago título: 2230000907 5485 - ASSOC DA INSTITUIDOR 31/07/2023 LQ 193,95 193,95"
"Pago título: 2230000919 5552 - ASSOCIACAO EDUCACION 31/07/2023 LQ 96,74 96,74"
"Pago título: 2230000942 5777 - HOSPITAL SANTA ELISA 31/07/2023 LQ 239,74 239,74"
"Pago título: 2230000959 6951 - JPGC ADMINISTRADORA 31/07/2023 LQ 375,95 375,95"
"Pago título: 2230000963 7057 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230000996 7718 - SOLES REVESTIMENTOS 31/07/2023 LQ 1518,42 1518,42"
"Pago título: 2230001022 277 - LINHASITA INDUSTRIA D 31/07/2023 LQ 202,97 202,97"
"Pago título: 2230001030 340 - SIND TRAB IND DE VIDR 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001040 525 - ASSOCIACAO PROPR DA G 31/07/2023 LQ 292,76 292,76"
"Pago título: 2230001072 1051 - ITABRAS MINERACAO  L 31/07/2023 LQ 292,75 292,75"
"Pago título: 2230001108 1571 - RODOPOSTO TOPAZIO LT 31/07/2023 LQ 292,14 292,14"
"Pago título: 2230001150 1991 - CONCREVIP - CONCRETE 31/07/2023 LQ 219,57 219,57"
