"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452623107202325548.ret"
""
"Cadastrado título novo: 9000007535 3579 - ADM ARMAZENS GERAIS 07/08/2023 RG 196,79 0"
"Pago título: 2230000002 11 - PHIBRO SAUDE E NUTRICA 31/07/2023 LQ 537,25 537,25"
"Pago título: 2230000004 16 - INDAIA HOTELARIA LTDA 31/07/2023 LQ 234,21 234,21"
"Pago título: 2230000008 35 - VALE DAS AGUAS COUNTRY 31/07/2023 LQ 169,4 169,4"
"Pago título: 2230000010 40 - CONDOMINIO RESIDENCIAL 31/07/2023 LQ 250,32 250,32"
"Pago título: 2230000013 70 - DS SIQUEIRA & LIMA HOT 31/07/2023 LQ 180,64 180,64"
"Pago título: 2230000016 89 - IMERYS FUSED MINERALS 31/07/2023 LQ 2083,35 2083,35"
"Pago título: 2230000019 110 - SUNTECH SUPPLIES IND 31/07/2023 LQ 134,97 134,97"
"Pago título: 2230000020 113 - POLIMIX CONCRETO LTDA 31/07/2023 LQ 111,49 111,49"
"Pago título: 2230000021 117 - MOTO HONDA DA AMAZONI 31/07/2023 LQ 621,24 621,24"
"Pago título: 2230000023 124 - SMART ADMINISTRACAO D 31/07/2023 LQ 230,16 230,16"
"Pago título: 2230000024 131 - CONDOMINIO EDIFICIO G 31/07/2023 LQ 410,69 410,69"
"Pago título: 2230000026 140 - RODOPOSTO BANDEIRANTE 31/07/2023 LQ 288,4 288,4"
"Pago título: 2230000028 146 - CONDOMINIO RESIDENCIA 31/07/2023 LQ 368,89 368,89"
"Pago título: 2230000029 151 - MOMENTIVE PERFORMANCE 31/07/2023 LQ 2205,57 2205,57"
"Pago título: 2230000032 169 - CORPUS SANEAMENTO E O 31/07/2023 LQ 644,1 644,1"
"Pago título: 2230000036 181 - EMULZINT ADITIVOS ALI 31/07/2023 LQ 336,37 336,37"
"Pago título: 2230000037 193 - ENGOMAGEM TEXTIL WHIT 31/07/2023 LQ 176,18 176,18"
"Pago título: 2230000038 194 - CRUZEIRO DO SUL INDUS 31/07/2023 LQ 1838,16 1838,16"
"Pago título: 2230000042 214 - AKZO NOBEL PULP AND P 31/07/2023 LQ 22840,54 22840,54"
"Pago título: 2230000043 218 - HAVER & BOECKER LATIN 31/07/2023 LQ 249,36 249,36"
"Pago título: 2230000044 226 - VELHOBOL CLUBE DE CAM 31/07/2023 LQ 526,98 526,98"
"Pago título: 2230000051 311 - COMERCIO TERRAPLENAGE 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000052 314 - SUPERMERCADOS CAETANO 31/07/2023 LQ 211,98 211,98"
"Pago título: 2230000053 329 - SILCON AMBIENTAL LTDA 31/07/2023 LQ 216,57 216,57"
"Pago título: 2230000057 338 - ESCOLAS PADRE ANCHIET 31/07/2023 LQ 200,29 200,29"
"Pago título: 2230000058 339 - LITOGRAFIA BANDEIRANT 31/07/2023 LQ 148,84 148,84"
"Pago título: 2230000060 343 - CENTRO EDUCACIONAL DE 31/07/2023 LQ 124,25 124,25"
"Pago título: 2230000063 363 - H N HOTEIS E TURISMO 31/07/2023 LQ 389,93 389,93"
"Pago título: 2230000067 381 - INSTITUTO EDUCACIONAL 31/07/2023 LQ 287,86 287,86"
"Pago título: 2230000069 386 - TRANSPORTADORA TRANS 31/07/2023 LQ 264,54 264,54"
"Pago título: 2230000070 388 - FLORENCA PALACE HOTEL 31/07/2023 LQ 297,68 297,68"
"Pago título: 2230000076 414 - RANER INDUSTRIA TEXTI 31/07/2023 LQ 222,13 222,13"
"Pago título: 2230000082 465 - MAHLE METAL LEVE S/A 31/07/2023 LQ 1324,49 1324,49"
"Pago título: 2230000083 467 - PAGUE MENOS COMERCIO 31/07/2023 LQ 253,81 253,81"
"Pago título: 2230000084 468 - PAGUE MENOS COMERCIO 31/07/2023 LQ 223,82 223,82"
"Pago título: 2230000085 470 - CBC INDUSTRIAS PESADA 31/07/2023 LQ 1377,98 1377,98"
"Pago título: 2230000090 506 - KLABIN S/A 31/07/2023 LQ 217,72 217,72"
"Pago título: 2230000093 532 - CENTRO ESTADUAL DE ED 31/07/2023 LQ 832,55 832,55"
"Pago título: 2230000094 541 - LIMER-CART INDUSTRIA 31/07/2023 LQ 365,96 365,96"
"Pago título: 2230000095 542 - GLASSEC VIDROS DE SEG 31/07/2023 LQ 1229,62 1229,62"
"Pago título: 2230000098 548 - ROSFRIOS ALIMENTOS LT 31/07/2023 LQ 254,11 254,11"
"Pago título: 2230000099 555 - UNIMED COOPERATIVA CE 31/07/2023 LQ 380,59 380,59"
"Pago título: 2230000100 562 - M. N. TERUYA COMERCIA 31/07/2023 LQ 279,4 279,4"
"Pago título: 2230000102 571 - ADELBRAS INDUSTRIA E 31/07/2023 LQ 616,03 616,03"
"Pago título: 2230000104 583 - HOTEL BOURBON DE FOZ 31/07/2023 LQ 2398,87 2398,87"
"Pago título: 2230000107 624 - ARMINDO DIAS 31/07/2023 LQ 266,34 266,34"
"Pago título: 2230000110 663 - MARCOS LUIS JEREMIAS 31/07/2023 LQ 144,38 144,38"
"Pago título: 2230000111 731 - AUGUSTA MARTINS FIORI 31/07/2023 LQ 216,27 216,27"
"Pago título: 2230000113 764 - CARLOS ALBERTO LOUREN 31/07/2023 LQ 234,21 234,21"
"Pago título: 2230000115 802 - APARECIDO INACIO DE O 31/07/2023 LQ 320,73 320,73"
"Pago título: 2230000117 809 - TELMA AMARAL DUARTE 31/07/2023 LQ 310,35 310,35"
"Pago título: 2230000118 827 - UNIVERSIDADE ESTADUAL 31/07/2023 LQ 3415,11 3415,11"
"Pago título: 2230000119 830 - UNIVERSIDADE ESTADUAL 31/07/2023 LQ 2801,02 2801,02"
"Pago título: 2230000120 846 - ASSOCIACAO ECOLOGICA 31/07/2023 LQ 283,99 283,99"
"Pago título: 2230000123 862 - THE LYCRA COMPANY IND 31/07/2023 LQ 6697,88 6697,88"
"Pago título: 2230000124 866 - TEXTIL ASSEF MALUF LT 31/07/2023 LQ 139,27 139,27"
"Pago título: 2230000129 887 - AKDENIZ CHEMSON ADITI 31/07/2023 LQ 434,76 434,76"
"Pago título: 2230000132 916 - UNIVERSIDADE ESTADUAL 31/07/2023 LQ 8767,5 8767,5"
"Pago título: 2230000135 927 - UNILEVER BRASIL INDUS 31/07/2023 LQ 19715,06 19715,06"
"Pago título: 2230000139 934 - UNIVERSIDADE ESTADUAL 31/07/2023 LQ 367,9 367,9"
"Pago título: 2230000141 936 - RIP - SERVICOS INDUST 31/07/2023 LQ 278,53 278,53"
"Pago título: 2230000142 954 - AB SISTEMA DE FREIOS 31/07/2023 LQ 606,31 606,31"
"Pago título: 2230000143 956 - CERAMICA VILLAGRES LT 31/07/2023 LQ 7231,32 7231,32"
"Pago título: 2230000144 958 - MEFSA - MECANICA E FU 31/07/2023 LQ 351,32 351,32"
"Pago título: 2230000146 964 - TIGRE MATERIAIS E SOL 31/07/2023 LQ 3744,54 3744,54"
"Pago título: 2230000148 979 - CRIVELLARO & FILHOS L 31/07/2023 LQ 215,15 215,15"
"Pago título: 2230000149 980 - PREFEITURA MUNICIPAL 31/07/2023 LQ 139828,93 139828,93"
"Pago título: 2230000151 995 - CADSERVICE PRODUTOS E 31/07/2023 LQ 348,09 348,09"
"Pago título: 2230000152 1003 - ANTIBIOTICOS DO BRAS 31/07/2023 LQ 2320,24 2320,24"
"Pago título: 2230000155 1010 - CONDOMINIO INDUSTRIA 31/07/2023 LQ 207,54 207,54"
"Pago título: 2230000158 1013 - MEXICHEM BRASIL INDU 31/07/2023 LQ 2831,96 2831,96"
"Pago título: 2230000162 1021 - INDUSTRIA E COMERCIO 31/07/2023 LQ 338,53 338,53"
"Pago título: 2230000165 1025 - CONDOMINIO SOLAR DOS 31/07/2023 LQ 135,79 135,79"
"Pago título: 2230000172 1061 - FUNDACAO CENTRO MEDI 31/07/2023 LQ 298,53 298,53"
"Pago título: 2230000173 1080 - METALURGICA RIGITEC 31/07/2023 LQ 383,08 383,08"
