"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452982408202313359.ret"
""
"Cadastrado título novo: 9000007607 941 - RAIZEN ENERGIA S/A 31/08/2023 RG 17982,58 0"
"Pago título: 2230000439 2658 - KNORR-BREMSE BRASIL 25/08/2023 LQ 950,87 950,87"
"Pago título: 2230000771 4120 - A & S TECHNOLOGIES I 25/08/2023 LQ 307,41 307,41"
"Pago título: 2230001250 3123 - FRANCISCO ISSAO SAIT 25/08/2023 LQ 292,76 292,76"
"Pago título: 2230001459 5947 - SERVICO SOCIAL DO CO 31/08/2023 LQ 264,24 264,24"
"Pago título: 2230001533 444 - VIRONDA CONFECCOES LT 31/08/2023 LQ 233,68 233,68"
"Pago título: 2230001695 2664 - CONDOMINIO RESIDENCI 31/08/2023 LQ 220,04 220,04"
"Pago título: 2230001788 3642 - CONDOMINIO RESIDENCI 31/08/2023 LQ 265,01 265,01"
"Pago título: 2230002077 1375 - IGREJA DO EVANGELHO 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230002293 4409 - RODOPOSTO BANDEIRANT 31/08/2023 LQ 238,63 238,63"
"Pago título: 2230003448 491 - CATERPILLAR BRASIL LT 31/08/2023 LQ 668,29 668,29"
"Pago título: 2230004006 989 - A P LOSA & CIA LTDA 31/08/2023 LQ 585,53 585,53"
"Pago título: 2230004846 1902 - KENJI EXTRACAO E COM 31/08/2023 LQ 386,75 386,75"
"Pago título: 2230005488 2962 - CONDOMINIO VITORIA D 31/08/2023 LQ 316,19 316,19"
"Pago título: 2230005650 3214 - S.ZANARDI EMPREENDIM 31/08/2023 LQ 260,08 260,08"
"Pago título: 2230006640 5443 - ASSOC DOS PROP E MOR 31/08/2023 LQ 307,41 307,41"
"Pago título: 2230006898 6692 - CONDOMINIO EMPRESARI 31/08/2023 LQ 486,47 486,47"
"Pago título: 2230007083 7373 - LEVISSIMA DISTRIBUIC 25/08/2023 LQ 1288,19 1288,19"
"Pago título: 2230007174 7733 - ASSOC PROP LOT FECH 31/08/2023 LQ 487,95 487,95"
"ERRO! Operação desconhecida: 2230003207 304 - ASSOC DOS PROPRIETARI 28/08/2023 VC 967,62 0"
