"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453083108202313107.ret"
""
"Cadastrado título novo: 9000007618 1598 - ARTEC PISOS E REVEST 29/09/2023 RG 249,08 0"
"Pago título: 2230000267 1745 - FURNAS CENTRAIS ELET 31/08/2023 LQ 1045,44 1045,44"
"Pago título: 2230000767 4092 - CONDOMINIO RESIDENCI 31/08/2023 LQ 271,57 271,57"
"Pago título: 2230001017 264 - ENXUTO SUPERMERCADOS 31/08/2023 LQ 219,12 219,12"
"Pago título: 2230001019 266 - ESCOLA AMERICANA DE C 31/08/2023 LQ 211,76 211,76"
"Pago título: 2230001023 277 - LINHASITA INDUSTRIA D 31/08/2023 LQ 202,97 202,97"
"Pago título: 2230001039 418 - RESIDENCIAL ALTO DOS 31/08/2023 LQ 246,46 246,46"
"Pago título: 2230001043 569 - ALCAR ABRASIVOS LTDA 31/08/2023 LQ 295,57 295,57"
"Pago título: 2230001045 574 - SINTER FUTURA LTDA 31/08/2023 LQ 275,84 275,84"
"Pago título: 2230001047 584 - INSTITUTO SECULAR IRM 31/08/2023 LQ 262,77 262,77"
"Pago título: 2230001051 734 - GUSTAVO ADOLFO BAETA 31/08/2023 LQ 202,19 202,19"
"Pago título: 2230001057 834 - BURIGOTTO S/A INDUSTR 31/08/2023 LQ 244,66 244,66"
"Pago título: 2230001059 840 - UNIFRAX BRASIL LTDA 31/08/2023 LQ 219,87 219,87"
"Pago título: 2230001065 1008 - CONDOMINIO RESIDENCI 31/08/2023 LQ 212,41 212,41"
"Pago título: 2230001067 1032 - CLUBE RECREATIVO FLO 31/08/2023 LQ 259,1 259,1"
"Pago título: 2230001071 1042 -  CENTRAL DE SERVICOS 31/08/2023 LQ 232,07 232,07"
"Pago título: 2230001075 1056 - BELENUS DO BRASIL LT 31/08/2023 LQ 256,17 256,17"
"Pago título: 2230001077 1076 - LOJAS CEM S/A 31/08/2023 LQ 218,73 218,73"
"Pago título: 2230001079 1124 - TAKATA BRASIL S/A 31/08/2023 LQ 262,58 262,58"
"Pago título: 2230001083 1152 - JESUS TITO DA SILVA 31/08/2023 LQ 207,11 207,11"
"Pago título: 2230001085 1165 - ASSOCIACAO EDUCADORA 31/08/2023 LQ 236,36 236,36"
"Pago título: 2230001087 1185 - MINERADORA BARBARENS 31/08/2023 LQ 204,94 204,94"
"Pago título: 2230001091 1205 - LAR DOS VELHINHOS DE 31/08/2023 LQ 233,35 233,35"
"Pago título: 2230001095 1229 - ALBANO EMBALAGENS ES 31/08/2023 LQ 254,13 254,13"
"Pago título: 2230001097 1233 - GVS DO BRASIL LTDA 31/08/2023 LQ 220,19 220,19"
"Pago título: 2230001099 1336 - NAHSA COMERCIO DE MA 31/08/2023 LQ 241,51 241,51"
"Pago título: 2230001103 1476 - INNARA INDUSTRIA NAC 31/08/2023 LQ 297,83 297,83"
"Pago título: 2230001111 1585 - HORTEL HOTELARIA LTD 31/08/2023 LQ 226,6 226,6"
"Pago título: 2230001115 1604 - ASSOC ATLETICA PONTE 31/08/2023 LQ 202,8 202,8"
"Pago título: 2230001117 1605 - RONALDO MOISES 31/08/2023 LQ 219,57 219,57"
"Pago título: 2230001119 1623 - AUTO POSTO GIGIO LTD 31/08/2023 LQ 212,26 212,26"
"Pago título: 2230001123 1699 - JRPH RESORT HOTEL PR 31/08/2023 LQ 285,45 285,45"
"Pago título: 2230001127 1706 - SUPERMERCADOS CAVICC 31/08/2023 LQ 234,21 234,21"
"Pago título: 2230001131 1744 - INDUSTRIAS MARRUCCI 31/08/2023 LQ 271,78 271,78"
"Pago título: 2230001135 1856 - FERNANDO NAJI NAHAS 31/08/2023 LQ 296,5 296,5"
"Pago título: 2230001137 1860 - LEAL ROSA INDUSTRIA 31/08/2023 LQ 251,58 251,58"
"Pago título: 2230001139 1863 - TEXTIL ELIANA LTDA 31/08/2023 LQ 285,95 285,95"
"Pago título: 2230001141 1868 - FORMIGAO COMERCIO DE 31/08/2023 LQ 263,49 263,49"
"Pago título: 2230001143 1878 - SUPERMERCADOS CAVICC 31/08/2023 LQ 261,9 261,9"
"Pago título: 2230001149 1990 - PEDREIRA FAZENDA VEL 31/08/2023 LQ 259,88 259,88"
"Pago título: 2230001151 1991 - CONCREVIP - CONCRETE 31/08/2023 LQ 219,57 219,57"
"Pago título: 2230001153 1998 - AUTO POSTO MORRO AZU 31/08/2023 LQ 248,86 248,86"
"Pago título: 2230001155 2004 - TECNO OIL INDUSTRIA 31/08/2023 LQ 262,77 262,77"
"Pago título: 2230001157 2026 - SERRA DO SOL EMPREEN 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230001159 2042 - CATION INDUSTRIA E C 31/08/2023 LQ 200,66 200,66"
