"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7245312409202325115.ret"
""
"Cadastrado título novo: 9000007624 3026 - RAIZEN ENERGIA S/A 29/09/2023 RG 546,67 0"
"Cadastrado título novo: 9000007625 7194 - EMBAVI - EMPRESA BRA 29/09/2023 RG 349,93 0"
"Cadastrado título novo: 9000007626 7194 - EMBAVI - EMPRESA BRA 29/09/2023 RG 380,78 0"
"Cadastrado título novo: 9000007628 2911 - TEADIT JUNTAS LTDA 29/09/2023 RG 134,86 0"
"Cadastrado título novo: 9000007629 63 - ZERMATT EMPREENDIMENTO 29/09/2023 RG 507,68 0"
"Pago título: 2230001133 1769 - KREBSFER INDUSTRIAL 31/08/2023 LQ 255,31 260,75"
"Pago título: 2230001858 4523 - ASSOCIACAO DOS PROPR 29/09/2023 LQ 223,97 223,97"
"Pago título: 2230001867 4668 - IDEIA NOVA EMPREENDI 29/09/2023 LQ 238,99 238,99"
"Pago título: 2230002209 3400 - S.ZANARDI EMPREENDIM 31/08/2023 LQ 216,65 221,26"
"Pago título: 2230002794 3 - CONDOMINIO RESIDENCIAL 31/08/2023 LQ 328,24 335,23"
"Pago título: 2230002807 6 - ASSOCIACAO MELHORAMENTO 29/09/2023 LQ 201,03 201,03"
"Pago título: 2230003466 499 - SPAL INDUSTRIA BRASIL 31/08/2023 LQ 3889,66 3972,63"
"Pago título: 2230004372 1173 - MASTERCOR BENEFICIAM 31/08/2023 LQ 292,53 298,76"
"Pago título: 2230006946 6995 - SPAL INDUSTRIA BRASI 31/08/2023 LQ 583,58 596,02"
"Pago título: 2230007139 7720 - ASSOC DOS MORADORES 29/09/2023 LQ 341,56 341,56"
"Pago título: 9000007595 1559 - DAVITA SERVICOS DE N 31/08/2023 LQ 126,18 128,86"
"Pago título: 9000007623 3708 - CELIO TADASHI AKAI E 29/09/2023 LQ 45,7 45,7"
