"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453241309202312925.ret"
""
"Cadastrado título novo: 9000007642 3767 - CHEMETALL DO BRASIL 29/09/2023 RG 283,69 0"
"Cadastrado título novo: 9000007643 3820 - ASSOCIACAO DE AMIGOS 29/09/2023 RG 1293,54 0"
"Pago título: 2230002342 5353 - CONDOMINIO RESIDENCI 29/09/2023 LQ 226,07 226,07"
"Pago título: 2230003833 923 - EMS S/A 29/09/2023 LQ 1456,67 1456,67"
"Pago título: 2230003959 968 - SUZANO PAPEL E CELULO 29/09/2023 LQ 1087,23 1087,23"
"Pago título: 2230004756 1786 - AREIALEX EXTRACAO E 31/08/2023 LQ 609,84 624,67"
"Pago título: 2230004877 1972 - SINDICATO DOS TRAB I 29/09/2023 LQ 427,24 427,24"
"Pago título: 2230005663 3231 - ATMOSFERA GESTAO E H 29/09/2023 LQ 714,56 714,56"
"Pago título: 2230006455 4955 - JCR BENEFICIAMENTO D 29/09/2023 LQ 375,38 375,38"
"Pago título: 2230006755 5608 - ASSOCIACAO DE MORADO 29/09/2023 LQ 202,01 202,01"
"Pago título: 2230006761 5614 - ATIBAIA SANEAMENTO S 29/09/2023 LQ 438,74 438,74"
"Pago título: 2230007049 7342 - WATER PARK SAO PEDRO 29/09/2023 LQ 975,89 975,89"
"Pago título: 9000007635 2466 - CONDOMINIO RANCHO MA 29/09/2023 LQ 304,75 304,75"
"Pago título: 9000007636 4509 - EXTRACAO E COMERCIO 29/09/2023 LQ 219,34 219,34"
