"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453321909202314542.ret"
""
"Cadastrado título novo: 9000007651 853 - TAKASAGO FRANGANCIAS 29/09/2023 RG 422,97 0"
"Cadastrado título novo: 9000007652 1089 - PIRELLI PNEUS S/A 29/09/2023 RG 25680,57 0"
"Cadastrado título novo: 9000007653 2124 - PREFEITURA MUNICIPAL 29/09/2023 RG 5681,12 0"
"Pago título: 2230001864 4586 - GRAN FLORIDIAN EMPRE 29/09/2023 LQ 232,95 232,95"
"Pago título: 2230002555 2545 - ASSOCIACAO DOS PROP 29/09/2023 LQ 222,5 222,5"
"Pago título: 2230002909 62 - GKN SINTER METALS LTDA 29/09/2023 LQ 452,18 452,18"
"Pago título: 2230003185 286 - T.F.T. TECIDOS E FIOS 29/09/2023 LQ 201,13 201,13"
"Pago título: 2230005285 2655 - JOAO CARLOS LEME RIB 29/09/2023 LQ 687,15 687,15"
"Pago título: 2230005327 2712 - PECANHA & HELENA TRA 29/09/2023 LQ 873,1 873,1"
"Pago título: 2230006293 4615 - RAIZEN ENERGIA S.A. 29/09/2023 LQ 247,12 247,12"
"Pago título: 2230006425 4887 - RAIZEN ENERGIA S.A. 29/09/2023 LQ 215,67 215,67"
"Pago título: 2230006557 5318 - SERRANO EMPREENDIMEN 29/09/2023 LQ 243,3 243,3"
"Pago título: 2230007079 7372 - MUNICIPIO DE RIO DAS 29/09/2023 LQ 988,72 988,72"
