"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453402509202325240.ret"
""
"Cadastrado título novo: 9000007664 3066 - QUEIROZ GALVAO STAR 31/10/2023 RG 12232,21 0"
"Cadastrado título novo: 9000007665 3471 - ALTO DA COLINA VERDE 29/09/2023 RG 347,35 0"
"Pago título: 2230001507 115 - MARELLI SISTEMAS AUTO 29/09/2023 LQ 230,37 230,37"
"Pago título: 2230001534 444 - VIRONDA CONFECCOES LT 29/09/2023 LQ 233,68 233,68"
"Pago título: 2230001543 524 - CONDOMINIO EDIFICIO C 29/09/2023 LQ 243,97 243,97"
"Pago título: 2230001567 972 - OJI PAPEIS ESPECIAIS 29/09/2023 LQ 243,44 243,44"
"Pago título: 2230001621 1838 - MARGARETH CASTILHO D 29/09/2023 LQ 219,8 219,8"
"Pago título: 2230001765 3448 - CONDOMINIO CENTER LO 29/09/2023 LQ 202,43 202,43"
"Pago título: 2230001768 3456 - IGREJA DO EVANGELHO 29/09/2023 LQ 263,49 263,49"
"Pago título: 2230001774 3527 - CARFAM EMPREENDIMENT 29/09/2023 LQ 238,54 238,54"
"Pago título: 2230001936 5618 - ASSOCIACAO DE PROPRI 29/09/2023 LQ 253,73 253,73"
"Pago título: 2230002034 974 - WHITE MARTINS GASES I 29/09/2023 LQ 249,26 249,26"
"Pago título: 2230002074 1367 - ASSOCIACAO DE MELHOR 29/09/2023 LQ 245,19 245,19"
"Pago título: 2230002110 1850 - DP & LF TRANSPORTES 29/09/2023 LQ 204,94 204,94"
"Pago título: 2230002134 2109 - CONDOMINIO RESIDENCI 29/09/2023 LQ 213,99 213,99"
"Pago título: 2230002178 3150 - QUARTZO MINERACAO LT 29/09/2023 LQ 211,76 211,76"
"Pago título: 2230002386 5754 - ASSOCIACAO DOS PROPR 29/09/2023 LQ 204,94 204,94"
"Pago título: 2230002700 4579 - ASSOCIACAO DE MORADO 29/09/2023 LQ 218,83 218,83"
"Pago título: 2230002730 5352 - CONDOMINIO RESIDENCI 29/09/2023 LQ 225,43 225,43"
"Pago título: 2230003011 152 - SOCIEDADE AMIGOS DO R 29/09/2023 LQ 500,14 500,14"
"Pago título: 2230003269 358 - ASSOCIACAO AMIGOS MAR 29/09/2023 LQ 1625,73 1625,73"
"Pago título: 2230003377 452 - WHIRLPOOL S/A 29/09/2023 LQ 1373,95 1373,95"
"Pago título: 2230004169 1077 - DP & LF TRANSPORTES 29/09/2023 LQ 250,32 250,32"
"Pago título: 2230004205 1087 - TOYOTA DO BRASIL LTD 29/09/2023 LQ 2691,13 2691,13"
"Pago título: 2230004481 1354 - SILGAN DISPENSING SY 29/09/2023 LQ 503,74 503,74"
"Pago título: 2230004685 1675 - ASSOCIACAO DOS MORAD 29/09/2023 LQ 348,39 348,39"
"Pago título: 2230004859 1934 - SSB ENERGIA RENOVAVE 29/09/2023 LQ 1219,86 1219,86"
"Pago título: 2230004865 1936 - IVO ZARZUR ADMINISTR 29/09/2023 LQ 236,6 236,6"
"Pago título: 2230004985 2165 - CONDOMINIO RESIDENCI 29/09/2023 LQ 533,43 533,43"
"Pago título: 2230005093 2310 - AQUACHER COMERCIAL L 29/09/2023 LQ 486,72 486,72"
"Pago título: 2230005603 3124 - BARREIRENSE PRODUTOS 29/09/2023 LQ 219,58 219,58"
"Pago título: 2230005675 3262 - ASSOCIACAO DE AMIGOS 29/09/2023 LQ 750,09 750,09"
"Pago título: 2230005753 3379 - SSB ENERGIA RENOVAVE 29/09/2023 LQ 4887,47 4887,47"
"Pago título: 2230005897 3592 - CONDOMINIO LAGOS SHA 29/09/2023 LQ 243,73 243,73"
"Pago título: 2230005915 3606 - ANTONIO CHAVES DOS S 29/09/2023 LQ 245,68 245,68"
"Pago título: 2230006029 3779 - SOCIEDADE JARDIM VIL 29/09/2023 LQ 352,3 352,3"
"Pago título: 2230006065 3879 - CATALISE INDUSTRIA E 29/09/2023 LQ 390,35 390,35"
"Pago título: 2230006095 3929 - MINERACAO SAMAMBAIA 29/09/2023 LQ 202,19 202,19"
"Pago título: 2230006149 4129 - TERRAPLANAGEM PARAIZ 29/09/2023 LQ 397,43 397,43"
"Pago título: 2230006191 4315 - AGE DO BRASIL INDUST 29/09/2023 LQ 234,21 234,21"
"Pago título: 2230006533 5290 - ASSOC DE PROPR E MOR 29/09/2023 LQ 269,71 269,71"
"Pago título: 2230006725 5558 - PARKLOG ADMINISTRADO 29/09/2023 LQ 390,36 390,36"
"Pago título: 2230006923 6911 - MAURO DA SILVA ARTUR 29/09/2023 LQ 243,97 243,97"
"Pago título: 2230007121 7711 - PAULO SETUBAL NETO 29/09/2023 LQ 257,64 257,64"
"Pago título: 2230007133 7717 - ASSOCIACAO DO CONJUN 29/09/2023 LQ 262,54 262,54"
"Pago título: 2230007134 7717 - ASSOCIACAO DO CONJUN 31/10/2023 LQ 262,54 262,54"
"Pago título: 9000007613 1809 - ASSOCIACAO RESIDENCI 29/09/2023 LQ 2565,12 2565,12"
"Pago título: 9000007631 115 - MARELLI SISTEMAS AUTO 29/09/2023 LQ 477,02 477,02"
