"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453422609202313400.ret"
""
"Cadastrado título novo: 9000007666 2583 - FRESENIUS MEDICAL CA 31/10/2023 RG 3376,16 0"
"Cadastrado título novo: 9000007667 6017 - ZANARDI EMPREENDIMEN 29/09/2023 RG 1691,79 0"
"Pago título: 2230001747 3193 - NOSSO CLUBE 29/09/2023 LQ 214,6 214,6"
"Pago título: 2230001798 3734 - ASSOCIACAO DE PROP C 29/09/2023 LQ 230,31 230,31"
"Pago título: 2230001849 4404 - S. A. PELEGRINO - ME 29/09/2023 LQ 212,72 212,72"
"Pago título: 2230001879 4804 - FATIMA APARECIDA LAN 29/09/2023 LQ 243,97 243,97"
"Pago título: 2230001986 239 - AMCOR PACKAGING DO BR 29/09/2023 LQ 201,28 201,28"
"Pago título: 2230002026 837 - CLICK AUTOMOTIVA INDU 29/09/2023 LQ 213,29 213,29"
"Pago título: 2230002066 1228 - FERNANDES TEXTIL LTD 29/09/2023 LQ 207,5 207,5"
"Pago título: 2230002086 1478 - ARGIPAR ARGILA PARTE 29/09/2023 LQ 230,55 230,55"
"Pago título: 2230002290 4407 - RODOPOSTO BANDEIRANT 29/09/2023 LQ 229,45 229,45"
"Pago título: 2230004319 1139 - HOPI HARI S/A 29/09/2023 LQ 720,9 720,9"
"Pago título: 2230004589 1490 - AGUA SANTO ANTONIO L 29/09/2023 LQ 747,65 747,65"
"Pago título: 2230004949 2088 - ASSOCIACAO DE PROPRI 29/09/2023 LQ 712,4 712,4"
"Pago título: 2230005117 2331 - STONE BUILDING INDUS 29/09/2023 LQ 745,76 745,76"
"Pago título: 2230005153 2375 - PRODUTOS ALIMENTICIO 29/09/2023 LQ 315,34 315,34"
"Pago título: 2230005711 3336 - CONDOMINIO RESIDENCI 29/09/2023 LQ 384,79 384,79"
"Pago título: 2230005777 3389 - CONDOMINIO RESIDENCI 29/09/2023 LQ 685,19 685,19"
"Pago título: 2230005879 3540 - COMERCIAL DE ALIMENT 29/09/2023 LQ 253,99 253,99"
"Pago título: 2230005933 3629 - ASSOCIACAO DOS MORAD 29/09/2023 LQ 879,42 879,42"
"Pago título: 2230006071 3890 - V. BARROS PARTICIPAC 29/09/2023 LQ 219,58 219,58"
"Pago título: 2230006275 4580 - ASSOCIACAO DOS PROPR 29/09/2023 LQ 967,54 967,54"
"Pago título: 2230006527 5261 - CIA DE SANEAMENTO BA 29/09/2023 LQ 16503,04 16503,04"
"Pago título: 2230006815 5802 - AGUAS DO BARREIRO RI 29/09/2023 LQ 390,36 390,36"
"Pago título: 2230006977 7194 - EMBAVI - EMPRESA BRA 29/09/2023 LQ 365,96 365,96"
"Pago título: 9000007461 4404 - S. A. PELEGRINO - ME 29/09/2023 LQ 923,58 923,58"
"Pago título: 9000007665 3471 - ALTO DA COLINA VERDE 29/09/2023 LQ 347,35 347,35"
