"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453442709202314733.ret"
""
"Cadastrado título novo: 9000007668 3434 - JOSENIAS NEDROTTI - 31/10/2023 RG 1600,4 0"
"Cadastrado título novo: 9000007669 4756 - MINERACAO JOANA LEIT 31/10/2023 RG 5131,11 0"
"Cadastrado título novo: 9000007670 4641 - DYNATECH INDUSTRIAS 31/10/2023 RG 1099,86 0"
"Pago título: 2230001717 2963 - FIBRILA TEXTILE LTDA 29/09/2023 LQ 246,79 246,79"
"Pago título: 2230001738 3159 - RESIDENCIAL CLUBE CO 29/09/2023 LQ 205,96 205,96"
"Pago título: 2230001756 3244 - PLANMAR INDUSTRIA E 29/09/2023 LQ 218,95 218,95"
"Pago título: 2230001786 3569 - CONDOMINIO RESIDENCI 29/09/2023 LQ 212,26 212,26"
"Pago título: 2230001852 4419 - MIDAS INCORPORADORA 29/09/2023 LQ 237,77 237,77"
"Pago título: 2230001885 4872 - CONDOMINIO CAMPINAS 29/09/2023 LQ 219,58 219,58"
"Pago título: 2230001969 7725 - CONDOMINIO RESIDENCI 29/09/2023 LQ 207,21 207,21"
"Pago título: 2230002030 949 - DANA INDUSTRIAS LTDA 29/09/2023 LQ 203,46 203,46"
"Pago título: 2230002254 3827 - STAVIAS SATANOSKI TE 29/09/2023 LQ 246,65 246,65"
"Pago título: 2230002294 4409 - RODOPOSTO BANDEIRANT 29/09/2023 LQ 238,63 238,63"
"Pago título: 2230002660 3945 - BRASA BURGER IND E C 29/09/2023 LQ 206,27 206,27"
"Pago título: 2230002710 4973 - ASSOCIACAO DOS PROPR 29/09/2023 LQ 210,79 210,79"
"Pago título: 2230002760 5939 - CRYOVAC BRASIL LTDA 29/09/2023 LQ 222,37 222,37"
"Pago título: 2230002981 133 - CONDOMINIO SHOPPING P 29/09/2023 LQ 340,46 340,46"
"Pago título: 2230003131 237 - IPLASA - INDUSTRIA E 29/09/2023 LQ 585,53 585,53"
"Pago título: 2230003425 477 - TERRA DO PARAISO LTDA 29/09/2023 LQ 702,64 702,64"
"Pago título: 2230003527 558 - CONDOMINIO CENTRO EMP 29/09/2023 LQ 1018,66 1018,66"
"Pago título: 2230003533 559 - BENEFICIADORA DE TECI 29/09/2023 LQ 2642,02 2642,02"
"Pago título: 2230003671 856 - PREFEITURA MUNICIPAL 29/09/2023 LQ 5972,03 5972,03"
"Pago título: 2230003683 861 - HUDTELFA TEXTILE TECH 29/09/2023 LQ 1011,72 1011,72"
"Pago título: 2230003773 900 - DANA INDUSTRIAS LTDA 29/09/2023 LQ 836,94 836,94"
"Pago título: 2230003983 978 - CHEM-TREND IND E COM 29/09/2023 LQ 658,59 658,59"
"Pago título: 2230004013 999 - BRK AMBIENTAL - SANTA 29/09/2023 LQ 10854,05 10854,05"
"Pago título: 2230004067 1048 - AHLSTROM LOUVEIRA LT 29/09/2023 LQ 3611,25 3611,25"
"Pago título: 2230004463 1308 - INDUSTRIA DE BEBIDAS 29/09/2023 LQ 237,17 237,17"
"Pago título: 2230004529 1426 - WEIDMANN TECNOLOGIA 29/09/2023 LQ 243,15 243,15"
"Pago título: 2230004571 1479 - MEAT SNACK PARTNERS 29/09/2023 LQ 518,86 518,86"
"Pago título: 2230004709 1695 - GOODYEAR DO BRASIL P 29/09/2023 LQ 17740,6 17740,6"
"Pago título: 2230005447 2910 - CHACARAS LONG ISLAND 29/09/2023 LQ 877,14 877,14"
"Pago título: 2230005519 3022 - BORGWARNER BRASIL LT 29/09/2023 LQ 200,21 200,21"
"Pago título: 2230005759 3382 - CENTRO EMPRESARIAL E 29/09/2023 LQ 383,71 383,71"
"Pago título: 2230005765 3383 - CENTRO EMPRESARIAL E 29/09/2023 LQ 730,12 730,12"
"Pago título: 2230005813 3443 - BRK AMBIENTAL - SUMA 29/09/2023 LQ 120020,47 120020,47"
"Pago título: 2230005831 3462 - CONDOMINIO EMPRESARI 29/09/2023 LQ 1442,24 1442,24"
"Pago título: 2230006077 3899 - ASSOCIACAO RESIDENCI 29/09/2023 LQ 772,01 772,01"
"Pago título: 2230006125 3994 - ASSOCIACAO RESERVA D 29/09/2023 LQ 263,49 263,49"
"Pago título: 2230006371 4784 - ASSOCIACAO DOS PROPR 29/09/2023 LQ 548,94 548,94"
"Pago título: 2230006377 4786 - SEARA ALIMENTOS LTDA 29/09/2023 LQ 756,31 756,31"
"Pago título: 2230006395 4830 - CONDOMINIO RESIDENCI 29/09/2023 LQ 341,56 341,56"
"Pago título: 2230006635 5442 - ASSOCIACAO DOS PROPR 29/09/2023 LQ 288,38 288,38"
"Pago título: 2230006671 5487 - ASSOC DOS PROPR DE L 29/09/2023 LQ 439,15 439,15"
"Pago título: 2230006713 5545 - COOPERATIVA VEILING 29/09/2023 LQ 425,98 425,98"
"Pago título: 2230007013 7308 - MARIA CRISTINA RODRI 29/09/2023 LQ 878,29 878,29"
"Pago título: 2230007055 7348 - JATOBA EMPREENDIMENT 29/09/2023 LQ 260,75 260,75"
"Pago título: 2230007181 7738 - AAK DO BRASIL INDUST 29/09/2023 LQ 565,1 565,1"
"Pago título: 9000007638 7738 - AAK DO BRASIL INDUST 29/09/2023 LQ 1170,15 1170,15"
