"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453462809202321236.ret"
""
"Cadastrado título novo: 9000007671 2825 - AGRISTAR DO BRASIL L 31/10/2023 RG 526,98 0"
"Cadastrado título novo: 9000007672 7320 - ASSOCIACAO SHOPPING 31/10/2023 RG 684,53 0"
"Cadastrado título novo: 9000007673 886 - PROVIDER INDUSTRIA E 29/09/2023 RG 3026,79 0"
"Pago título: 2230001510 147 - COUNTRY CLUB LA CAMPA 29/09/2023 LQ 235,71 235,71"
"Pago título: 2230001546 556 - CONDOMINIO VILLAGE VI 29/09/2023 LQ 231,97 231,97"
"Pago título: 2230001549 561 - JULIMAR LAVANDERIA LT 29/09/2023 LQ 234,63 234,63"
"Pago título: 2230001579 1125 - KARCHER INDUSTRIA E 29/09/2023 LQ 219,58 219,58"
"Pago título: 2230001597 1495 - STORAGE ADMINISTRACA 29/09/2023 LQ 216,35 216,35"
"Pago título: 2230001639 2041 - COSMOPOLITANO FUTEBO 29/09/2023 LQ 219,32 219,32"
"Pago título: 2230001753 3241 - ESPACO BARTO EVENTOS 29/09/2023 LQ 259,93 259,93"
"Pago título: 2230001828 4034 - LUCI AREIA LTDA. ME 29/09/2023 LQ 226,6 226,6"
"Pago título: 2230001894 5011 - ASSOCIACAO DOS MORAD 29/09/2023 LQ 243,97 243,97"
"Pago título: 2230001912 5422 - SMART SOLUCOES IMOBI 29/09/2023 LQ 252,87 252,87"
"Pago título: 2230001924 5537 - SILAS J. TRINDADE  - 29/09/2023 LQ 243,97 243,97"
"Pago título: 2230001927 5551 - ASSOCIACAO DOS MORAD 29/09/2023 LQ 243,97 243,97"
"Pago título: 2230002018 612 - JOSE COLLOCA 29/09/2023 LQ 211,96 211,96"
"Pago título: 2230002022 835 - ARKEMA QUIMICA LTDA 29/09/2023 LQ 200,59 200,59"
"Pago título: 2230002154 2657 - INDUSTRIAS NARDINI S 29/09/2023 LQ 234,07 234,07"
"Pago título: 2230002190 3298 - ASSOC DO CONJUNTO RE 29/09/2023 LQ 219,58 219,58"
"Pago título: 2230002202 3340 - FRIGOGIL INDUSTRIAL 29/09/2023 LQ 219,58 219,58"
"Pago título: 2230002218 3459 - JOFEGE CONCRETO LTDA 29/09/2023 LQ 215,36 215,36"
"Pago título: 2230002302 4534 - CONDOMINIO CIVIL CEN 29/09/2023 LQ 215,11 215,11"
"Pago título: 2230002414 7361 - GENCONS EMPREENDIMEN 29/09/2023 LQ 204,94 204,94"
"Pago título: 2230002418 7669 - ASSOCIACAO DA INSTIT 29/09/2023 LQ 208,6 208,6"
"Pago título: 2230002475 853 - TAKASAGO FRANGANCIAS 29/09/2023 LQ 204,27 204,27"
"Pago título: 2230002505 1192 - SECRETARIA DA ADMINI 29/09/2023 LQ 204,37 204,37"
"Pago título: 2230002520 1774 - MINERACAO SAARA EXTR 29/09/2023 LQ 237,45 237,45"
"Pago título: 2230002550 2389 - JOFEGE CONCRETO LTDA 29/09/2023 LQ 215,7 215,7"
"Pago título: 2230002665 3984 - BELEM TRANSPORTES E 29/09/2023 LQ 215,61 215,61"
"Pago título: 2230002891 46 - ASSOCIACAO DE MORADORE 29/09/2023 LQ 414,75 414,75"
"Pago título: 2230003005 149 - GREEN GOLF CLUB 29/09/2023 LQ 297,3 297,3"
"Pago título: 2230003329 411 - IOCHPE-MAXION S/A 29/09/2023 LQ 753,53 753,53"
"Pago título: 2230003365 448 - INDUSTRIA DE PAPEL R. 29/09/2023 LQ 3352,2 3352,2"
"Pago título: 2230003407 473 - TECELAGEM CHUAHY LTDA 29/09/2023 LQ 213,04 213,04"
"Pago título: 2230003629 841 - MAGNETI MARELLI SISTE 29/09/2023 LQ 425,9 425,9"
"Pago título: 2230003731 886 - PROVIDER INDUSTRIA E 29/09/2023 LQ 1461,71 1461,71"
"Pago título: 2230003845 930 - SERVICO AUTONOMO DE A 29/09/2023 LQ 45696,21 45696,21"
"Pago título: 2230003869 939 - LEF PISOS E REVESTIME 29/09/2023 LQ 1026,61 1026,61"
"Pago título: 2230003875 940 - SERVICO AUTONOMO DE A 29/09/2023 LQ 61220,44 61220,44"
"Pago título: 2230004283 1128 - CIA SANEAMENTO BASIC 29/09/2023 LQ 2801,72 2801,72"
"Pago título: 2230004289 1129 - CIA SANEAMENTO BASIC 29/09/2023 LQ 10759,55 10759,55"
