"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7245350210202323836.ret"
""
"Cadastrado título novo: 9000007674 1867 - MARKBEM CITRUS LTDA 31/10/2023 RG 349,7 0"
"Pago título: 2230001684 2517 - M. TORETI 29/09/2023 LQ 237,74 242,72"
"Pago título: 2230002540 2360 - ORION COMERCIO DE MI 29/09/2023 LQ 213,44 217,91"
"Pago título: 2230002611 3468 - VOTORANTIM CIMENTOS 31/10/2023 LQ 233,63 233,63"
"Pago título: 2230002690 4327 - CEETEPS-CENTRO ESTAD 29/09/2023 LQ 216,65 221,19"
"Pago título: 2230003059 186 - OBER S/A INDUSTRIA E 29/09/2023 LQ 213,23 217,7"
"Pago título: 2230004680 1666 - VOTORANTIM CIMENTOS 31/10/2023 LQ 239,89 239,89"
"Pago título: 2230005033 2227 - COMSAPE EXTRACAO E C 29/09/2023 LQ 214,03 218,52"
"Pago título: 2230005483 2956 - CENTER GIRO TRANSPOR 29/09/2023 LQ 287,24 293,26"
"Pago título: 2230006209 4358 - CONSTIC EMPREENDIMEN 29/09/2023 LQ 697,52 712,16"
"Pago título: 2230006677 5491 - BREW CENTER CERVEJAS 29/09/2023 LQ 240,94 245,99"
"Pago título: 9000007561 7756 - VOTORANTIM CIMENTOS 31/10/2023 LQ 219,32 219,32"
"Pago título: 9000007565 7758 - ASSOC DOS PROP DO LO 29/09/2023 LQ 243,73 248,84"
"Pago título: 9000007668 3434 - JOSENIAS NEDROTTI - 31/10/2023 LQ 1600,4 1600,4"
