"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7245352310202314125.ret"
""
"Cadastrado título novo: 9000007675 1680 - CONDOMINIO CIVIL DO 31/10/2023 RG 3609,65 0"
"Cadastrado título novo: 9000007676 3767 - CHEMETALL DO BRASIL 31/10/2023 RG 286,53 0"
"Cadastrado título novo: 9000007677 2538 - APTAR DO BRASIL EMBA 31/10/2023 RG 3575,11 0"
"Cadastrado título novo: 9000007678 6034 - ESPACO GAIA EMPREEND 31/10/2023 RG 803,86 0"
"Cadastrado título novo: 9000007679 6035 - ESPACO GAIA EMPREEND 31/10/2023 RG 887,98 0"
"Cadastrado título novo: 9000007680 7329 - ESPACO GAIA EMPREEND 31/10/2023 RG 887,98 0"
"Cadastrado título novo: 9000007681 158 - ALLBEKAH INDUSTRIA TE 31/10/2023 RG 121,69 0"
"Pago título: 9000007663 3798 - MINERACAO SANTA MONI 31/10/2023 LQ 1367,56 1367,56"
"Pago título: 9000007669 4756 - MINERACAO JOANA LEIT 31/10/2023 LQ 5131,11 5131,11"
"Pago título: 9000007671 2825 - AGRISTAR DO BRASIL L 31/10/2023 LQ 526,98 526,98"
"Pago título: 9000007674 1867 - MARKBEM CITRUS LTDA 31/10/2023 LQ 349,7 349,7"
"Cancelado título: 2230006862 6034 - ESPACO GAIA EMPREEND 31/08/2023 BX 451,76 0"
"Cancelado título: 2230006863 6034 - ESPACO GAIA EMPREEND 29/09/2023 BX 451,76 0"
"Cancelado título: 2230006864 6034 - ESPACO GAIA EMPREEND 31/10/2023 BX 451,76 0"
"Cancelado título: 2230006865 6034 - ESPACO GAIA EMPREEND 30/11/2023 BX 451,76 0"
"Cancelado título: 2230006866 6034 - ESPACO GAIA EMPREEND 22/12/2023 BX 451,76 0"
"Cancelado título: 2230006868 6035 - ESPACO GAIA EMPREEND 31/08/2023 BX 451,76 0"
"Cancelado título: 2230006869 6035 - ESPACO GAIA EMPREEND 29/09/2023 BX 451,76 0"
"Cancelado título: 2230006870 6035 - ESPACO GAIA EMPREEND 31/10/2023 BX 451,76 0"
"Cancelado título: 2230006871 6035 - ESPACO GAIA EMPREEND 30/11/2023 BX 451,76 0"
"Cancelado título: 2230006872 6035 - ESPACO GAIA EMPREEND 22/12/2023 BX 451,76 0"
"Cancelado título: 2230007036 7329 - ESPACO GAIA EMPREEND 31/08/2023 BX 451,76 0"
"Cancelado título: 2230007037 7329 - ESPACO GAIA EMPREEND 29/09/2023 BX 451,76 0"
"Cancelado título: 2230007038 7329 - ESPACO GAIA EMPREEND 31/10/2023 BX 451,76 0"
"Cancelado título: 2230007039 7329 - ESPACO GAIA EMPREEND 30/11/2023 BX 451,76 0"
"Cancelado título: 2230007040 7329 - ESPACO GAIA EMPREEND 22/12/2023 BX 451,76 0"
"Cancelado título: 9000007642 3767 - CHEMETALL DO BRASIL 29/09/2023 BX 283,69 0"
