"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453782310202323502.ret"
""
"Cadastrado título novo: 9000007727 342 - IPE AGRO AVICOLA LTDA 31/10/2023 RG 1302,07 0"
"Cadastrado título novo: 9000007728 87 - PARADIES HOTEL E LAZER 30/11/2023 RG 36982,76 0"
"Cadastrado título novo: 9000007729 5354 - CONDOMINIO RESIDENCI 31/10/2023 RG 912,56 0"
"Cadastrado título novo: 9000007730 5038 - COLEGIO RENOVACAO IN 31/10/2023 RG 923,01 0"
"Cadastrado título novo: 9000007731 2458 - SENPAR TERRAS DE SAO 31/10/2023 RG 1341,91 0"
"Cadastrado título novo: 9000007732 5490 - CARMONA CERVEJARIA A 31/10/2023 RG 911,69 0"
"Cadastrado título novo: 9000007733 2373 - COMPANY REAL PARK LO 30/11/2023 RG 18871,1 0"
"Cadastrado título novo: 9000007734 2949 - INSTITUTO ADVENTISTA 31/10/2023 RG 1220,84 0"
"Pago título: 2230002946 85 - ASSOCIACAO PROPRIETARI 31/10/2023 LQ 394,62 394,62"
"Pago título: 2230002970 111 - ASSOCIACAO MORADORES 31/10/2023 LQ 780,71 780,71"
"Pago título: 2230003312 392 - CONDOMINIO SHOPPING C 31/10/2023 LQ 843,68 843,68"
"Pago título: 2230003450 491 - CATERPILLAR BRASIL LT 31/10/2023 LQ 668,29 668,29"
"Pago título: 2230004620 1575 - SO AGUA COMERCIO E S 31/10/2023 LQ 2926,65 2926,65"
"Pago título: 2230004866 1936 - IVO ZARZUR ADMINISTR 31/10/2023 LQ 236,6 236,6"
"Pago título: 2230005094 2310 - AQUACHER COMERCIAL L 31/10/2023 LQ 486,72 486,72"
"Pago título: 2230006456 4955 - JCR BENEFICIAMENTO D 31/10/2023 LQ 375,38 375,38"
"Pago título: 2230006624 5420 - SUZANO PAPEL E CELUL 31/10/2023 LQ 539,18 539,18"
"Pago título: 2230007044 7340 - SUZANO S.A. 31/10/2023 LQ 539,18 539,18"
