"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453822510202313540.ret"
""
"Cadastrado título novo: 9000007746 2032 - SEW - EURODRIVE BRAS 30/11/2023 RG 801,64 0"
"Cadastrado título novo: 9000007747 4405 - ROYAL PALM OPERADORA 30/11/2023 RG 821,07 0"
"Cadastrado título novo: 9000007748 3583 - ALISUL ALIMENTOS S/A 31/10/2023 RG 758,64 0"
"Cadastrado título novo: 9000007749 4594 - MYOUNG SHIN FABRICAN 31/10/2023 RG 624,21 0"
"Cadastrado título novo: 9000007750 5263 - ANHANGUERA EDUCACION 31/10/2023 RG 625,47 0"
"Pago título: 2230002031 949 - DANA INDUSTRIAS LTDA 31/10/2023 LQ 203,46 203,46"
"Pago título: 2230002075 1367 - ASSOCIACAO DE MELHOR 31/10/2023 LQ 245,19 245,19"
"Pago título: 2230002135 2109 - CONDOMINIO RESIDENCI 31/10/2023 LQ 213,99 213,99"
"Pago título: 2230002387 5754 - ASSOCIACAO DOS PROPR 31/10/2023 LQ 204,94 204,94"
"Pago título: 2230002546 2367 - INDUSTRIA DE FRIOS X 31/10/2023 LQ 202,64 202,64"
"Pago título: 2230002701 4579 - ASSOCIACAO DE MORADO 31/10/2023 LQ 218,83 218,83"
"Pago título: 2230002711 4973 - ASSOCIACAO DOS PROPR 31/10/2023 LQ 210,79 210,79"
"Pago título: 2230002746 5616 - TRADECORP DO BRASIL, 31/10/2023 LQ 221,99 221,99"
"Pago título: 2230002910 62 - GKN SINTER METALS LTDA 31/10/2023 LQ 452,18 452,18"
"Pago título: 2230002982 133 - CONDOMINIO SHOPPING P 31/10/2023 LQ 340,46 340,46"
"Pago título: 2230003378 452 - WHIRLPOOL S/A 31/10/2023 LQ 1373,95 1373,95"
"Pago título: 2230003528 558 - CONDOMINIO CENTRO EMP 31/10/2023 LQ 1018,66 1018,66"
"Pago título: 2230003678 857 - CPIC BRASIL FIBRAS DE 31/10/2023 LQ 3522,43 3522,43"
"Pago título: 2230003708 878 - PREFEITURA MUNICIPAL 31/10/2023 LQ 4949,71 4949,71"
"Pago título: 2230003774 900 - DANA INDUSTRIAS LTDA 31/10/2023 LQ 836,94 836,94"
"Pago título: 2230003984 978 - CHEM-TREND IND E COM 31/10/2023 LQ 658,59 658,59"
"Pago título: 2230004530 1426 - WEIDMANN TECNOLOGIA 31/10/2023 LQ 243,15 243,15"
"Pago título: 2230004572 1479 - MEAT SNACK PARTNERS 31/10/2023 LQ 518,86 518,86"
