"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453842610202312846.ret"
""
"Cadastrado título novo: 9000007751 1016 - CONDOMINIO EDIFICIO 30/11/2023 RG 219,5 0"
"Cadastrado título novo: 9000007752 1019 - CONDOMINIO EDIFICIO 30/11/2023 RG 728,57 0"
"Cadastrado título novo: 9000007753 1023 - CONDOMINIO EDIFICIO 30/11/2023 RG 622,33 0"
"Cadastrado título novo: 9000007754 1028 - CONDOMINIO EDIFICIO 30/11/2023 RG 103,8 0"
"Cadastrado título novo: 9000007755 353 - CONJUNTO RESIDENCIAL 30/11/2023 RG 671,45 0"
"Cadastrado título novo: 9000007756 1053 - CONDOMINIO EDIFICIO 30/11/2023 RG 372,75 0"
"Cadastrado título novo: 9000007757 523 - CONDOMINIO RESIDENCIA 30/11/2023 RG 1065,4 0"
"Cadastrado título novo: 9000007758 7358 - FIVE12 2016 EMPREEND 30/11/2023 RG 999,96 0"
"Pago título: 2230002023 835 - ARKEMA QUIMICA LTDA 31/10/2023 LQ 200,59 200,59"
"Pago título: 2230002291 4407 - RODOPOSTO BANDEIRANT 31/10/2023 LQ 229,45 229,45"
"Pago título: 2230002476 853 - TAKASAGO FRANGANCIAS 31/10/2023 LQ 204,27 204,27"
"Pago título: 2230003342 421 - MARTINREA HONSEL BRAS 31/10/2023 LQ 1156,45 1156,45"
"Pago título: 2230003732 886 - PROVIDER INDUSTRIA E 31/10/2023 LQ 1461,71 1461,71"
"Pago título: 2230004986 2165 - CONDOMINIO RESIDENCI 31/10/2023 LQ 533,43 533,43"
"Pago título: 2230005544 3053 - JR GOMES IMOBILIARIA 31/10/2023 LQ 317,17 317,17"
"Pago título: 2230006372 4784 - ASSOCIACAO DOS PROPR 31/10/2023 LQ 548,94 548,94"
"Pago título: 2230006396 4830 - CONDOMINIO RESIDENCI 31/10/2023 LQ 341,56 341,56"
"Pago título: 2230006528 5261 - CIA DE SANEAMENTO BA 31/10/2023 LQ 16503,04 16503,04"
"Pago título: 2230007176 7733 - ASSOC PROP LOT FECH 31/10/2023 LQ 487,95 487,95"
"Pago título: 9000007522 1035 - RAIZEN ENERGIA S/A 31/10/2023 LQ 33715,04 33715,04"
