"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453862710202314517.ret"
""
"Cadastrado título novo: 9000007759 5538 - SOCIEDADE RECREATIVA 30/11/2023 RG 736,6 0"
"Cadastrado título novo: 9000007760 4500 - ALSCO TOALHEIRO BRAS 30/11/2023 RG 691,99 0"
"Cadastrado título novo: 9000007761 2299 - BASALTO PEDREIRA E P 30/11/2023 RG 597,96 0"
"Cadastrado título novo: 9000007762 2380 - ANTONIO BARBUTTI ME 30/11/2023 RG 355,34 0"
"Cadastrado título novo: 9000007763 2380 - ANTONIO BARBUTTI ME 29/12/2023 RG 355,34 0"
"Cadastrado título novo: 9000007764 3830 - CONDOMINIO RESIDENCI 30/11/2023 RG 1322,24 0"
"Cadastrado título novo: 9000007765 5409 - TATIANA CRISTINA DE 30/11/2023 RG 828,79 0"
"Pago título: 2230001983 222 - NOTRE DAME INTERMEDIC 31/10/2023 LQ 208,09 208,09"
"Pago título: 2230002019 612 - JOSE COLLOCA 31/10/2023 LQ 211,96 211,96"
"Pago título: 2230002143 2438 - ASSOCIACAO SAO MIGUE 31/10/2023 LQ 222,65 222,65"
"Pago título: 2230002243 3733 - ASSOC PROPRIETARIOS 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002335 5048 - CR2 EMPREENDIMENTOS 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002731 5352 - CONDOMINIO RESIDENCI 31/10/2023 LQ 225,43 225,43"
"Pago título: 2230003504 523 - CONDOMINIO RESIDENCIA 31/10/2023 LQ 337,92 337,92"
"Pago título: 2230003522 545 - SOCIEDADE DE PROPRIET 31/10/2023 LQ 439,09 439,09"
"Pago título: 2230003876 940 - SERVICO AUTONOMO DE A 31/10/2023 LQ 61220,44 61220,44"
"Pago título: 2230003894 943 - RAIZEN ENERGIA S/A 31/10/2023 LQ 12344,98 12344,98"
"Pago título: 2230004350 1148 - ARCELOR MITTAL GONVA 31/10/2023 LQ 525,54 525,54"
"Pago título: 2230004674 1652 - RICLAN S/A 31/10/2023 LQ 248,27 248,27"
"Pago título: 2230004974 2139 - INDUSTRIAS ROMI S/A 31/10/2023 LQ 748,84 748,84"
"Pago título: 2230004980 2140 - INDUSTRIAS ROMI S/A 31/10/2023 LQ 258,28 258,28"
"Pago título: 2230005202 2469 - RICLAN S/A 31/10/2023 LQ 211,5 211,5"
"Pago título: 2230005442 2906 - TRANSPORTADORA H2O L 31/10/2023 LQ 483,05 483,05"
"Pago título: 2230005496 2965 - JAGUARI COMERCIAL E 31/10/2023 LQ 1112,99 1112,99"
"Pago título: 2230005610 3139 - RAIZEN ENERGIA S/A 31/10/2023 LQ 317,17 317,17"
"Pago título: 2230005778 3389 - CONDOMINIO RESIDENCI 31/10/2023 LQ 685,19 685,19"
"Pago título: 2230005976 3673 - PLATLOG IMPORTACAO, 31/10/2023 LQ 2254,75 2254,75"
"Pago título: 2230006378 4786 - SEARA ALIMENTOS LTDA 31/10/2023 LQ 756,31 756,31"
"Pago título: 2230006534 5290 - ASSOC DE PROPR E MOR 31/10/2023 LQ 269,71 269,71"
"Pago título: 2230006714 5545 - COOPERATIVA VEILING 31/10/2023 LQ 425,98 425,98"
"Pago título: 2230006720 5553 - ASSOCIACAO MASTER DA 31/10/2023 LQ 1616,37 1616,37"
"Pago título: 2230006792 5652 - CONDOMINIO D. PEDRO 31/10/2023 LQ 439,15 439,15"
"Pago título: 2230006834 5861 - ASSOCIACAO DESPORTIV 31/10/2023 LQ 238,81 238,81"
"Pago título: 9000007695 2965 - JAGUARI COMERCIAL E 31/10/2023 LQ 3474,3 3474,3"
"Pago título: 9000007696 3673 - PLATLOG IMPORTACAO, 31/10/2023 LQ 7038,42 7038,42"
"Pago título: 9000007748 3583 - ALISUL ALIMENTOS S/A 31/10/2023 LQ 758,64 758,64"
