"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453883010202341156.ret"
""
"Cadastrado título novo: 9000007766 2819 - ATRISEV COMERCIAL E 30/11/2023 RG 551,93 0"
"Cadastrado título novo: 9000007767 3342 - XERIUM TECHNOLOGIES 30/11/2023 RG 582,1 0"
"Cadastrado título novo: 9000007768 2349 - ASSOCIACAO AMIGOS DO 30/11/2023 RG 618,42 0"
"Cadastrado título novo: 9000007769 5625 - CONDOMINIO EDIFICIO 31/10/2023 RG 581,79 0"
"Cadastrado título novo: 9000007770 3316 - CONCESSIONARIA  DO S 30/11/2023 RG 638,73 0"
"Cadastrado título novo: 9000007771 3317 - CONCESSIONARIA  DO S 30/11/2023 RG 574,46 0"
"Cadastrado título novo: 9000007772 3318 - CONCESSIONARIA  DO S 30/11/2023 RG 290,55 0"
"Cadastrado título novo: 9000007773 1427 - CONCESSIONARIA  DO S 30/11/2023 RG 695,25 0"
"Cadastrado título novo: 9000007774 2675 - CORR PLASTIK LTDA 30/11/2023 RG 919,18 0"
"Cadastrado título novo: 9000007775 1769 - KREBSFER INDUSTRIAL 30/11/2023 RG 270,98 0"
"Cadastrado título novo: 9000007776 4013 - ANTONIO VITORINO BAR 30/11/2023 RG 651,12 0"
"Cadastrado título novo: 9000007777 1860 - LEAL ROSA INDUSTRIA 31/10/2023 RG 598,82 0"
"Pago título: 2230001999 450 - CONDOMINIO CHACARAS D 31/10/2023 LQ 229,09 229,09"
"Pago título: 2230002035 974 - WHITE MARTINS GASES I 31/10/2023 LQ 249,26 249,26"
"Pago título: 2230002055 1092 - PREFEITURA MUNICIPAL 31/10/2023 LQ 243,89 243,89"
"Pago título: 2230002179 3150 - QUARTZO MINERACAO LT 31/10/2023 LQ 211,76 211,76"
"Pago título: 2230002191 3298 - ASSOC DO CONJUNTO RE 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002215 3415 - CONDOMINIO EDIFICIO 31/10/2023 LQ 202,52 202,52"
"Pago título: 2230002299 4509 - EXTRACAO E COMERCIO 31/10/2023 LQ 210,79 210,79"
"Pago título: 2230002371 5621 - CENTERANEL 1 PARTICI 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002415 7361 - GENCONS EMPREENDIMEN 31/10/2023 LQ 204,94 204,94"
"Pago título: 2230002419 7669 - ASSOCIACAO DA INSTIT 31/10/2023 LQ 208,6 208,6"
"Pago título: 2230002506 1192 - SECRETARIA DA ADMINI 31/10/2023 LQ 204,37 204,37"
"Pago título: 2230002521 1774 - MINERACAO SAARA EXTR 31/10/2023 LQ 237,45 237,45"
"Pago título: 2230002892 46 - ASSOCIACAO DE MORADORE 31/10/2023 LQ 414,75 414,75"
"Pago título: 2230002898 52 - ASSOCIACAO DOS PROPRIE 31/10/2023 LQ 604,71 604,71"
"Pago título: 2230002988 135 - CONDOMINIO RESIDENCIA 31/10/2023 LQ 209,32 209,32"
"Pago título: 2230003012 152 - SOCIEDADE AMIGOS DO R 31/10/2023 LQ 500,14 500,14"
"Pago título: 2230003258 356 - ESTANCIA ARVORE DA VI 31/10/2023 LQ 740,18 740,18"
"Pago título: 2230003264 357 - CONDOMINIO VILLE DE C 31/10/2023 LQ 1924,24 1924,24"
"Pago título: 2230003270 358 - ASSOCIACAO AMIGOS MAR 31/10/2023 LQ 1625,73 1625,73"
"Pago título: 2230003318 400 - FRICOCK FRIGORIFICACA 31/10/2023 LQ 962,68 962,68"
