"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453903110202314331.ret"
""
"Cadastrado título novo: 9000007778 1148 - ARCELOR MITTAL GONVA 30/11/2023 RG 557,79 0"
"Cadastrado título novo: 9000007779 2796 - BASALTO PEDREIRA E P 30/11/2023 RG 582,81 0"
"Cadastrado título novo: 9000007780 1303 - GALVANI MINERACAO E 30/11/2023 RG 1249,44 0"
"Cadastrado título novo: 9000007781 7769 - ASSUNCAO EMPREENDIME 30/11/2023 RG 543,07 0"
"Cadastrado título novo: 9000007782 39 - VPJ EVENTOS E COMERCIO 30/11/2023 RG 763,1 0"
"Cadastrado título novo: 9000007783 4169 - JEAF INCORP PART E E 30/11/2023 RG 1120,55 0"
"Cadastrado título novo: 9000007784 2089 - POSTO TROPICOS LTDA 30/11/2023 RG 618,42 0"
"Cadastrado título novo: 9000007785 3044 - ACAO EDUCACIONAL CLA 30/11/2023 RG 803,91 0"
"Cadastrado título novo: 9000007786 7320 - ASSOCIACAO SHOPPING 30/11/2023 RG 691,27 0"
"Cadastrado título novo: 9000007787 1565 - MANCHESTER QUIMICA D 30/11/2023 RG 784,57 0"
"Cadastrado título novo: 9000007788 2936 - RIO NEGRO PARTICIPAC 01/11/2023 RG 657,84 0"
"Cadastrado título novo: 9000007789 4653 - MUNICIPIO DE HOLAMBR 30/11/2023 RG 6349,7 0"
"Cadastrado título novo: 9000007790 4653 - MUNICIPIO DE HOLAMBR 30/11/2023 RG 565,96 0"
"Cadastrado título novo: 9000007791 4653 - MUNICIPIO DE HOLAMBR 22/12/2023 RG 565,96 0"
"Pago título: 2230001979 81 - CONPROP DO BRASIL EMPR 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230001987 239 - AMCOR PACKAGING DO BR 31/10/2023 LQ 201,28 201,28"
"Pago título: 2230001991 260 - SERVICO DE SAUDE DR. 31/10/2023 LQ 223,97 223,97"
"Pago título: 2230002003 480 - PAPIRUS INDUSTRIA DE 31/10/2023 LQ 218,46 218,46"
"Pago título: 2230002007 522 - CONDOMINIO RESIDENCIA 31/10/2023 LQ 241,13 241,13"
"Pago título: 2230002015 579 - CPQ BRASIL S/A 31/10/2023 LQ 215,1 215,1"
"Pago título: 2230002027 837 - CLICK AUTOMOTIVA INDU 31/10/2023 LQ 213,29 213,29"
"Pago título: 2230002039 996 - AGROCERES MULTIMIX NU 31/10/2023 LQ 229,75 229,75"
"Pago título: 2230002043 997 - CEDASA INDUSTRIA E CO 31/10/2023 LQ 230,55 230,55"
"Pago título: 2230002047 1020 - CONDOMINIO RESIDENCI 31/10/2023 LQ 236,42 236,42"
"Pago título: 2230002051 1039 - BRAGA COMERCIO E IND 31/10/2023 LQ 210,21 210,21"
"Pago título: 2230002067 1228 - FERNANDES TEXTIL LTD 31/10/2023 LQ 207,5 207,5"
"Pago título: 2230002083 1445 - SOCIEDADE DOS AMIGOS 31/10/2023 LQ 209,25 209,25"
"Pago título: 2230002091 1598 - ARTEC PISOS E REVEST 31/10/2023 LQ 239,4 239,4"
"Pago título: 2230002107 1817 - TECITEX TINTURARIA E 31/10/2023 LQ 201,04 201,04"
"Pago título: 2230002111 1850 - DP & LF TRANSPORTES 31/10/2023 LQ 204,94 204,94"
"Pago título: 2230002119 1892 - INBRA INDUSTRIAS QUI 31/10/2023 LQ 238,55 238,55"
"Pago título: 2230002127 1967 - PLASTICOS SANTANA LT 31/10/2023 LQ 214,09 214,09"
"Pago título: 2230002131 2051 - BISCOITONE INDUSTRIA 31/10/2023 LQ 244,19 244,19"
"Pago título: 2230002151 2594 - A A DE MELO & CIA LT 31/10/2023 LQ 226,23 226,23"
"Pago título: 2230002155 2657 - INDUSTRIAS NARDINI S 31/10/2023 LQ 234,07 234,07"
"Pago título: 2230002159 2798 - MINERADORA AGUA BRAN 31/10/2023 LQ 234,21 234,21"
"Pago título: 2230002167 2871 - CERAMICA PALMA DE OU 31/10/2023 LQ 210,79 210,79"
"Pago título: 2230002171 2926 - R M DE BARROS TEXTIL 31/10/2023 LQ 226,69 226,69"
"Pago título: 2230002183 3162 - CONGE FRUTAS LTDA EP 31/10/2023 LQ 234,65 234,65"
"Pago título: 2230002187 3288 - SELIAL IND E COM, IM 31/10/2023 LQ 201,16 201,16"
"Pago título: 2230002195 3325 - GOODMAN ITUPEVA EMPR 31/10/2023 LQ 215,84 215,84"
"Pago título: 2230002203 3340 - FRIGOGIL INDUSTRIAL 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002219 3459 - JOFEGE CONCRETO LTDA 31/10/2023 LQ 215,36 215,36"
"Pago título: 2230002231 3639 - ACQUARAM MEDICAO DE 31/10/2023 LQ 248,85 248,85"
"Pago título: 2230002239 3726 - SATOSHI ITO E OUTROS 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002247 3771 - INDUSTRIA E COMERCIO 31/10/2023 LQ 233,04 233,04"
"Pago título: 2230002255 3827 - STAVIAS SATANOSKI TE 31/10/2023 LQ 246,65 246,65"
"Pago título: 2230002259 3856 - BRASPARK ADMINISTRAD 31/10/2023 LQ 201,02 201,02"
"Pago título: 2230002267 3927 - FLAMBOIA ALIMENTOS L 31/10/2023 LQ 230,55 230,55"
"Pago título: 2230002271 3946 - CAMPEAO 68 POSTO DE 31/10/2023 LQ 210,33 210,33"
"Pago título: 2230002275 4093 - UNIVERSAL INDUSTRIAS 31/10/2023 LQ 232,92 232,92"
"Pago título: 2230002283 4148 - CHRISTEYNS BRASIL PR 31/10/2023 LQ 236,04 236,04"
"Pago título: 2230002303 4534 - CONDOMINIO CIVIL CEN 31/10/2023 LQ 215,11 215,11"
"Pago título: 2230002307 4650 - ABATEDOURO DE AVES I 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002315 4793 - AZS INDUSTRIA E COME 31/10/2023 LQ 225,23 225,23"
"Pago título: 2230002319 4820 - TRANSPEDROSA S/A 31/10/2023 LQ 234,21 234,21"
"Pago título: 2230002323 4835 - TRANSPORTES GABARDO 31/10/2023 LQ 210,79 210,79"
"Pago título: 2230002327 4895 - VYLLA EMPREENDIMENTO 31/10/2023 LQ 204,94 204,94"
"Pago título: 2230002347 5390 - LOLLY BABY PRODUTOS 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002351 5433 - ANTONIO PEDRO CREMON 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002355 5468 - LUCIANO TORELLI E CI 31/10/2023 LQ 211,76 211,76"
"Pago título: 2230002383 5635 - RECAP CONSTRUTORA E 31/10/2023 LQ 216,57 216,57"
"Pago título: 2230002391 5907 - TSI - EMPREENDIMENTO 31/10/2023 LQ 248,85 248,85"
"Pago título: 2230002399 6982 - ASSOCIACAO DOS MORAD 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002423 7710 - WLM PART E COMERCIO 31/10/2023 LQ 201,28 201,28"
"Pago título: 2230002431 86 - PROMOCAO DO ENSINO DE 31/10/2023 LQ 234,21 234,21"
"Pago título: 2230002436 153 - CONDOMINIO BOSQUE DOS 31/10/2023 LQ 201,07 201,07"
"Pago título: 2230002441 155 - AUTO POSTO AMIGAO DA 31/10/2023 LQ 204,94 204,94"
"Pago título: 2230002481 875 - RICHARD KLINGER INDUS 31/10/2023 LQ 234,73 234,73"
"Pago título: 2230002486 890 - LABORATORIO TAYUYNA L 31/10/2023 LQ 224,46 224,46"
"Pago título: 2230002491 894 - DAUNE TRAVESSEIROS DE 31/10/2023 LQ 230,76 230,76"
"Pago título: 2230002496 953 - MAHLE COMPRESSORES DO 31/10/2023 LQ 206,82 206,82"
"Pago título: 2230002501 969 - PRALANA INDUSTRIA E C 31/10/2023 LQ 217,75 217,75"
"Pago título: 2230002511 1430 - ASSOCIACAO DOS MORAD 31/10/2023 LQ 222,5 222,5"
"Pago título: 2230002516 1572 - ETAPA EDUCACIONAL LT 31/10/2023 LQ 204,82 204,82"
"Pago título: 2230002526 1832 - LANMAR INDUSTRIA MET 31/10/2023 LQ 219,33 219,33"
"Pago título: 2230002531 2137 - PREFEITURA MUNICIPAL 31/10/2023 LQ 209,96 209,96"
"Pago título: 2230002536 2280 - TINTURARIA SANTA ADE 31/10/2023 LQ 200,36 200,36"
"Pago título: 2230002541 2360 - ORION COMERCIO DE MI 31/10/2023 LQ 213,44 213,44"
"Pago título: 2230002566 2800 - CHENDEL PARTICIPACOE 31/10/2023 LQ 232,75 232,75"
"Pago título: 2230002571 2832 - THERMAS DAS AGUAS DE 31/10/2023 LQ 234,21 234,21"
