"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454182211202320409.ret"
""
"Cadastrado título novo: 9000007847 4615 - RAIZEN ENERGIA S.A. 30/11/2023 RG 254,58 0"
"Cadastrado título novo: 9000007848 4887 - RAIZEN ENERGIA S.A. 30/11/2023 RG 222,19 0"
"Cadastrado título novo: 9000007849 3862 - ROSANA CASERTA CARNE 30/11/2023 RG 893,43 0"
"Cadastrado título novo: 9000007850 174 - TMD FRICTION DO BRASI 30/11/2023 RG 386,34 0"
"Cadastrado título novo: 9000007851 7319 - A1 CONSTRUTORA LTDA. 30/11/2023 RG 395,01 0"
"Cadastrado título novo: 9000007852 4358 - CONSTIC EMPREENDIMEN 30/11/2023 RG 1462,55 0"
"Cadastrado título novo: 9000007853 20 - TYROLIT DO BRASIL LTDA 30/11/2023 RG 371,87 0"
"Pago título: 2230002712 4973 - ASSOCIACAO DOS PROPR 30/11/2023 LQ 210,79 210,79"
"Pago título: 2230003529 558 - CONDOMINIO CENTRO EMP 30/11/2023 LQ 1018,66 1018,66"
"Pago título: 2230004411 1222 - SOCIEDADE COMUNITARI 30/11/2023 LQ 399,14 399,14"
"Pago título: 2230004429 1246 - CLUBE JUNDIAIENSE 30/11/2023 LQ 485,75 485,75"
"Pago título: 2230004622 1575 - SO AGUA COMERCIO E S 22/12/2023 LQ 2926,65 2926,65"
"Pago título: 2230005701 3327 - INPAR PROJETO 86 SPE 30/11/2023 LQ 391,97 391,97"
"Pago título: 2230005761 3382 - CENTRO EMPRESARIAL E 30/11/2023 LQ 383,71 383,71"
"Pago título: 2230005767 3383 - CENTRO EMPRESARIAL E 30/11/2023 LQ 730,12 730,12"
"Pago título: 2230005833 3462 - CONDOMINIO EMPRESARI 30/11/2023 LQ 1442,24 1442,24"
"Pago título: 2230006284 4584 - CONJUNTO RESIDENCIAL 22/12/2023 LQ 220,55 220,55"
"Pago título: 2230006452 4938 - MOMBUCA BENEFICIADOR 22/12/2023 LQ 219,58 219,58"
"Pago título: 2230006817 5802 - AGUAS DO BARREIRO RI 30/11/2023 LQ 390,36 390,36"
"Pago título: 9000007488 74 - UNILEVER BRASIL INDUST 30/11/2023 LQ 5510,55 5510,55"
"Pago título: 9000007840 78 - RESTAURANTE IRMAOS MAR 30/11/2023 LQ 383,11 383,11"
