"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454242711202323803.ret"
""
"Cadastrado título novo: 9000007867 4661 - CONDOMINIO EDIFICIO 30/11/2023 RG 336,97 0"
"Cadastrado título novo: 9000007868 7703 - FLUID SYSTEM DO BRAS 29/12/2023 RG 313,85 0"
"Cadastrado título novo: 9000007869 3874 - COMANDO DO EXERCITO 29/12/2023 RG 334,7 0"
"Pago título: 2230002702 4579 - ASSOCIACAO DE MORADO 30/11/2023 LQ 218,83 218,83"
"Pago título: 2230002905 59 - FUND CPQD - CENTRO PES 30/11/2023 LQ 802,7 802,7"
"Pago título: 2230003271 358 - ASSOCIACAO AMIGOS MAR 30/11/2023 LQ 1625,73 1625,73"
"Pago título: 2230003523 545 - SOCIEDADE DE PROPRIET 30/11/2023 LQ 439,09 439,09"
"Pago título: 2230004171 1077 - DP & LF TRANSPORTES 30/11/2023 LQ 250,32 250,32"
"Pago título: 2230004483 1354 - SILGAN DISPENSING SY 30/11/2023 LQ 503,74 503,74"
"Pago título: 2230004687 1675 - ASSOCIACAO DOS MORAD 30/11/2023 LQ 348,39 348,39"
"Pago título: 2230004771 1792 - ASSOC DE AMIGOS DO C 30/11/2023 LQ 400,12 400,12"
"Pago título: 2230004861 1934 - SSB ENERGIA RENOVAVE 30/11/2023 LQ 1219,86 1219,86"
"Pago título: 2230005443 2906 - TRANSPORTADORA H2O L 30/11/2023 LQ 483,05 483,05"
"Pago título: 2230005557 3060 - ASSOCIACAO DOS PROPR 30/11/2023 LQ 951,49 951,49"
"Pago título: 2230005707 3333 - AUREO ALESSANDRO DA 30/11/2023 LQ 583,8 583,8"
"Pago título: 2230005713 3336 - CONDOMINIO RESIDENCI 30/11/2023 LQ 384,79 384,79"
"Pago título: 2230005755 3379 - SSB ENERGIA RENOVAVE 30/11/2023 LQ 4887,47 4887,47"
"Pago título: 2230005845 3474 - ASSOCIACAO FILOSOFIC 30/11/2023 LQ 237,14 237,14"
"Pago título: 2230005881 3540 - COMERCIAL DE ALIMENT 30/11/2023 LQ 253,99 253,99"
"Pago título: 2230006079 3899 - ASSOCIACAO RESIDENCI 30/11/2023 LQ 772,01 772,01"
"Pago título: 2230006097 3929 - MINERACAO SAMAMBAIA 30/11/2023 LQ 202,19 202,19"
"Pago título: 2230006373 4784 - ASSOCIACAO DOS PROPR 30/11/2023 LQ 548,94 548,94"
"Pago título: 2230006379 4786 - SEARA ALIMENTOS LTDA 30/11/2023 LQ 756,31 756,31"
"Pago título: 2230006421 4870 - ASSOCIACAO MELHORES 30/11/2023 LQ 417,19 417,19"
"Pago título: 2230006529 5261 - CIA DE SANEAMENTO BA 30/11/2023 LQ 16503,04 16503,04"
"Pago título: 2230006715 5545 - COOPERATIVA VEILING 30/11/2023 LQ 425,98 425,98"
"Pago título: 2230006727 5558 - PARKLOG ADMINISTRADO 30/11/2023 LQ 390,36 390,36"
"Pago título: 2230006925 6911 - MAURO DA SILVA ARTUR 30/11/2023 LQ 243,97 243,97"
"Pago título: 2230007123 7711 - PAULO SETUBAL NETO 30/11/2023 LQ 257,64 257,64"
"Pago título: 9000007605 7764 - ASSOCIACAO BUSINESS 30/11/2023 LQ 941,13 941,13"
"Pago título: 9000007615 1809 - ASSOCIACAO RESIDENCI 30/11/2023 LQ 2565,14 2565,14"
"Pago título: 9000007751 1016 - CONDOMINIO EDIFICIO 30/11/2023 LQ 219,5 219,5"
"Pago título: 9000007759 5538 - SOCIEDADE RECREATIVA 30/11/2023 LQ 736,6 736,6"
"Pago título: 9000007812 5870 - VILA HIPICA EMPREEND 30/11/2023 LQ 955,22 955,22"
"Pago título: 9000007826 10 - CONDOMINIO RESIDENCIAL 30/11/2023 LQ 663,61 663,61"
"Pago título: 9000007854 7339 - KEMIN DO BRASIL LTDA 30/11/2023 LQ 398,43 398,43"
"Pago título: 9000007858 2303 - MAUSA S/A EQUIPAMENT 30/11/2023 LQ 340,34 340,34"
"ERRO! Operação desconhecida: 9000007863 7731 - ASSOC DOS MORADORES 22/12/2023 VC 476,3 0"
