"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454262811202314404.ret"
""
"Cadastrado título novo: 9000007870 2472 - CONDOMINIO RESIDENCI 30/11/2023 RG 362,92 0"
"Cadastrado título novo: 9000007871 3297 - ASSOC ADM DO LOTEAME 29/12/2023 RG 315,42 0"
"Cadastrado título novo: 9000007872 3172 - LOG COMMERCIAL PROPE 30/11/2023 RG 450,5 0"
"Cadastrado título novo: 9000007873 4597 - AGEU MESQUITA BARROS 29/12/2023 RG 332,37 0"
"Cadastrado título novo: 9000007874 4571 - SMARTECH EMPREENDIME 30/11/2023 RG 383,57 0"
"Pago título: 2230002507 1192 - SECRETARIA DA ADMINI 30/11/2023 LQ 204,37 204,37"
"Pago título: 2230003247 342 - IPE AGRO AVICOLA LTDA 30/11/2023 LQ 417,11 417,11"
"Pago título: 2230003505 523 - CONDOMINIO RESIDENCIA 30/11/2023 LQ 337,92 337,92"
"Pago título: 2230003709 878 - PREFEITURA MUNICIPAL 30/11/2023 LQ 4949,71 4949,71"
"Pago título: 2230003877 940 - SERVICO AUTONOMO DE A 30/11/2023 LQ 61220,44 61220,44"
"Pago título: 2230004789 1815 - TRIAGUA TRANSPORTE E 30/11/2023 LQ 1126,15 1126,15"
"Pago título: 2230004855 1926 - YADOYA INDUSTRIA E C 30/11/2023 LQ 311,37 311,37"
"Pago título: 2230004856 1926 - YADOYA INDUSTRIA E C 22/12/2023 LQ 311,37 311,37"
"Pago título: 2230004951 2088 - ASSOCIACAO DE PROPRI 30/11/2023 LQ 712,4 712,4"
"Pago título: 2230005251 2559 - CONDOMINIO RESIDENCI 30/11/2023 LQ 353,76 353,76"
"Pago título: 2230005359 2748 - QUALITY BENEFICIADOR 30/11/2023 LQ 636,26 636,26"
"Pago título: 2230005497 2965 - JAGUARI COMERCIAL E 30/11/2023 LQ 1112,99 1112,99"
"Pago título: 2230005617 3145 - RCL CAMPING E TURISM 30/11/2023 LQ 412,31 412,31"
"Pago título: 2230005737 3366 - TECHIMPORT TECNOLOGI 30/11/2023 LQ 386,59 386,59"
"Pago título: 2230005869 3516 - JOSE JORGE BERARDINE 30/11/2023 LQ 214,7 214,7"
"Pago título: 2230005924 3616 - CONCREMIX S/A 22/12/2023 LQ 230,44 230,44"
"Pago título: 2230006277 4580 - ASSOCIACAO DOS PROPR 30/11/2023 LQ 967,54 967,54"
"Pago título: 2230006349 4762 - MINERACAO ANGICO LTD 30/11/2023 LQ 475,24 475,24"
"Pago título: 2230006397 4830 - CONDOMINIO RESIDENCI 30/11/2023 LQ 341,56 341,56"
"Pago título: 2230006571 5354 - CONDOMINIO RESIDENCI 30/11/2023 LQ 292,33 292,33"
"Pago título: 2230006589 5402 - SAO PAULO SECRETARIA 30/11/2023 LQ 985,49 985,49"
"Pago título: 2230006721 5553 - ASSOCIACAO MASTER DA 30/11/2023 LQ 1616,37 1616,37"
"Pago título: 2230006913 6784 - CONDOMINIO RESIDENCI 30/11/2023 LQ 232,06 232,06"
"Pago título: 2230007015 7308 - MARIA CRISTINA RODRI 30/11/2023 LQ 878,29 878,29"
"Pago título: 2230007147 7722 - ASSOC DE PROP DO LOT 30/11/2023 LQ 207,17 207,17"
"Pago título: 2230007183 7738 - AAK DO BRASIL INDUST 30/11/2023 LQ 565,1 565,1"
"Pago título: 9000007523 1035 - RAIZEN ENERGIA S/A 30/11/2023 LQ 33715,04 33715,04"
"Pago título: 9000007753 1023 - CONDOMINIO EDIFICIO 30/11/2023 LQ 622,33 622,33"
"Pago título: 9000007754 1028 - CONDOMINIO EDIFICIO 30/11/2023 LQ 103,8 103,8"
"Pago título: 9000007770 3316 - CONCESSIONARIA  DO S 30/11/2023 LQ 638,73 638,73"
"Pago título: 9000007771 3317 - CONCESSIONARIA  DO S 30/11/2023 LQ 574,46 574,46"
"Pago título: 9000007772 3318 - CONCESSIONARIA  DO S 30/11/2023 LQ 290,55 290,55"
"Pago título: 9000007773 1427 - CONCESSIONARIA  DO S 30/11/2023 LQ 695,25 695,25"
"Pago título: 9000007800 6784 - CONDOMINIO RESIDENCI 30/11/2023 LQ 970,71 970,71"
"Pago título: 9000007803 4524 - ASSOC DE PROP E MORA 30/11/2023 LQ 529,93 529,93"
"Pago título: 9000007805 5564 - ASSOC DOS PROPRITARI 30/11/2023 LQ 981,4 981,4"
"Pago título: 9000007831 1147 - TERROIR DE BRAGANCA 30/11/2023 LQ 860,05 860,05"
"Pago título: 9000007841 5354 - CONDOMINIO RESIDENCI 30/11/2023 LQ 301,15 301,15"
"Pago título: 9000007845 3737 - CASA DOS SONHOS COM, 30/11/2023 LQ 463,79 463,79"
"Pago título: 9000007850 174 - TMD FRICTION DO BRASI 30/11/2023 LQ 386,34 386,34"
"Pago título: 9000007865 1926 - YADOYA INDUSTRIA E C 30/11/2023 LQ 971,97 971,97"
"Pago título: 9000007867 4661 - CONDOMINIO EDIFICIO 30/11/2023 LQ 336,97 336,97"
"Pago título: 9000007868 7703 - FLUID SYSTEM DO BRAS 22/12/2023 LQ 313,85 313,85"
"ERRO! Operação desconhecida: 9000007868 7703 - FLUID SYSTEM DO BRAS 22/12/2023 VC 313,85 0"
"ERRO! Operação desconhecida: 9000007869 3874 - COMANDO DO EXERCITO 22/12/2023 VC 334,7 0"
