"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454303011202324206.ret"
""
"Cadastrado título novo: 9000007875 2894 - BT DE OLIVEIRA CARNE 29/12/2023 RG 322,24 0"
"Cadastrado título novo: 9000007876 4339 - JOATE DO BRASIL ADMI 29/12/2023 RG 309,56 0"
"Cadastrado título novo: 9000007877 3604 - TEMPO DISTRIBUIDORA 29/12/2023 RG 376,68 0"
"Cadastrado título novo: 9000007878 2501 - AUTO POSTO E RESTAUR 29/12/2023 RG 310,92 0"
"Cadastrado título novo: 9000007879 5509 - IRON MOUNTAIN DO BRA 29/12/2023 RG 313,8 0"
"Cadastrado título novo: 9000007880 1601 - CONTECH PRODUTOS BIO 29/12/2023 RG 272,81 0"
"Cadastrado título novo: 9000007881 5309 - ASSOCIACAO RESIDENCI 29/12/2023 RG 266,77 0"
"Cadastrado título novo: 9000007882 3617 - HOSPITAL SAMARITANO 29/12/2023 RG 281,51 0"
"Cadastrado título novo: 9000007883 5075 - INDUSTRIA DE PRODUTO 29/12/2023 RG 297,17 0"
"Cadastrado título novo: 9000007884 6890 - SP TINTAS E COMERCIO 30/11/2023 RG 918,48 0"
"Cadastrado título novo: 9000007885 1215 - RAPIDO LUXO CAMPINAS 29/12/2023 RG 328,43 0"
"Pago título: 2230002432 86 - PROMOCAO DO ENSINO DE 30/11/2023 LQ 234,21 234,21"
"Pago título: 2230002437 153 - CONDOMINIO BOSQUE DOS 30/11/2023 LQ 201,07 201,07"
"Pago título: 2230002442 155 - AUTO POSTO AMIGAO DA 30/11/2023 LQ 204,94 204,94"
"Pago título: 2230002447 301 - CRIA SIM PRODUTOS DE 30/11/2023 LQ 238,58 238,58"
"Pago título: 2230002452 302 - TEXTIL IRINEU MENEGHE 30/11/2023 LQ 234,3 234,3"
"Pago título: 2230002462 617 - JOAO BOZZA JUNIOR 30/11/2023 LQ 204,94 204,94"
"Pago título: 2230002477 853 - TAKASAGO FRANGANCIAS 30/11/2023 LQ 204,27 204,27"
"Pago título: 2230002482 875 - RICHARD KLINGER INDUS 30/11/2023 LQ 234,73 234,73"
"Pago título: 2230002487 890 - LABORATORIO TAYUYNA L 30/11/2023 LQ 224,46 224,46"
"Pago título: 2230002492 894 - DAUNE TRAVESSEIROS DE 30/11/2023 LQ 230,76 230,76"
"Pago título: 2230002497 953 - MAHLE COMPRESSORES DO 30/11/2023 LQ 206,82 206,82"
"Pago título: 2230002502 969 - PRALANA INDUSTRIA E C 30/11/2023 LQ 217,75 217,75"
"Pago título: 2230002512 1430 - ASSOCIACAO DOS MORAD 30/11/2023 LQ 222,5 222,5"
"Pago título: 2230002517 1572 - ETAPA EDUCACIONAL LT 30/11/2023 LQ 204,82 204,82"
"Pago título: 2230002522 1774 - MINERACAO SAARA EXTR 30/11/2023 LQ 237,45 237,45"
"Pago título: 2230002527 1832 - LANMAR INDUSTRIA MET 30/11/2023 LQ 219,33 219,33"
"Pago título: 2230002532 2137 - PREFEITURA MUNICIPAL 30/11/2023 LQ 209,96 209,96"
"Pago título: 2230002537 2280 - TINTURARIA SANTA ADE 30/11/2023 LQ 200,36 200,36"
"Pago título: 2230002542 2360 - ORION COMERCIO DE MI 30/11/2023 LQ 213,44 213,44"
"Pago título: 2230002552 2389 - JOFEGE CONCRETO LTDA 30/11/2023 LQ 215,7 215,7"
"Pago título: 2230002567 2800 - CHENDEL PARTICIPACOE 30/11/2023 LQ 232,75 232,75"
"Pago título: 2230002572 2832 - THERMAS DAS AGUAS DE 30/11/2023 LQ 234,21 234,21"
"Pago título: 2230002577 3098 - ASSOC DOS PROPR E MO 30/11/2023 LQ 239,48 239,48"
"Pago título: 2230002587 3259 - BAG CLEANER COMERCIO 30/11/2023 LQ 202,32 202,32"
"Pago título: 2230002592 3285 - ASSOCIACAO VILLAGE L 30/11/2023 LQ 230,26 230,26"
"Pago título: 2230002602 3424 - ASSOCIACAO DOS PROP. 30/11/2023 LQ 204,94 204,94"
"Pago título: 2230002617 3529 - TECELAGEM JOLITEX LT 30/11/2023 LQ 209,53 209,53"
"Pago título: 2230002622 3608 - BIONOVIS S.A. - CIA 30/11/2023 LQ 220,12 220,12"
"Pago título: 2230002627 3615 - IMOBILIARIA HELVETIA 30/11/2023 LQ 234,21 234,21"
"Pago título: 2230002632 3656 - FAZENDA TOZAN DO BRA 30/11/2023 LQ 204,93 204,93"
"Pago título: 2230002642 3729 - NP EMPREENDIMENTOS L 30/11/2023 LQ 210,79 210,79"
"Pago título: 2230002652 3803 - ASSOCIACAO ALPHAVILL 30/11/2023 LQ 235,21 235,21"
"Pago título: 2230002662 3945 - BRASA BURGER IND E C 30/11/2023 LQ 206,27 206,27"
"Pago título: 2230002667 3984 - BELEM TRANSPORTES E 30/11/2023 LQ 215,61 215,61"
"Pago título: 2230002672 3991 - HIGIBRAG TRANSPORTE 30/11/2023 LQ 234,21 234,21"
"Pago título: 2230002682 4053 - ASSOCIACAO DOS PROPR 30/11/2023 LQ 237,14 237,14"
"Pago título: 2230002687 4136 - STORAGE ADMINISTRACA 30/11/2023 LQ 210,79 210,79"
"Pago título: 2230002692 4327 - CEETEPS-CENTRO ESTAD 30/11/2023 LQ 216,65 216,65"
"Pago título: 2230002762 5939 - CRYOVAC BRASIL LTDA 30/11/2023 LQ 222,37 222,37"
"Pago título: 2230002767 7011 - JS ESPUMAS FLEXIVEIS 30/11/2023 LQ 221,17 221,17"
"Pago título: 2230002772 7294 - ASSOCIACAO DE PROPRI 30/11/2023 LQ 234,21 234,21"
"Pago título: 2230002777 7330 - LA VITA ALIMENTOS AG 30/11/2023 LQ 210,79 210,79"
"Pago título: 2230002787 7741 - ASSOCIACAO DOS PROP 30/11/2023 LQ 221,87 221,87"
"Pago título: 2230002792 7749 - CONCREPAV PARTICIPAC 30/11/2023 LQ 200,2 200,2"
"Pago título: 2230002797 3 - CONDOMINIO RESIDENCIAL 30/11/2023 LQ 328,24 328,24"
"Pago título: 2230002815 12 - AGUAJATO TRANSPORTES L 30/11/2023 LQ 2545,06 2545,06"
"Pago título: 2230002821 14 - BORGWARNER INDUSTRIA E 30/11/2023 LQ 206,43 206,43"
"Pago título: 2230002833 22 - HONDA AUTOMOVEIS DO BR 30/11/2023 LQ 1634,45 1634,45"
"Pago título: 2230002839 24 - ASSOCIACAO DOS PROPRIE 30/11/2023 LQ 601,7 601,7"
"Pago título: 2230002845 25 - EXTRACAO E COMERCIO DE 30/11/2023 LQ 737,67 737,67"
"Pago título: 2230002851 26 - CERAMICA FORMIGRES LTD 30/11/2023 LQ 3109,49 3109,49"
"Pago título: 2230002881 43 - CONDOMINIO RESIDENCIAL 30/11/2023 LQ 1976,17 1976,17"
"Pago título: 2230002917 63 - ZERMATT EMPREENDIMENTO 30/11/2023 LQ 487,95 487,95"
"Pago título: 2230002923 68 - ASSOCIACAO GREEN VILLA 30/11/2023 LQ 342,9 342,9"
"Pago título: 2230002929 69 - PLASTEK DO BRASIL INDU 30/11/2023 LQ 423,78 423,78"
"Pago título: 2230002935 72 - ANTENOR MAXIMIANO PART 30/11/2023 LQ 579,68 579,68"
"Pago título: 2230002941 73 - NARDINI PISOS E REVEST 30/11/2023 LQ 292,77 292,77"
"Pago título: 2230002953 94 - SERVICO SOCIAL DA INDU 30/11/2023 LQ 487,95 487,95"
"Pago título: 2230002959 96 - TAGMA BRASIL INDUSTRIA 30/11/2023 LQ 707,52 707,52"
"Pago título: 2230002965 98 - SOCIEDADE RESIDENCIAL 30/11/2023 LQ 2925,71 2925,71"
"Pago título: 2230002977 112 - LUME CERAMICA LTDA 30/11/2023 LQ 292,77 292,77"
"Pago título: 2230002989 135 - CONDOMINIO RESIDENCIA 30/11/2023 LQ 209,32 209,32"
"Pago título: 2230003001 142 - SOCIEDADE DE MELHORAM 30/11/2023 LQ 606,52 606,52"
"Pago título: 2230003007 149 - GREEN GOLF CLUB 30/11/2023 LQ 297,3 297,3"
"Pago título: 2230003013 152 - SOCIEDADE AMIGOS DO R 30/11/2023 LQ 500,14 500,14"
"Pago título: 2230003019 157 - CONDOMINIO TECH TOWN 30/11/2023 LQ 1177,76 1177,76"
"Pago título: 2230003025 160 - ASSOCIACAO RESIDENCIA 30/11/2023 LQ 3278,99 3278,99"
"Pago título: 2230003031 163 - SABARA QUIMICOS E ING 30/11/2023 LQ 601,5 601,5"
"Pago título: 2230003043 182 - UNIPEL INDUSTRIA E CO 30/11/2023 LQ 403,61 403,61"
"Pago título: 2230003049 183 - TEXTIL BASSETO LTDA 30/11/2023 LQ 290,27 290,27"
"Pago título: 2230003055 184 - TECELAGEM JOLITEX LTD 30/11/2023 LQ 1904,97 1904,97"
"Pago título: 2230003061 186 - OBER S/A INDUSTRIA E 30/11/2023 LQ 213,23 213,23"
"Pago título: 2230003067 191 - COOPERATIVA NOVA ESPE 30/11/2023 LQ 1081,18 1081,18"
