"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454602112202321658.ret"
""
"Cadastrado título novo: 9000007983 5481 - RONALD RICCI JUNIOR 29/12/2023 RG 64,83 0"
"Cadastrado título novo: 9000007984 734 - GUSTAVO ADOLFO BAETA 29/12/2023 RG 246,68 0"
"Cadastrado título novo: 9000007985 3997 - SERVICOS LOGISTICA E 29/12/2023 RG 793,85 0"
"Pago título: 2230002822 14 - BORGWARNER INDUSTRIA E 22/12/2023 LQ 206,43 206,43"
"Pago título: 2230002966 98 - SOCIEDADE RESIDENCIAL 22/12/2023 LQ 2925,71 2925,71"
"Pago título: 2230002990 135 - CONDOMINIO RESIDENCIA 22/12/2023 LQ 209,32 209,32"
"Pago título: 2230003248 342 - IPE AGRO AVICOLA LTDA 22/12/2023 LQ 417,11 417,11"
"Pago título: 2230003260 356 - ESTANCIA ARVORE DA VI 22/12/2023 LQ 740,18 740,18"
"Pago título: 2230003266 357 - CONDOMINIO VILLE DE C 22/12/2023 LQ 1924,24 1924,24"
"Pago título: 2230003338 417 - EMBRAMACO EMPRESA BRA 22/12/2023 LQ 4044,79 4044,79"
"Pago título: 2230003344 421 - MARTINREA HONSEL BRAS 22/12/2023 LQ 1156,45 1156,45"
"Pago título: 2230003428 477 - TERRA DO PARAISO LTDA 22/12/2023 LQ 702,64 702,64"
"Pago título: 2230003686 861 - HUDTELFA TEXTILE TECH 22/12/2023 LQ 1011,72 1011,72"
"Pago título: 2230003704 868 - PREFEITURA MUNICIPAL 22/12/2023 LQ 5625,52 5625,52"
"Pago título: 2230003914 948 - QUINTA DA BARONEZA GO 22/12/2023 LQ 3882,08 3882,08"
"Pago título: 2230004184 1082 - LENA & CIA LTDA 22/12/2023 LQ 425,43 425,43"
"Pago título: 2230004190 1084 - COMPANHIA DE SANEAME 22/12/2023 LQ 27062,38 27062,38"
"Pago título: 2230004238 1110 - SERVICO AUTONOMO DE 22/12/2023 LQ 5361,71 5361,71"
"Pago título: 2230004286 1128 - CIA SANEAMENTO BASIC 22/12/2023 LQ 2801,72 2801,72"
"Pago título: 2230004292 1129 - CIA SANEAMENTO BASIC 22/12/2023 LQ 10759,55 10759,55"
"Pago título: 2230004298 1130 - BRASALIMENT INDUSTRI 22/12/2023 LQ 254,6 254,6"
"Pago título: 2230004304 1132 - CIA SANEAMENTO BASIC 22/12/2023 LQ 20404,69 20404,69"
