"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454622212202314855.ret"
""
"Cadastrado título novo: 9000007986 1597 - PREFEITURA MUNICIPAL 29/12/2023 RG 575,16 0"
"Cadastrado título novo: 9000007987 1027 - GRAFICA EDITORA GUTE 29/12/2023 RG 104,16 0"
"Cadastrado título novo: 9000007988 2849 - GERSON FERRAZZO e CI 29/12/2023 RG 444,11 0"
"Pago título: 2230002798 3 - CONDOMINIO RESIDENCIAL 22/12/2023 LQ 328,24 328,24"
"Pago título: 2230002816 12 - AGUAJATO TRANSPORTES L 22/12/2023 LQ 2545,06 2545,06"
"Pago título: 2230002834 22 - HONDA AUTOMOVEIS DO BR 22/12/2023 LQ 1634,45 1634,45"
"Pago título: 2230002840 24 - ASSOCIACAO DOS PROPRIE 22/12/2023 LQ 601,7 601,7"
"Pago título: 2230002846 25 - EXTRACAO E COMERCIO DE 22/12/2023 LQ 737,67 737,67"
"Pago título: 2230002852 26 - CERAMICA FORMIGRES LTD 22/12/2023 LQ 3109,49 3109,49"
"Pago título: 2230002882 43 - CONDOMINIO RESIDENCIAL 22/12/2023 LQ 1976,17 1976,17"
"Pago título: 2230002900 52 - ASSOCIACAO DOS PROPRIE 22/12/2023 LQ 604,71 604,71"
"Pago título: 2230002924 68 - ASSOCIACAO GREEN VILLA 22/12/2023 LQ 342,9 342,9"
"Pago título: 2230002930 69 - PLASTEK DO BRASIL INDU 22/12/2023 LQ 423,78 423,78"
"Pago título: 2230002942 73 - NARDINI PISOS E REVEST 22/12/2023 LQ 292,77 292,77"
"Pago título: 2230002947 85 - ASSOCIACAO PROPRIETARI 30/11/2023 LQ 394,62 405,4"
"Pago título: 2230002954 94 - SERVICO SOCIAL DA INDU 22/12/2023 LQ 487,95 487,95"
"Pago título: 2230002960 96 - TAGMA BRASIL INDUSTRIA 22/12/2023 LQ 707,52 707,52"
"Pago título: 2230002972 111 - ASSOCIACAO MORADORES 22/12/2023 LQ 780,71 780,71"
"Pago título: 2230002978 112 - LUME CERAMICA LTDA 22/12/2023 LQ 292,77 292,77"
"Pago título: 2230003002 142 - SOCIEDADE DE MELHORAM 22/12/2023 LQ 606,52 606,52"
"Pago título: 2230003020 157 - CONDOMINIO TECH TOWN 22/12/2023 LQ 1177,76 1177,76"
"Pago título: 2230003026 160 - ASSOCIACAO RESIDENCIA 22/12/2023 LQ 3278,99 3278,99"
"Pago título: 2230003032 163 - SABARA QUIMICOS E ING 22/12/2023 LQ 601,5 601,5"
"Pago título: 2230003044 182 - UNIPEL INDUSTRIA E CO 22/12/2023 LQ 403,61 403,61"
"Pago título: 2230003050 183 - TEXTIL BASSETO LTDA 22/12/2023 LQ 290,27 290,27"
"Pago título: 2230003056 184 - TECELAGEM JOLITEX LTD 22/12/2023 LQ 1904,97 1904,97"
"Pago título: 2230003062 186 - OBER S/A INDUSTRIA E 22/12/2023 LQ 213,23 213,23"
"Pago título: 2230003068 191 - COOPERATIVA NOVA ESPE 22/12/2023 LQ 1081,18 1081,18"
"Pago título: 2230003074 202 - NOVA PLAST IND E COM 22/12/2023 LQ 262,08 262,08"
"Pago título: 2230003080 203 - TINTURARIA E ESTAMPAR 22/12/2023 LQ 1343,04 1343,04"
"Pago título: 2230003086 206 - ROUSSELOT GELATINAS D 22/12/2023 LQ 2597,39 2597,39"
"Pago título: 2230003092 211 - FERNANDEZ S.A. INDUST 22/12/2023 LQ 517,14 517,14"
"Pago título: 2230003104 219 - SI GROUP CRIOS RESINA 22/12/2023 LQ 2443,08 2443,08"
"Pago título: 2230003110 223 - VIVA PISOS E REVESTIM 22/12/2023 LQ 862,69 862,69"
"Pago título: 2230003134 237 - IPLASA - INDUSTRIA E 22/12/2023 LQ 585,53 585,53"
"Pago título: 2230003152 246 - 3M DO BRASIL LTDA 22/12/2023 LQ 1958,57 1958,57"
"Pago título: 2230003164 257 - PASTIFICIO SELMI S/A 22/12/2023 LQ 2004,04 2004,04"
"Pago título: 2230003170 262 - INDUSTRIA CAMPINEIRA 22/12/2023 LQ 395,24 395,24"
"Pago título: 2230003176 265 - ADERE PRODUTOS AUTO-A 22/12/2023 LQ 315,22 315,22"
"Pago título: 2230003182 281 - BIO SPRINGER DO BRASI 22/12/2023 LQ 1136,41 1136,41"
"Pago título: 2230003200 293 - OMAMORI INDUSTRIA DE 22/12/2023 LQ 402,33 402,33"
"Pago título: 2230003206 297 - CERAMICA CRISTOFOLETT 22/12/2023 LQ 585,53 585,53"
"Pago título: 2230003218 312 - FIACAO ALPINA LTDA 22/12/2023 LQ 1061,86 1061,86"
"Pago título: 2230003230 324 - DEDINI S/A INDUSTRIAS 22/12/2023 LQ 858,58 858,58"
"Pago título: 2230003236 332 - CRS BRANDS INDUSTRIA 22/12/2023 LQ 4783,81 4783,81"
"Pago título: 2230003242 335 - ANTONIO BORIN SA IND 22/12/2023 LQ 428,34 428,34"
"Pago título: 2230003254 349 - SOBAM CENTRO MEDICO H 22/12/2023 LQ 234,01 234,01"
"Pago título: 2230003290 375 - CAPUAVA S/A INDUSTRIA 22/12/2023 LQ 1088,48 1088,48"
"Pago título: 2230003296 383 - EATON LTDA 22/12/2023 LQ 1263,47 1263,47"
"Pago título: 2230003302 390 - TOYOBO DO BRASIL LTDA 22/12/2023 LQ 841,64 841,64"
"Pago título: 2230003308 391 - CONDOMINIO EDIFICIO E 22/12/2023 LQ 232,33 232,33"
"Pago título: 2230003350 426 - RUY R. DA ROCHA PRODU 22/12/2023 LQ 439,15 439,15"
"Pago título: 2230003356 432 - ASSOCIACAO PROPRIETAR 22/12/2023 LQ 611,27 611,27"
"Pago título: 2230003386 455 - TBK MINERACAO LTDA 22/12/2023 LQ 754,85 754,85"
"Pago título: 2230003392 461 - J.R.M. - PARTICIPACOE 22/12/2023 LQ 994,48 994,48"
"Pago título: 2230003398 462 - AD ORO S/A 22/12/2023 LQ 4632,68 4632,68"
"Pago título: 2230003422 476 - CLUBE DE CAMPO VALINH 22/12/2023 LQ 2607,38 2607,38"
"Pago título: 2230003434 482 - TAVARES PINHEIRO INDU 22/12/2023 LQ 707,52 707,52"
"Pago título: 2230003440 487 - USINA ACUCAREIRA ESTE 22/12/2023 LQ 27234,28 27234,28"
"Pago título: 2230003446 490 - SAINT-GOBAIN DO BRASI 22/12/2023 LQ 1388,16 1388,16"
"Pago título: 2230003464 497 - ALCOOL FERREIRA S/A 22/12/2023 LQ 698,5 698,5"
"Pago título: 2230003470 499 - SPAL INDUSTRIA BRASIL 22/12/2023 LQ 3889,66 3889,66"
"Pago título: 2230003476 500 - BIGNARDI IND E COM DE 22/12/2023 LQ 7070,23 7070,23"
"Pago título: 2230003482 503 - FLAMBOIA ALIMENTOS LT 22/12/2023 LQ 855,62 855,62"
"Pago título: 2230003488 505 - ASSOCIACAO AMIGOS DO 22/12/2023 LQ 1493,97 1493,97"
"Pago título: 2230003500 521 - SPG PRINTS BRASIL LTD 22/12/2023 LQ 228,11 228,11"
"Pago título: 2230003524 545 - SOCIEDADE DE PROPRIET 22/12/2023 LQ 439,09 439,09"
"Pago título: 2230003542 563 - PLAZA INDUSTRIA E COM 22/12/2023 LQ 271,35 271,35"
"Pago título: 2230003548 585 - TEKA - TECELAGEM KUEN 22/12/2023 LQ 2158,31 2158,31"
"Pago título: 2230003566 680 - JOSE EDUARDO ANNICCHI 22/12/2023 LQ 243,97 243,97"
"Pago título: 2230003572 760 - LETICIA APARECIDA MAR 22/12/2023 LQ 217,47 217,47"
"Pago título: 2230003590 824 - UNIVERSIDADE DE SAO P 22/12/2023 LQ 1263,82 1263,82"
"Pago título: 2230003596 826 - DEPARTAMENTO AUTONOMO 22/12/2023 LQ 118046,64 118046,64"
"Pago título: 2230003614 831 - DEPARTAMENTO DE AGUAS 22/12/2023 LQ 45502,62 45502,62"
"Pago título: 2230003620 832 - SANEAMENTO BASICO VIN 22/12/2023 LQ 38330,31 38330,31"
"Pago título: 2230003626 839 - BUTILAMIL INDUSTRIAS 22/12/2023 LQ 4792,57 4792,57"
"Pago título: 2230003632 841 - MAGNETI MARELLI SISTE 22/12/2023 LQ 425,9 425,9"
"Pago título: 2230003638 842 - REGIMAR COMERCIAL S/A 22/12/2023 LQ 2609,6 2609,6"
"Pago título: 2230003644 844 - COIM BRASIL LTDA 22/12/2023 LQ 557,12 557,12"
"Pago título: 2230003650 845 - THYSSENKRUPP METALURG 22/12/2023 LQ 6626,37 6626,37"
"Pago título: 2230003656 851 - KROMBERG & SCHUBERT D 22/12/2023 LQ 369,13 369,13"
"Pago título: 2230003662 852 - ECOFABRIL INDUSTRIA E 22/12/2023 LQ 371 371"
"Pago título: 2230003668 855 - LOG & PRINT GRAFICA E 22/12/2023 LQ 283,5 283,5"
"Pago título: 2230003698 867 - EUCATEX INDUSTRIA E C 22/12/2023 LQ 53008,88 53008,88"
"Pago título: 2230003716 880 - MD PAPEIS LTDA 22/12/2023 LQ 5132,01 5132,01"
"Pago título: 2230003728 885 - CP KELCO BRASIL S/A 22/12/2023 LQ 7191,1 7191,1"
"Pago título: 2230003740 888 - INCOPISOS INDUSTRIA E 22/12/2023 LQ 1200,34 1200,34"
"Pago título: 2230003746 891 - TIMAVO DO BRASIL S/A 22/12/2023 LQ 4167,41 4167,41"
"Pago título: 2230003752 892 - A. AZEVEDO INDUSTRIA 22/12/2023 LQ 1743,78 1743,78"
"Pago título: 2230003758 895 - FRIGORIFICO ANGELELLI 22/12/2023 LQ 2147,82 2147,82"
"Pago título: 2230003764 896 - PREFEITURA MUNICIPAL 22/12/2023 LQ 1728,95 1728,95"
"Pago título: 2230003782 903 - MINASA TRADING INTERN 22/12/2023 LQ 1557,15 1557,15"
"Pago título: 2230003788 906 - TINTURARIA E ESTAMPAR 22/12/2023 LQ 2311,51 2311,51"
"Pago título: 2230003794 907 - SERRA AZUL WATER PARK 22/12/2023 LQ 2060,93 2060,93"
"Pago título: 2230003806 909 - FLEX PARQUE EMPRESARI 22/12/2023 LQ 934,42 934,42"
"Pago título: 2230003818 917 - BMB BELGO MINEIRA BEK 22/12/2023 LQ 1419,27 1419,27"
"Pago título: 2230003824 919 - COMPANHIA DE DESENVOL 22/12/2023 LQ 57073,69 57073,69"
"Pago título: 2230003830 920 - ELEKEIROZ S/A 22/12/2023 LQ 11137,49 11137,49"
"Pago título: 2230003848 930 - SERVICO AUTONOMO DE A 22/12/2023 LQ 45696,21 45696,21"
"Pago título: 2230003860 932 - GREMIO RECR EMPREGADO 22/12/2023 LQ 461,64 461,64"
"Pago título: 2230003866 938 - MIRACEMA NUODEX INDUS 22/12/2023 LQ 474,84 474,84"
"Pago título: 2230003872 939 - LEF PISOS E REVESTIME 22/12/2023 LQ 1026,61 1026,61"
"Pago título: 2230003884 941 - RAIZEN ENERGIA S/A 22/12/2023 LQ 17455,42 17455,42"
"Pago título: 2230003896 943 - RAIZEN ENERGIA S/A 22/12/2023 LQ 12344,98 12344,98"
"Pago título: 2230003902 944 - PREFEITURA MUNICIPAL 22/12/2023 LQ 21207,58 21207,58"
"Pago título: 2230003908 946 - HOTEL CAMPING ESTANCI 22/12/2023 LQ 995,41 995,41"
"Pago título: 2230003938 959 - ASK PRODUTOS QUIMICOS 22/12/2023 LQ 226,08 226,08"
"Pago título: 2230003944 962 - SAO MARTINHO S.A. 22/12/2023 LQ 44735,33 44735,33"
"Pago título: 2230003950 965 - IGARATIBA INDUSTRIA E 22/12/2023 LQ 378,18 378,18"
"Pago título: 2230003956 966 - SERVICO DE AGUA E ESG 22/12/2023 LQ 24904,28 24904,28"
"Pago título: 2230003974 975 - BANN QUIMICA LTDA 22/12/2023 LQ 210,81 210,81"
"Pago título: 2230003980 976 - SOCIEDADE DE ABASTECI 22/12/2023 LQ 44650,43 44650,43"
"Pago título: 2230003986 978 - CHEM-TREND IND E COM 22/12/2023 LQ 658,59 658,59"
"Pago título: 2230003992 981 - PIRACAIA IND E COM EX 22/12/2023 LQ 914,64 914,64"
"Pago título: 2230003998 985 - CONDOMINIO FAZENDA DU 22/12/2023 LQ 390,9 390,9"
"Pago título: 2230004004 986 - PREFEITURA MUNICIPAL 22/12/2023 LQ 48182,36 48182,36"
"Pago título: 2230004010 989 - A P LOSA & CIA LTDA 22/12/2023 LQ 585,53 585,53"
"Pago título: 2230004022 1000 - CIA SANEAMENTO BASIC 22/12/2023 LQ 2977,62 2977,62"
"Pago título: 2230004028 1001 - CIA SANEAMENTO BASIC 22/12/2023 LQ 1059,78 1059,78"
"Pago título: 2230004034 1002 - CIA SANEAMENTO BASIC 22/12/2023 LQ 2139,08 2139,08"
"Pago título: 2230004040 1004 - BRANYL COMERCIO E IN 22/12/2023 LQ 1199,56 1199,56"
"Pago título: 2230004046 1024 - RAIZEN ENERGIA S/A 22/12/2023 LQ 15495,82 15495,82"
"Pago título: 2230004052 1033 - CCS TECNOLOGIA E SER 22/12/2023 LQ 298,03 298,03"
"Pago título: 2230004064 1047 - QUIMICA AMPARO LTDA 22/12/2023 LQ 5765,68 5765,68"
"Pago título: 2230004076 1050 - CIA SANEAMENTO BASIC 22/12/2023 LQ 922,17 922,17"
"Pago título: 2230004088 1054 - CIA SANEAMENTO BASIC 22/12/2023 LQ 2781,29 2781,29"
"Pago título: 2230004094 1055 - CARTONIFICIO VALINHO 22/12/2023 LQ 1846,21 1846,21"
"Pago título: 2230004100 1057 - CIA SANEAMENTO BASIC 22/12/2023 LQ 19277,88 19277,88"
"Pago título: 2230004106 1058 - CIA SANEAMENTO BASIC 22/12/2023 LQ 9318,78 9318,78"
"Pago título: 2230004112 1060 - CIA SANEAMENTO BASIC 22/12/2023 LQ 5090,4 5090,4"
"Pago título: 2230004118 1063 - CIA SANEAMENTO BASIC 22/12/2023 LQ 3818,66 3818,66"
"Pago título: 2230004124 1064 - CIA SANEAMENTO BASIC 22/12/2023 LQ 710,79 710,79"
"Pago título: 2230004130 1065 - CIA SANEAMENTO BASIC 22/12/2023 LQ 32349,45 32349,45"
"Pago título: 2230004136 1066 - CIA SANEAMENTO BASIC 22/12/2023 LQ 1538,25 1538,25"
"Pago título: 2230004142 1067 - CIA SANEAMENTO BASIC 22/12/2023 LQ 9552,93 9552,93"
"Pago título: 2230004148 1070 - CIA SANEAMENTO BASIC 22/12/2023 LQ 5153,11 5153,11"
"Pago título: 2230004154 1073 - CIA SANEAMENTO BASIC 22/12/2023 LQ 12498,14 12498,14"
"Pago título: 2230004160 1074 - CIA SANEAMENTO BASIC 22/12/2023 LQ 1849,81 1849,81"
"Pago título: 2230004166 1075 - TINTEX TINTURARIA TE 22/12/2023 LQ 2547,88 2547,88"
"Pago título: 2230004178 1078 - DAE S/A AGUA E ESGOT 22/12/2023 LQ 144045,96 144045,96"
"Pago título: 2230004196 1085 - YAKULT S/A INDUSTRIA 22/12/2023 LQ 369,37 369,37"
"Pago título: 2230004202 1086 - ENGENHO SAO PEDRO AG 22/12/2023 LQ 2149,33 2149,33"
"Pago título: 2230004208 1087 - TOYOTA DO BRASIL LTD 22/12/2023 LQ 2691,13 2691,13"
"Pago título: 2230004214 1091 - DEPARTAMENTO DE AGUA 22/12/2023 LQ 492,72 492,72"
"Pago título: 2230004220 1097 - TERRAR INDUSTRIA E C 22/12/2023 LQ 229,5 229,5"
"Pago título: 2230004226 1103 - ASSOCIACAO FAZENDA C 22/12/2023 LQ 929,53 929,53"
"Pago título: 2230004244 1111 - CIA SANEAMENTO BASIC 22/12/2023 LQ 537248,28 537248,28"
"Pago título: 2230004250 1112 - CIA SANEAMENTO BASIC 22/12/2023 LQ 20238,79 20238,79"
"Pago título: 2230004262 1116 - CROWN  EMBALAGENS ME 22/12/2023 LQ 2111,47 2111,47"
"Pago título: 2230004268 1120 - MOTOROLA MOBILITY CO 22/12/2023 LQ 1127,15 1127,15"
"Pago título: 2230004280 1123 - CIA SANEAMENTO BASIC 22/12/2023 LQ 16853,47 16853,47"
"Pago título: 2230004316 1137 - SICAD DO BRASIL FITA 22/12/2023 LQ 265,81 265,81"
"Pago título: 2230004322 1139 - HOPI HARI S/A 22/12/2023 LQ 720,9 720,9"
"Pago título: 2230004334 1143 - CASTELO ALIMENTOS S/ 22/12/2023 LQ 1336,38 1336,38"
"Pago título: 2230004340 1144 - ASSOCIACAO PROPRIET. 22/12/2023 LQ 365,96 365,96"
"Pago título: 2230004346 1145 - JOBEMA DISTRIBUIDORA 22/12/2023 LQ 1218,79 1218,79"
"Pago título: 2230004352 1148 - ARCELOR MITTAL GONVA 22/12/2023 LQ 525,54 525,54"
"Pago título: 2230004364 1158 - SI GROUP RESINAS S.A 22/12/2023 LQ 394,87 394,87"
"Pago título: 2230004382 1193 - TEXTIL CANATIBA LTDA 22/12/2023 LQ 869,22 869,22"
"Pago título: 2230004388 1194 - TEXTIL CANATIBA LTDA 22/12/2023 LQ 2301,52 2301,52"
"Pago título: 2230004394 1195 - TEXTIL CANATIBA LTDA 22/12/2023 LQ 2878,43 2878,43"
"Pago título: 2230004406 1221 - NORQUIMA PRODUTOS QU 22/12/2023 LQ 582,49 582,49"
"Pago título: 2230004418 1231 - COVOLAN INDUSTRIA TE 22/12/2023 LQ 11292,34 11292,34"
"Pago título: 2230004424 1243 - ASSOCIACAO PROPRIETA 22/12/2023 LQ 439,15 439,15"
"Pago título: 2230004430 1246 - CLUBE JUNDIAIENSE 22/12/2023 LQ 485,75 485,75"
"Pago título: 2230004448 1274 - GUAINUMBY TEXTIL LTD 22/12/2023 LQ 603,79 603,79"
"Pago título: 2230004454 1276 - INDUSTRIA E COMERCIO 22/12/2023 LQ 213,45 213,45"
"Pago título: 2230004466 1308 - INDUSTRIA DE BEBIDAS 22/12/2023 LQ 237,17 237,17"
"Pago título: 2230004472 1313 - KIKKOMAN DO BRASIL I 22/12/2023 LQ 352,42 352,42"
"Pago título: 2230004490 1405 - ASSOCIACAO LOTEAMENT 22/12/2023 LQ 4273,24 4273,24"
"Pago título: 2230004496 1414 - CERVEJARIA ASHBY LTD 22/12/2023 LQ 210,03 210,03"
"Pago título: 2230004514 1420 - MIRVI BRASIL LTDA 22/12/2023 LQ 626,27 626,27"
"Pago título: 2230004538 1429 - ASSOCIACAO ADMINISTR 22/12/2023 LQ 990,53 990,53"
"Pago título: 2230004544 1437 - CONDOMINIO EDIFICIO 22/12/2023 LQ 203,86 203,86"
"Pago título: 2230004550 1456 - ASSOC DOS PROP DO LO 22/12/2023 LQ 463,55 463,55"
"Pago título: 2230004556 1459 - CIA SANEAMENTO BASIC 22/12/2023 LQ 504,78 504,78"
"Pago título: 2230004562 1465 - BBC INDUSTRIA E COME 22/12/2023 LQ 450,44 450,44"
"Pago título: 2230004568 1477 - JETFIO INDUSTRIA TEX 22/12/2023 LQ 440,09 440,09"
"Pago título: 2230004586 1484 - DELTA INDUSTRIA CERA 22/12/2023 LQ 10926,41 10926,41"
"Pago título: 2230004598 1547 - SOCER BRASIL INDUSTR 22/12/2023 LQ 525,94 525,94"
"Pago título: 2230004616 1567 - RPR CAPTACAO E TRANS 22/12/2023 LQ 1216,88 1216,88"
"Pago título: 2230004628 1591 - TQA INDUSTRIA E COME 22/12/2023 LQ 414,75 414,75"
"Pago título: 2230004634 1592 - MICROSAL INDUSTRIA E 22/12/2023 LQ 990,04 990,04"
"Pago título: 2230004640 1603 - OLIVEIRA & LOPES LTD 22/12/2023 LQ 336,51 336,51"
"Pago título: 2230004646 1609 - GRANITEC IND E COM D 22/12/2023 LQ 285,05 285,05"
"Pago título: 2230004652 1618 - NAZATO PIRACICABA TR 22/12/2023 LQ 510,34 510,34"
"Pago título: 2230004664 1638 - LEITESOL INDUSTRIA E 22/12/2023 LQ 369,11 369,11"
"Pago título: 2230004670 1649 - CONDOMINIO CASA GRAN 22/12/2023 LQ 210,79 210,79"
"Pago título: 2230004676 1652 - RICLAN S/A 22/12/2023 LQ 248,27 248,27"
"Pago título: 2230004700 1689 - AJINOMOTO DO BRASIL 22/12/2023 LQ 609,95 609,95"
"Pago título: 2230004706 1692 - LALLEMAND SOLUCOES B 22/12/2023 LQ 488,65 488,65"
"Pago título: 2230004754 1750 - PREFEITURA MUNICIPAL 22/12/2023 LQ 574,87 574,87"
"Pago título: 2230004766 1789 - CENTRAIS DE ABASTECI 22/12/2023 LQ 796,48 796,48"
"Pago título: 2230004772 1792 - ASSOC DE AMIGOS DO C 22/12/2023 LQ 400,12 400,12"
"Pago título: 2230004784 1813 - MAXLAV LAVANDERIA ES 22/12/2023 LQ 442,79 442,79"
"Pago título: 2230004796 1818 - MARLES INDUSTRIA TEX 22/12/2023 LQ 1020,68 1020,68"
"Pago título: 2230004802 1829 - NHEEL QUIMICA LTDA 22/12/2023 LQ 1080,05 1080,05"
"Pago título: 2230004808 1830 - SUOMINEN BRASIL INDU 22/12/2023 LQ 333,52 333,52"
"Pago título: 2230004814 1846 - COMPANHIA NACIONAL D 22/12/2023 LQ 713,92 713,92"
"Pago título: 2230004838 1870 - MALIBER INDUSTRIA E 22/12/2023 LQ 248,85 248,85"
"Pago título: 2230004844 1885 - A PRESS TRANSPORTES 22/12/2023 LQ 281,06 281,06"
"Pago título: 2230004850 1902 - KENJI EXTRACAO E COM 22/12/2023 LQ 386,75 386,75"
"Pago título: 2230004886 1976 - SOL INVEST EMPREENDI 22/12/2023 LQ 339,68 339,68"
"Pago título: 2230004892 1979 - QUIMICA AMPARO LTDA 22/12/2023 LQ 829,51 829,51"
"Pago título: 2230004904 1993 - CABLENA DO BRASIL LT 22/12/2023 LQ 256,67 256,67"
"Pago título: 2230004910 2019 - BAERLOCHER DO BRASIL 22/12/2023 LQ 1372,32 1372,32"
"Pago título: 2230004916 2028 - TERMOTECNICA LTDA 22/12/2023 LQ 243,97 243,97"
"Pago título: 2230004922 2047 - ITARARE TRANSPORTE D 22/12/2023 LQ 240,63 240,63"
"Pago título: 2230004928 2069 - TRANSPORTES  21 LTDA 22/12/2023 LQ 234,21 234,21"
"Pago título: 2230004934 2074 - SALTORELLI TINTURARI 22/12/2023 LQ 1157,28 1157,28"
