"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7245607605202422109.ret"
""
"Cadastrado título novo: 9000008073 904 - BELGO BEKAERT ARAMES 31/05/2024 RG 1109,79 0"
"Cadastrado título novo: 9000008074 4197 - ASSOCIACAO DOS PROPR 31/05/2024 RG 606,38 0"
"Cadastrado título novo: 9000008075 4197 - ASSOCIACAO DOS PROPR 28/06/2024 RG 606,38 0"
"Cadastrado título novo: 9000008076 4197 - ASSOCIACAO DOS PROPR 31/07/2024 RG 606,38 0"
"Cadastrado título novo: 9000008077 4197 - ASSOCIACAO DOS PROPR 30/08/2024 RG 606,38 0"
"Cadastrado título novo: 9000008078 4197 - ASSOCIACAO DOS PROPR 30/09/2024 RG 606,38 0"
"Cadastrado título novo: 9000008079 4197 - ASSOCIACAO DOS PROPR 31/10/2024 RG 606,38 0"
"Cadastrado título novo: 9000008080 4197 - ASSOCIACAO DOS PROPR 29/11/2024 RG 606,38 0"
"Cadastrado título novo: 9000008081 4197 - ASSOCIACAO DOS PROPR 31/12/2024 RG 606,38 0"
"Cadastrado título novo: 9000008082 4197 - ASSOCIACAO DOS PROPR 31/01/2025 RG 606,38 0"
"Cadastrado título novo: 9000008083 4197 - ASSOCIACAO DOS PROPR 28/02/2025 RG 606,38 0"
"Cancelado título: 9000008069 1932 - MARIA EMILIA IRINEU 30/04/2024 BX 297,35 0"
"Cancelado título: 9000008070 1783 - CESAR RODRIGO ZUMSTE 30/04/2024 BX 340,16 0"
