"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7245736309202420955.ret"
""
"Cadastrado título novo: 9000008181 4116 - TARTALIA EMPREENDIME 30/09/2024 RG 707,65 0"
"Cadastrado título novo: 9000008182 7766 - AGROPECUARIA TUIUTI 30/09/2024 RG 3712,48 0"
"Cadastrado título novo: 9000008183 7766 - AGROPECUARIA TUIUTI 31/10/2024 RG 3712,5 0"
"Cadastrado título novo: 9000008184 1756 - MARIA DE CAMARGO DAL 30/09/2024 RG 1730,31 0"
"Cadastrado título novo: 9000008185 7766 - AGROPECUARIA TUIUTI 29/11/2024 RG 3712,5 0"
"Cadastrado título novo: 9000008186 7766 - AGROPECUARIA TUIUTI 19/12/2024 RG 3712,5 0"
"Cadastrado título novo: 9000008187 7766 - AGROPECUARIA TUIUTI 31/01/2025 RG 3712,5 0"
"Cadastrado título novo: 9000008188 7766 - AGROPECUARIA TUIUTI 28/02/2025 RG 3712,5 0"
"Cadastrado título novo: 9000008189 7766 - AGROPECUARIA TUIUTI 31/03/2025 RG 3712,5 0"
"Pago título: 2400000091 1043 - MAGNA DO BRASIL PROD 30/09/2024 LQ 1573 1573"
"Cancelado título: 2400002242 7766 - AGROPECUARIA TUIUTI 30/09/2024 BX 6496,87 0"
"Cancelado título: 2400002243 7766 - AGROPECUARIA TUIUTI 31/10/2024 BX 6496,87 0"
"Cancelado título: 2400002244 7766 - AGROPECUARIA TUIUTI 29/11/2024 BX 6496,87 0"
"Cancelado título: 2400002245 7766 - AGROPECUARIA TUIUTI 19/12/2024 BX 6496,87 0"
