"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457561709202421048.ret"
""
"Pago título: 2400000636 1447 - CERAMICA GIANFRANCIS 30/09/2024 LQ 250,26 250,26"
"Pago título: 2400000961 5193 - GERALDO SCAVASSA 30/09/2024 LQ 120,44 120,44"
"Pago título: 2400001584 7712 - JORGE DA FONSECA OSO 30/09/2024 LQ 249,13 249,13"
"Pago título: 2400001585 7712 - JORGE DA FONSECA OSO 31/10/2024 LQ 249,13 249,13"
"Pago título: 2400001586 7712 - JORGE DA FONSECA OSO 29/11/2024 LQ 249,13 249,13"
"Pago título: 2400002450 585 - TEKA - TECELAGEM KUEN 30/09/2024 LQ 3237,45 3237,45"
"Pago título: 9000008169 7376 - CABRINI INDUSTRIA DE 30/08/2024 LQ 337,47 346,23"
"Cancelado título: 2400003510 3026 - RAIZEN ENERGIA S/A 30/09/2024 BX 795,95 0"
"Cancelado título: 2400003511 3026 - RAIZEN ENERGIA S/A 31/10/2024 BX 795,96 0"
"Cancelado título: 2400003512 3026 - RAIZEN ENERGIA S/A 29/11/2024 BX 795,96 0"
"Cancelado título: 2400003513 3026 - RAIZEN ENERGIA S/A 19/12/2024 BX 795,96 0"
"ERRO! Operação desconhecida: 2400004078 472 - LINDE GASES LTDA 30/09/2024 CB 561,63 0"
"ERRO! Operação desconhecida: 2400004079 472 - LINDE GASES LTDA 31/10/2024 CB 561,63 0"
"ERRO! Operação desconhecida: 2400004080 472 - LINDE GASES LTDA 29/11/2024 CB 561,63 0"
"ERRO! Operação desconhecida: 2400004081 472 - LINDE GASES LTDA 19/12/2024 CB 561,63 0"
"ERRO! Operação desconhecida: 9000008191 472 - LINDE GASES LTDA 30/09/2024 CB 2569,63 0"
"ERRO! Operação desconhecida: 2400004078 472 - LINDE GASES LTDA 30/09/2024 EN 561,63 0"
"ERRO! Operação desconhecida: 2400004079 472 - LINDE GASES LTDA 31/10/2024 EN 561,63 0"
"ERRO! Operação desconhecida: 2400004080 472 - LINDE GASES LTDA 29/11/2024 EN 561,63 0"
"ERRO! Operação desconhecida: 2400004081 472 - LINDE GASES LTDA 19/12/2024 EN 561,63 0"
"ERRO! Operação desconhecida: 2400004306 3139 - RAIZEN ENERGIA S/A 30/09/2024 EN 475,74 0"
"ERRO! Operação desconhecida: 2400004307 3139 - RAIZEN ENERGIA S/A 31/10/2024 EN 475,75 0"
"ERRO! Operação desconhecida: 2400004308 3139 - RAIZEN ENERGIA S/A 29/11/2024 EN 475,75 0"
"ERRO! Operação desconhecida: 2400004309 3139 - RAIZEN ENERGIA S/A 19/12/2024 EN 475,75 0"
"ERRO! Operação desconhecida: 9000008191 472 - LINDE GASES LTDA 30/09/2024 EN 2569,63 0"
"ERRO! Operação desconhecida: 2400002786 281 - BIO SPRINGER DO BRASI 15/10/2024 VC 1704,61 0"
