"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457601909202420918.ret"
""
"Cadastrado título novo: 9000008219 3730 - CONDOMINIO PIAZZA DI 30/09/2024 RG 945,87 0"
"Pago título: 2400000081 3275 - UNIMED DE PIRACICABA 30/09/2024 LQ 1754,61 1754,61"
"Pago título: 2400000831 3543 - CONDOMINIO CENTRO PO 30/09/2024 LQ 186,08 186,08"
"Pago título: 2400000852 1595 - NOVACKI PAPEL E EMBA 30/09/2024 LQ 174,91 174,91"
"Pago título: 2400001071 525 - ASSOCIACAO PROPR DA G 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001215 7756 - VOTORANTIM CIMENTOS 30/09/2024 LQ 251,52 251,52"
"Pago título: 2400002814 968 - SUZANO PAPEL E CELULO 30/09/2024 LQ 1630,85 1630,85"
"Pago título: 2400002890 7372 - MUNICIPIO DE RIO DAS 30/09/2024 LQ 1483,09 1483,09"
"Pago título: 2400003630 2310 - AQUACHER COMERCIAL L 30/09/2024 LQ 730,09 730,09"
"Pago título: 2400004434 1564 - INDUSTRIA E COMERCIO 30/09/2024 LQ 435,1 435,1"
"Pago título: 2400004534 3484 - CLUBE RECREATIVO SAO 30/09/2024 LQ 402,56 402,56"
"Pago título: 2400004738 1666 - VOTORANTIM CIMENTOS 30/09/2024 LQ 359,84 359,84"
"Pago título: 2400005194 3468 - VOTORANTIM CIMENTOS 30/09/2024 LQ 292,02 292,02"
"Pago título: 9000008184 1756 - MARIA DE CAMARGO DAL 30/09/2024 LQ 1730,31 1730,31"
