"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457622009202421119.ret"
""
"Cadastrado título novo: 9000008220 4164 - SERELLO RECICLAGEM 30/09/2024 RG 257,43 0"
"Pago título: 2400000061 3354 - RIO FORMOSO NEGOCIOS 30/09/2024 LQ 2413,59 2413,59"
"Pago título: 2400000151 3810 - BRENHA DA FONTOURA A 30/09/2024 LQ 908,34 908,34"
"Pago título: 2400000163 3811 - ROXO NOBRE E FILHO S 30/09/2024 LQ 875,32 875,32"
"Pago título: 2400000341 7701 - EE PROFESSOR DORIVAL 30/09/2024 LQ 360,95 360,95"
"Pago título: 2400000344 7611 - ANGELO ANTONIO BUCIO 30/09/2024 LQ 358,93 358,93"
"Pago título: 2400000373 3804 - SORFRIO COMERCIO DE 30/09/2024 LQ 347,71 347,71"
"Pago título: 2400000391 3215 - ASSOC DOS PROPRIETAR 30/09/2024 LQ 336,68 336,68"
"Pago título: 2400000522 2501 - AUTO POSTO E RESTAUR 30/09/2024 LQ 290,03 290,03"
"Pago título: 2400000597 2238 - ASSOCIACAO DOS PROP 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400000631 3435 - CONDOMINIO EDIFICIO 30/09/2024 LQ 251,58 251,58"
"Pago título: 2400000735 1007 - CONDOMINIO EDIFICIO 30/09/2024 LQ 222,15 222,15"
"Pago título: 2400000800 1009 - CONDOMINIO EDIFICIO 30/09/2024 LQ 196,94 196,94"
"Pago título: 2400000907 3472 - CONDOMINIO RESIDENCI 30/09/2024 LQ 147,93 147,93"
"Pago título: 2400001357 7713 - NATURA COSMETICOS S/ 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001572 5422 - SMART SOLUCOES IMOBI 30/09/2024 LQ 252,87 252,87"
"Pago título: 2400003874 342 - IPE AGRO AVICOLA LTDA 30/09/2024 LQ 625,67 625,67"
"Pago título: 2400004114 5306 - ASSOCIACAO DE AMIGOS 30/09/2024 LQ 548,93 548,93"
"Pago título: 2400004250 3788 - TERRAS DE MONTE ALEG 30/09/2024 LQ 506,42 506,42"
"Pago título: 2400004282 33 - CONDOMINIO SHOPPING CE 30/09/2024 LQ 494,28 494,28"
"Pago título: 2400004686 5982 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 365,95 365,95"
"Pago título: 2400004766 3474 - ASSOCIACAO FILOSOFIC 30/09/2024 LQ 355,72 355,72"
"Pago título: 2400005558 5353 - CONDOMINIO RESIDENCI 30/09/2024 LQ 226,07 226,07"
"Pago título: 2400005598 5433 - ANTONIO PEDRO CREMON 30/09/2024 LQ 219,56 219,56"
"Pago título: 2400005599 5433 - ANTONIO PEDRO CREMON 31/10/2024 LQ 219,58 219,58"
"Pago título: 9000008181 4116 - TARTALIA EMPREENDIME 30/09/2024 LQ 707,65 707,65"
