"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457662409202421415.ret"
""
"Cadastrado título novo: 9000008227 3011 - VIRONDA CONFECCOES L 30/09/2024 RG 3348,51 0"
"Cadastrado título novo: 9000008228 3011 - VIRONDA CONFECCOES L 31/10/2024 RG 3348,49 0"
"Cadastrado título novo: 9000008229 3011 - VIRONDA CONFECCOES L 29/11/2024 RG 3348,49 0"
"Cadastrado título novo: 9000008230 3011 - VIRONDA CONFECCOES L 19/12/2024 RG 3348,49 0"
"Cadastrado título novo: 9000008231 7727 - SENDAS DISTRIBUIDORA 30/09/2024 RG 849,67 0"
"Pago título: 2400000017 7736 - GREAT WALL MOTOR BRA 30/09/2024 LQ 6926,6 6926,6"
"Pago título: 2400000130 1454 - FOXCONN BRASIL INDUS 30/09/2024 LQ 1074,3 1074,3"
"Pago título: 2400000166 1941 - ESSENCEFLORA INDUSTR 30/09/2024 LQ 788,3 788,3"
"Pago título: 2400000401 353 - CONJUNTO RESIDENCIAL 30/09/2024 LQ 330,29 330,29"
"Pago título: 2400000409 5538 - SOCIEDADE RECREATIVA 30/09/2024 LQ 324,58 324,58"
"Pago título: 2400000468 2147 - EDIFICIO VILLA D  AC 30/09/2024 LQ 299,42 299,42"
"Pago título: 2400000520 7376 - CABRINI INDUSTRIA DE 30/09/2024 LQ 290,7 290,7"
"Pago título: 2400000648 139 - RIO EMPREENDIMENTOS I 30/09/2024 LQ 247,39 247,39"
"Pago título: 2400000780 1010 - CONDOMINIO INDUSTRIA 30/09/2024 LQ 207,54 207,54"
"Pago título: 2400000783 5578 - INDUSTRIAS MACHINA Z 30/09/2024 LQ 206,41 206,41"
"Pago título: 2400000789 1028 - CONDOMINIO EDIFICIO 30/09/2024 LQ 202,6 202,6"
"Pago título: 2400000917 6670 - CONDOMINIO RESIDENCI 30/09/2024 LQ 145,22 145,22"
"Pago título: 2400000951 3941 - EDSON SANTO INCERPI 30/09/2024 LQ 131,75 131,75"
"Pago título: 2400000963 364 - RAINHA INDUSTRIA E CO 30/09/2024 LQ 118,48 118,48"
"Pago título: 2400000974 3790 - RIO EMPREENDIMENTOS 30/09/2024 LQ 109,36 109,36"
"Pago título: 2400001047 7858 - GNR PARK EMPREENDIME 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400001077 1051 - ITABRAS MINERACAO  L 30/09/2024 LQ 292,75 292,75"
"Pago título: 2400001201 4448 - ASSOCIACAO DE PROP E 30/09/2024 LQ 255,55 255,55"
"Pago título: 2400001249 3850 - PORTO DE AREIA RIO B 30/09/2024 LQ 243,96 243,96"
"Pago título: 2400001373 1991 - CONCREVIP - CONCRETE 30/09/2024 LQ 219,57 219,57"
"Pago título: 2400001421 1486 - CONDOMINIO LOG INN J 30/09/2024 LQ 215,16 215,16"
"Pago título: 2400001776 3684 - SOCIEDADE REGIONAL D 30/09/2024 LQ 230,92 230,92"
"Pago título: 2400001785 3734 - ASSOCIACAO DE PROP C 30/09/2024 LQ 230,3 230,3"
"Pago título: 2400001887 3193 - NOSSO CLUBE 30/09/2024 LQ 214,59 214,59"
"Pago título: 2400001914 2495 - HOTEL NACIONAL INN L 30/09/2024 LQ 211,97 211,97"
"Pago título: 2400002583 3701 - ASSOCIACAO DE SOCIOS 31/10/2024 LQ 2415,33 2415,33"
"Pago título: 2400003242 2088 - ASSOCIACAO DE PROPRI 30/09/2024 LQ 1068,59 1068,59"
"Pago título: 2400003406 989 - A P LOSA & CIA LTDA 30/09/2024 LQ 878,3 878,3"
"Pago título: 2400003646 241 - RIO CONSTRUTORA E AGR 30/09/2024 LQ 725,82 725,82"
"Pago título: 2400003647 241 - RIO CONSTRUTORA E AGR 31/10/2024 LQ 725,83 725,83"
"Pago título: 2400003648 241 - RIO CONSTRUTORA E AGR 29/11/2024 LQ 725,83 725,83"
"Pago título: 2400003649 241 - RIO CONSTRUTORA E AGR 19/12/2024 LQ 725,83 725,83"
"Pago título: 2400003938 5082 - ELLOS EMPREENDIMENTO 30/09/2024 LQ 592,85 592,85"
"Pago título: 2400003946 85 - ASSOCIACAO PROPRIETARI 30/09/2024 LQ 591,94 591,94"
"Pago título: 2400003986 5802 - AGUAS DO BARREIRO RI 30/09/2024 LQ 585,54 585,54"
"Pago título: 2400004302 3053 - JR GOMES IMOBILIARIA 30/09/2024 LQ 475,74 475,74"
"Pago título: 2400004962 7873 - SAINT-GOBAIN DO BRAS 30/09/2024 LQ 325,93 325,93"
"Pago título: 2400005362 5290 - ASSOC DE PROPR E MOR 30/09/2024 LQ 256,18 256,18"
"Pago título: 2400005526 1478 - ARGIPAR ARGILA PARTE 30/09/2024 LQ 230,56 230,56"
"Pago título: 2400005690 2418 - EMPRESA BRASILEIRA D 30/09/2024 LQ 216,77 216,77"
"Pago título: 2400005691 2418 - EMPRESA BRASILEIRA D 31/10/2024 LQ 216,78 216,78"
"Pago título: 2400005692 2418 - EMPRESA BRASILEIRA D 29/11/2024 LQ 216,78 216,78"
"Pago título: 2400005693 2418 - EMPRESA BRASILEIRA D 19/12/2024 LQ 216,78 216,78"
"ERRO! Operação desconhecida: 2400002102 966 - SERVICO DE AGUA E ESG 08/10/2024 VC 30761,7 0"
