"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457743009202421819.ret"
""
"Cadastrado título novo: 9000008246 5565 - WHITE MARTINS GASES 31/10/2024 RG 590,29 0"
"Cadastrado título novo: 9000008247 3701 - ASSOCIACAO DE SOCIOS 31/10/2024 RG 2274,67 0"
"Pago título: 2400000008 214 - NOURYON PULP AND PERF 30/09/2024 LQ 10993,6 10993,6"
"Pago título: 2400000010 22 - HONDA AUTOMOVEIS DO BR 30/09/2024 LQ 9806,67 9806,67"
"Pago título: 2400000011 2457 - HYUNDAI MOTOR BRASIL 30/09/2024 LQ 9160,79 9160,79"
"Pago título: 2400000012 916 - UNIVERSIDADE ESTADUAL 30/09/2024 LQ 8767,5 8767,5"
"Pago título: 2400000016 956 - CERAMICA VILLAGRES LT 04/10/2024 LQ 7231,32 7231,32"
"Pago título: 2400000019 862 - THE LYCRA COMPANY IND 30/09/2024 LQ 6614,31 6614,31"
"Pago título: 2400000024 2902 - ARCOR DO BRASIL LTDA 30/09/2024 LQ 5393,46 5393,46"
"Pago título: 2400000029 7869 - VIP IND. E COM. DE C 30/09/2024 LQ 4510,68 4510,68"
"Pago título: 2400000032 2330 - PQ SILICAS BRAZIL LT 30/09/2024 LQ 4222,46 4222,46"
"Pago título: 2400000033 1680 - CONDOMINIO CIVIL DO 30/09/2024 LQ 4201,53 4201,53"
"Pago título: 2400000035 2989 - JSP BRASIL INDUSTRIA 30/09/2024 LQ 4070,34 4070,34"
"Pago título: 2400000038 389 - STOLLER DO BRASIL LTD 30/09/2024 LQ 3705,95 3705,95"
"Pago título: 2400000040 827 - UNIVERSIDADE ESTADUAL 30/09/2024 LQ 3415,11 3415,11"
"Pago título: 2400000043 3610 - FENIX FABRIL INDUSTR 30/09/2024 LQ 3273,63 3273,63"
"Pago título: 2400000045 2573 - CONGREGACAO DE SANTA 30/09/2024 LQ 3129,19 3129,19"
"Pago título: 2400000049 7849 - EXTRAMIX - CONCRETO 30/09/2024 LQ 2947,75 2947,75"
"Pago título: 2400000051 2900 - HERO BRASIL S/A 30/09/2024 LQ 2903,19 2903,19"
"Pago título: 2400000052 1013 - MEXICHEM BRASIL INDU 30/09/2024 LQ 2831,96 2831,96"
"Pago título: 2400000053 830 - UNIVERSIDADE ESTADUAL 30/09/2024 LQ 2801,02 2801,02"
"Pago título: 2400000056 5215 - COMPANHIA AGRICOLA S 30/09/2024 LQ 2554,68 2554,68"
"Pago título: 2400000058 1713 - JACOBS DOUWE EGBERTS 30/09/2024 LQ 2473,91 2473,91"
"Pago título: 2400000067 151 - MOMENTIVE PERFORMANCE 30/09/2024 LQ 2205,57 2205,57"
"Pago título: 2400000070 2845 - SIND DO EMPREGADOS E 30/09/2024 LQ 2112,31 2112,31"
"Pago título: 2400000071 89 - IMERYS FUSED MINERALS 30/09/2024 LQ 2083,35 2083,35"
"Pago título: 2400000072 3872 - ADATA INTEGRATION BR 30/09/2024 LQ 1946,01 1946,01"
"Pago título: 2400000073 1969 - COLORMINAS COLORIFIC 30/09/2024 LQ 1930,62 1930,62"
"Pago título: 2400000077 1926 - YADOYA INDUSTRIA E C 30/09/2024 LQ 1868,21 1868,21"
"Pago título: 2400000078 194 - CRUZEIRO DO SUL INDUS 30/09/2024 LQ 1838,16 1838,16"
"Pago título: 2400000082 2675 - CORR PLASTIK LTDA 30/09/2024 LQ 1749,28 1749,28"
"Pago título: 2400000087 2171 - LEONARDI CONSTRUCAO 30/09/2024 LQ 1610,21 1610,21"
"Pago título: 2400000088 1981 - BOSAL DO BRASIL LTDA 30/09/2024 LQ 1600,98 1600,98"
"Pago título: 2400000089 1406 - COMUNIDADE RELIGIOSA 30/09/2024 LQ 1596,75 1596,75"
"Pago título: 2400000090 6889 - EXTRAMIX CONCRETO LT 30/09/2024 LQ 1580,94 1580,94"
"Pago título: 2400000093 1562 - RODOPOSTO TURMALINA 30/09/2024 LQ 1563,03 1563,03"
"Pago título: 2400000096 4764 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 1463,83 1463,83"
"Pago título: 2400000097 7130 - MADERO INDUSTRIA E C 30/09/2024 LQ 1463,83 1463,83"
"Pago título: 2400000098 3381 - SUBCOND. SHOPPING CE 30/09/2024 LQ 1448,94 1448,94"
"Pago título: 2400000101 5652 - CONDOMINIO D. PEDRO 30/09/2024 LQ 1445,17 1445,17"
"Pago título: 2400000104 3302 - PANIFICADORA E DISTR 30/09/2024 LQ 1419,92 1419,92"
"Pago título: 2400000106 470 - CBC INDUSTRIAS PESADA 30/09/2024 LQ 1377,98 1377,98"
"Pago título: 2400000107 1633 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 1376,01 1376,01"
"Pago título: 2400000108 1464 - REIPEL - RECICLAGEM 30/09/2024 LQ 1367,14 1367,14"
"Pago título: 2400000109 465 - MAHLE METAL LEVE S/A 30/09/2024 LQ 1324,49 1324,49"
"Pago título: 2400000114 542 - GLASSEC VIDROS DE SEG 30/09/2024 LQ 1229,62 1229,62"
"Pago título: 2400000115 1833 - AGRANA FRUIT BRASIL 30/09/2024 LQ 1212,64 1212,64"
"Pago título: 2400000118 2118 - LOG PARK ARMAZENS GE 30/09/2024 LQ 1182,63 1182,63"
"Pago título: 2400000120 2561 - SNELLOG ARMAZENS GER 30/09/2024 LQ 1171,07 1171,07"
"Pago título: 2400000121 7716 - EXTRAMIX CONCRETO LT 30/09/2024 LQ 1155,51 1155,51"
"Pago título: 2400000123 2267 - KSB BOMBAS HIDRAULIC 30/09/2024 LQ 1142,52 1142,52"
"Pago título: 2400000126 1383 - MAQUINAS FURLAN LTDA 30/09/2024 LQ 1118,59 1118,59"
"Pago título: 2400000128 3769 - CONDOMINIO RESIDENCI 30/09/2024 LQ 1094,15 1094,15"
