"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457921110202420838.ret"
""
"Cadastrado título novo: 9000008279 1266 - ASSOCIACAO COMUNITAR 31/10/2024 RG 1978,63 0"
"Cadastrado título novo: 9000008280 3318 - CONCESSIONARIA  DO S 31/10/2024 RG 282,01 0"
"Pago título: 2400000232 4050 - JAGUAR INDUSTRIA E C 11/10/2024 LQ 518,18 518,18"
"Pago título: 2400000275 5527 - RENOVIAS CONCESSIONA 11/10/2024 LQ 398,16 398,16"
"Pago título: 2400000293 1133 - AIR LIQUIDE BRASIL L 11/10/2024 LQ 385,61 385,61"
"Pago título: 2400000333 3054 - RENOVIAS CONCESSIONA 11/10/2024 LQ 365,96 365,96"
"Pago título: 2400000598 3721 - ASSOCIACAO DE PROPRI 11/10/2024 LQ 263,49 263,49"
"Pago título: 2400002594 7821 - CLUBE PRAIA DA GRAMA 11/10/2024 LQ 2342,13 2342,13"
"Pago título: 2400002795 1815 - TRIAGUA TRANSPORTE E 31/10/2024 LQ 1689,22 1689,22"
"Pago título: 2400003402 297 - CERAMICA CRISTOFOLETT 11/10/2024 LQ 878,3 878,3"
"Pago título: 2400003458 844 - COIM BRASIL LTDA 11/10/2024 LQ 835,68 835,68"
"Pago título: 2400004638 7879 - TECTEXTIL EMBALAGENS 11/10/2024 LQ 372,11 372,11"
"Pago título: 9000008258 4889 - UTGR AMERICANA AMBIE 31/10/2024 LQ 741,29 741,29"
"Pago título: 9000008260 7886 - UTGR AMERICANA AMBIE 11/10/2024 LQ 292,77 292,77"
