"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458001710202420824.ret"
""
"Cadastrado título novo: 9000008309 5150 - RAIZEN ENERGIA S/A 31/10/2024 RG 1706,62 0"
"Cadastrado título novo: 9000008310 2173 - CTC CENTRO DE TECNOL 25/10/2024 RG 4982,77 0"
"Pago título: 2400000022 874 - ZF AUTOMOTIVE BRASIL 30/09/2024 LQ 5764,93 5912,88"
"Pago título: 2400000030 2502 - INDUSTRIAS REUNIDAS 30/09/2024 LQ 4393,52 4506,26"
"Pago título: 2400000706 7762 - OLIVEPART PARTICIPAC 30/09/2024 LQ 232,39 238,34"
"Pago título: 2400002282 857 - CPIC BRASIL FIBRAS DE 30/09/2024 LQ 5283,65 5419,25"
"Pago título: 2400004083 3704 - I.S. COMERCIO DE AGU 31/10/2024 LQ 559,92 559,92"
"Pago título: 2400004678 3170 - MAURICIO ROBERTO FOR 18/10/2024 LQ 365,95 365,95"
"Pago título: 2400004679 3170 - MAURICIO ROBERTO FOR 31/10/2024 LQ 365,96 365,96"
"Pago título: 2400004767 3474 - ASSOCIACAO FILOSOFIC 31/10/2024 LQ 355,71 355,71"
"Pago título: 2400004975 7767 - CONDOMINIO PANORAMA 31/10/2024 LQ 323,51 323,51"
"Pago título: 2400005235 2545 - ASSOCIACAO DOS PROP 31/10/2024 LQ 278,13 278,13"
