"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458021810202420830.ret"
""
"Cadastrado título novo: 9000008311 3058 - CORPAK INDUSTRIA E C 31/10/2024 RG 540,54 0"
"Cadastrado título novo: 9000008312 7889 - CORPAK INDUSTRIA E C 25/10/2024 RG 325,56 0"
"Cadastrado título novo: 9000008313 7889 - CORPAK INDUSTRIA E C 29/11/2024 RG 325,56 0"
"Cadastrado título novo: 9000008314 3336 - CONDOMINIO RESIDENCI 31/10/2024 RG 594,62 0"
"Pago título: 2400000023 915 - COBRASCAL INDUSTRIA D 30/09/2024 LQ 5630,77 5777,13"
"Pago título: 2400000364 249 - CLUBE CAMPINEIRO DE R 18/10/2024 LQ 351,32 351,32"
"Pago título: 2400000492 4718 - LOURENTINO RODRIGUES 30/09/2024 LQ 292,77 300,37"
"Pago título: 2400001065 3123 - FRANCISCO ISSAO SAIT 04/10/2024 LQ 292,76 299,97"
"Pago título: 2400001098 3511 - CONDOMINIO RESIDENCI 31/10/2024 LQ 284,8 284,8"
"Pago título: 2400001243 2842 - CONDOMINIO RESIDENCI 18/10/2024 LQ 246,37 246,37"
"Pago título: 2400002926 400 - FRICOCK FRIGORIFICACA 16/10/2024 LQ 1444,01 1473,85"
"Pago título: 2400003211 7768 - ASSOC DOS PROPRIETAR 31/10/2024 LQ 1097,88 1097,88"
"Pago título: 2400003835 7871 - ASS PROP LOT CONDOMI 31/10/2024 LQ 639,18 639,18"
"Pago título: 2400004399 5079 - CONDOMINIO EDIFICIO 31/10/2024 LQ 439,15 439,15"
"Pago título: 2400005463 4409 - RODOPOSTO BANDEIRANT 31/10/2024 LQ 238,63 238,63"
"Pago título: 9000008279 1266 - ASSOCIACAO COMUNITAR 31/10/2024 LQ 1978,63 1978,63"
