"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458042110202421712.ret"
""
"Cadastrado título novo: 9000008315 914 - IC TRANSPORTES LTDA 31/10/2024 RG 217,03 0"
"Cadastrado título novo: 9000008316 564 - LOGISPOT ARMAZENS GER 31/10/2024 RG 3317,68 0"
"Pago título: 2400001020 2340 - ASSOC DOS PROPRIETAR 31/10/2024 LQ 296,43 296,43"
"Pago título: 2400001024 7724 - CONDOMINIO RESIDENCI 31/10/2024 LQ 294,33 294,33"
"Pago título: 2400001112 5304 - EDIFICIO NOVAMERICA 31/10/2024 LQ 276,19 276,19"
"Pago título: 2400001172 394 - CONDOMINIO EDIFICIO M 31/10/2024 LQ 261,25 261,25"
"Pago título: 2400001358 7713 - NATURA COSMETICOS S/ 31/10/2024 LQ 219,57 219,57"
"Pago título: 2400001408 7290 - CONDOMINIO AMBAR 31/10/2024 LQ 219,09 219,09"
"Pago título: 2400001603 3765 - CONDOMINIO RESIDENCI 31/10/2024 LQ 245,92 245,92"
"Pago título: 2400001654 524 - CONDOMINIO EDIFICIO C 31/10/2024 LQ 243,97 243,97"
"Pago título: 2400001662 5439 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 243,97 250,54"
"Pago título: 2400002127 999 - BRK AMBIENTAL - SANTA 31/10/2024 LQ 18609,8 18609,8"
"Pago título: 2400003043 111 - ASSOCIACAO MORADORES 31/10/2024 LQ 1280,15 1280,15"
"Pago título: 2400003947 85 - ASSOCIACAO PROPRIETARI 31/10/2024 LQ 591,93 591,93"
"Pago título: 2400004303 3053 - JR GOMES IMOBILIARIA 31/10/2024 LQ 475,75 475,75"
"Pago título: 2400004535 3484 - CLUBE RECREATIVO SAO 31/10/2024 LQ 402,55 402,55"
"Pago título: 2400004747 7850 - CONDOMINIO RESIDENCI 31/10/2024 LQ 359,62 359,62"
"Pago título: 2400004827 5870 - VILA HIPICA EMPREEND 31/10/2024 LQ 342,54 342,54"
"Pago título: 2400004963 7873 - SAINT-GOBAIN DO BRAS 31/10/2024 LQ 325,94 325,94"
"Pago título: 2400005271 4579 - ASSOCIACAO DE MORADO 31/10/2024 LQ 273,54 273,54"
"Pago título: 2400005357 617 - JOAO BOZZA JUNIOR 19/12/2024 LQ 256,17 256,17"
"Pago título: 2400005735 2109 - CONDOMINIO RESIDENCI 31/10/2024 LQ 213,99 213,99"
