"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458082310202421048.ret"
""
"Cadastrado título novo: 9000008321 3961 - INSTITUTO EDUCACIONA 31/10/2024 RG 7028,45 0"
"Cadastrado título novo: 9000008322 1003 - ANTIBIOTICOS DO BRAS 31/10/2024 RG 2390,31 0"
"Pago título: 2400000840 2015 - LINBRAS LINHAS BRASI 30/09/2024 LQ 179,02 183,97"
"Pago título: 2400000895 2682 - CONDOMINIO RESIDENCI 30/09/2024 LQ 154,6 158,87"
"Pago título: 2400001068 5435 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001507 3642 - CONDOMINIO RESIDENCI 31/10/2024 LQ 265,01 265,01"
"Pago título: 2400001672 5528 - TERLOC - TERMINAL LO 31/10/2024 LQ 243,14 243,14"
"Pago título: 2400002019 940 - SERVICO AUTONOMO DE A 31/10/2024 LQ 99452,07 99452,07"
"Pago título: 2400003051 392 - CONDOMINIO SHOPPING C 31/10/2024 LQ 1265,52 1265,52"
"Pago título: 2400004431 7829 - ACNL LOTEADORA E PAR 31/10/2024 LQ 435,16 435,16"
"Pago título: 2400004743 6768 - CONDOMINIO RESIDENCI 31/10/2024 LQ 359,62 359,62"
"Pago título: 2400004927 3124 - BARREIRENSE PRODUTOS 31/10/2024 LQ 329,36 329,36"
"Pago título: 2400005227 5352 - CONDOMINIO RESIDENCI 31/10/2024 LQ 281,79 281,79"
"Pago título: 2400005242 5939 - CRYOVAC BRASIL LTDA 04/10/2024 LQ 277,97 285,28"
"Pago título: 2400005243 5939 - CRYOVAC BRASIL LTDA 31/10/2024 LQ 277,96 277,96"
"Pago título: 2400005244 5939 - CRYOVAC BRASIL LTDA 29/11/2024 LQ 277,96 277,96"
"Pago título: 2400005245 5939 - CRYOVAC BRASIL LTDA 19/12/2024 LQ 277,96 277,96"
"Pago título: 2400005623 1375 - IGREJA DO EVANGELHO 31/10/2024 LQ 219,58 219,58"
"Pago título: 9000008308 5646 - MRV ENGENHARIA E PAR 31/10/2024 LQ 810,98 810,98"
"ERRO! Operação desconhecida: 2400002434 3673 - PLATLOG IMPORTACAO, 25/10/2024 VC 3382,11 0"
