"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458122510202421102.ret"
""
"Cadastrado título novo: 9000008323 3058 - CORPAK INDUSTRIA E C 31/10/2024 RG 540,54 0"
"Cadastrado título novo: 9000008324 4330 - CPD LOCADORA DE VEIC 31/10/2024 RG 2262,06 0"
"Cadastrado título novo: 9000008325 305 - CHR HANSEN INDUSTRIA 29/11/2024 RG 1237,78 0"
"Cadastrado título novo: 9000008326 926 - FERTILIZANTES HERINGE 29/11/2024 RG 425,74 0"
"Cadastrado título novo: 9000008327 2780 - FERTILIZANTES HERING 29/11/2024 RG 648,25 0"
"Pago título: 2400001072 525 - ASSOCIACAO PROPR DA G 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001142 5947 - SERVICO SOCIAL DO CO 31/10/2024 LQ 264,24 264,24"
"Pago título: 2400001188 2438 - ASSOCIACAO SAO MIGUE 31/10/2024 LQ 257,34 257,34"
"Pago título: 2400001212 889 - INSTITUTO SALESIANO D 31/10/2024 LQ 252,27 252,27"
"Pago título: 2400001272 5434 - APARECIDA FLORENCIO 31/10/2024 LQ 238,24 238,24"
"Pago título: 2400001281 1165 - ASSOCIACAO EDUCADORA 30/09/2024 LQ 236,36 243,04"
"Pago título: 2400001440 1008 - CONDOMINIO RESIDENCI 31/10/2024 LQ 212,41 212,41"
"Pago título: 2400001723 7776 - HEDGE LOGISTICA FUND 31/10/2024 LQ 234,91 234,91"
"Pago título: 2400001735 2974 - ASSOCIACAO DE MORADO 31/10/2024 LQ 234,21 234,21"
"Pago título: 2400002434 3673 - PLATLOG IMPORTACAO, 25/10/2024 LQ 3382,11 3382,11"
"Pago título: 2400002731 383 - EATON LTDA 31/10/2024 LQ 1895,21 1895,21"
"Pago título: 2400002975 254 - SOCIEDADE HIPICA DE C 31/10/2024 LQ 1323,98 1323,98"
"Pago título: 2400002979 3629 - ASSOCIACAO DOS MORAD 31/10/2024 LQ 1319,13 1319,13"
"Pago título: 2400003095 59 - FUND CPQD - CENTRO PES 31/10/2024 LQ 1204,05 1204,05"
"Pago título: 2400003531 1148 - ARCELOR MITTAL GONVA 31/10/2024 LQ 788,3 788,3"
"Pago título: 2400003555 7764 - ASSOCIACAO BUSINESS 31/10/2024 LQ 755,64 755,64"
"Pago título: 2400003575 4556 - ASSOCIACAO DE MELHOR 31/10/2024 LQ 744,01 744,01"
"Pago título: 2400003935 262 - INDUSTRIA CAMPINEIRA 31/10/2024 LQ 592,85 592,85"
"Pago título: 2400003943 1158 - SI GROUP RESINAS S.A 31/10/2024 LQ 592,3 592,3"
"Pago título: 2400004175 3779 - SOCIEDADE JARDIM VIL 31/10/2024 LQ 528,44 528,44"
"Pago título: 2400004423 5354 - CONDOMINIO RESIDENCI 31/10/2024 LQ 438,5 438,5"
"Pago título: 2400004463 1266 - ASSOCIACAO COMUNITAR 31/10/2024 LQ 428,17 428,17"
"Pago título: 2400004703 3592 - CONDOMINIO LAGOS SHA 31/10/2024 LQ 365,6 365,6"
"Pago título: 2400004751 5861 - ASSOCIACAO DESPORTIV 31/10/2024 LQ 358,21 358,21"
"Pago título: 2400004903 2304 - LAZARO MELLO BRANDAO 31/10/2024 LQ 329,73 329,73"
"Pago título: 2400005495 2657 - INDUSTRIAS NARDINI S 31/10/2024 LQ 234,07 234,07"
"Pago título: 2400005600 5433 - ANTONIO PEDRO CREMON 29/11/2024 LQ 219,58 219,58"
"Pago título: 2400005601 5433 - ANTONIO PEDRO CREMON 19/12/2024 LQ 219,58 219,58"
"Pago título: 2400005722 7775 - SYMRISE AROMAS E FRA 25/10/2024 LQ 214,77 214,77"
"Pago título: 2400005835 5754 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 204,94 204,94"
"Pago título: 9000008312 7889 - CORPAK INDUSTRIA E C 25/10/2024 LQ 325,56 325,56"
"Cancelado título: 2400000042 2810 - AVON COSMETICOS LTDA 30/09/2024 BX 3339,46 0"
