"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458162910202421006.ret"
""
"Cadastrado título novo: 9000008331 7759 - THIAGO RODRIGO ROCHI 31/10/2024 RG 1283,87 0"
"Cadastrado título novo: 9000008332 7759 - THIAGO RODRIGO ROCHI 29/11/2024 RG 1283,86 0"
"Cadastrado título novo: 9000008333 7759 - THIAGO RODRIGO ROCHI 19/12/2024 RG 1283,86 0"
"Cadastrado título novo: 9000008334 4972 - ADAUTO CONSERVANI 31/10/2024 RG 3229,17 0"
"Cadastrado título novo: 9000008335 5295 - CUSCOVILLE EMPREENDI 31/10/2024 RG 1411,53 0"
"Cadastrado título novo: 9000008336 5295 - CUSCOVILLE EMPREENDI 29/11/2024 RG 1411,53 0"
"Cadastrado título novo: 9000008337 5295 - CUSCOVILLE EMPREENDI 31/12/2024 RG 1411,53 0"
"Cadastrado título novo: 9000008338 5295 - CUSCOVILLE EMPREENDI 31/01/2025 RG 1411,53 0"
"Cadastrado título novo: 9000008339 5295 - CUSCOVILLE EMPREENDI 28/02/2025 RG 1411,53 0"
"Cadastrado título novo: 9000008340 5295 - CUSCOVILLE EMPREENDI 31/03/2025 RG 1411,53 0"
"Cadastrado título novo: 9000008341 5295 - CUSCOVILLE EMPREENDI 30/04/2025 RG 1411,53 0"
"Cadastrado título novo: 9000008342 5295 - CUSCOVILLE EMPREENDI 30/05/2025 RG 1411,53 0"
"Cadastrado título novo: 9000008343 5295 - CUSCOVILLE EMPREENDI 30/06/2025 RG 1411,53 0"
"Cadastrado título novo: 9000008344 5295 - CUSCOVILLE EMPREENDI 31/07/2025 RG 1411,53 0"
"Cadastrado título novo: 9000008345 5295 - CUSCOVILLE EMPREENDI 29/08/2025 RG 1411,53 0"
"Cadastrado título novo: 9000008346 5295 - CUSCOVILLE EMPREENDI 30/09/2025 RG 1411,53 0"
"Cadastrado título novo: 9000008347 7892 - ASSOCIACAO AMIGOS DO 31/10/2024 RG 379,79 0"
"Pago título: 2400001238 2579 - CLUBE DE REGATAS BAN 31/10/2024 LQ 247,25 247,25"
"Pago título: 2400001422 1486 - CONDOMINIO LOG INN J 31/10/2024 LQ 215,16 215,16"
"Pago título: 2400001472 141 - PARQUE ECOLOGICO EDUC 31/10/2024 LQ 205,68 205,68"
"Pago título: 2400001486 5490 - CARMONA CERVEJARIA A 31/10/2024 LQ 203,88 203,88"
"Pago título: 2400001522 2376 - MARILIA FERNANDES DE 31/10/2024 LQ 263,49 263,49"
"Pago título: 2400001747 444 - VIRONDA CONFECCOES LT 31/10/2024 LQ 233,68 233,68"
"Pago título: 2400001786 3734 - ASSOCIACAO DE PROP C 31/10/2024 LQ 230,31 230,31"
"Pago título: 2400001837 1838 - MARGARETH CASTILHO D 31/10/2024 LQ 219,8 219,8"
"Pago título: 2400001867 2041 - COSMOPOLITANO FUTEBO 31/10/2024 LQ 219,32 219,32"
"Pago título: 2400001879 6886 - CONDOMINIO RESIDENCI 31/10/2024 LQ 217,51 217,51"
"Pago título: 2400001912 3569 - CONDOMINIO RESIDENCI 31/10/2024 LQ 212,26 212,26"
"Pago título: 2400001915 2495 - HOTEL NACIONAL INN L 31/10/2024 LQ 211,96 211,96"
"Pago título: 2400001963 3448 - CONDOMINIO CENTER LO 31/10/2024 LQ 202,43 202,43"
"Pago título: 2400002199 856 - PREFEITURA MUNICIPAL 31/10/2024 LQ 9192,86 9192,86"
"Pago título: 2400002251 417 - EMBRAMACO EMPRESA BRA 31/10/2024 LQ 6067,19 6067,19"
"Pago título: 2400002455 5076 - CLUBE DE CAMPO FAZEN 31/10/2024 LQ 3235,07 3235,07"
"Pago título: 2400002675 2019 - BAERLOCHER DO BRASIL 31/10/2024 LQ 2058,48 2058,48"
"Pago título: 2400002755 157 - CONDOMINIO TECH TOWN 31/10/2024 LQ 1812,23 1812,23"
"Pago título: 2400002991 7308 - MARIA CRISTINA RODRI 31/10/2024 LQ 1317,44 1317,44"
"Pago título: 2400003099 1789 - CENTRAIS DE ABASTECI 31/10/2024 LQ 1194,72 1194,72"
"Pago título: 2400003151 52 - ASSOCIACAO DOS PROPRIE 31/10/2024 LQ 1125,34 1125,34"
"Pago título: 2400003195 1495 - STORAGE ADMINISTRACA 31/10/2024 LQ 1106,29 1106,29"
"Pago título: 2400003243 2088 - ASSOCIACAO DE PROPRI 31/10/2024 LQ 1068,6 1068,6"
"Pago título: 2400003498 7816 - PRACAS DO HARAS 1 EM 30/09/2024 LQ 802,39 826,18"
"Pago título: 2400003519 2478 - ASSOC DOS PROPRIETAR 31/10/2024 LQ 792,94 792,94"
"Pago título: 2400003615 7733 - ASSOC PROP LOT FECH 31/10/2024 LQ 731,92 731,92"
"Pago título: 2400003847 1420 - MIRVI BRASIL LTDA 31/10/2024 LQ 638,79 638,79"
"Pago título: 2400003875 342 - IPE AGRO AVICOLA LTDA 31/10/2024 LQ 625,67 625,67"
"Pago título: 2400003927 4129 - TERRAPLANAGEM PARAIZ 31/10/2024 LQ 596,15 596,15"
"Pago título: 2400004007 3366 - TECHIMPORT TECNOLOGI 31/10/2024 LQ 579,89 579,89"
