"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458183010202421236.ret"
""
"Cadastrado título novo: 9000008348 5643 - MARCELO ALVES PEREIR 31/10/2024 RG 441,11 0"
"Cadastrado título novo: 9000008349 5537 - SILAS J. TRINDADE  - 29/11/2024 RG 253,85 0"
"Cadastrado título novo: 9000008350 7324 - THEIA EMPREENDIMENTO 31/10/2024 RG 228,65 0"
"Cadastrado título novo: 9000008351 2156 - HENKEL LTDA 29/11/2024 RG 1884,54 0"
"Pago título: 2400000048 1408 - ARCOR DO BRASIL LTDA 31/10/2024 LQ 2963,18 2963,18"
"Pago título: 2400001018 1856 - FERNANDO NAJI NAHAS 31/10/2024 LQ 296,5 296,5"
"Pago título: 2400001056 2349 - ASSOCIACAO AMIGOS DO 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001078 1051 - ITABRAS MINERACAO  L 31/10/2024 LQ 292,75 292,75"
"Pago título: 2400001184 1187 - FLORIDIANA TENIS CLU 31/10/2024 LQ 257,51 257,51"
"Pago título: 2400001210 3320 - SAVEGNAGO SUPERMERCA 31/10/2024 LQ 252,76 252,76"
"Pago título: 2400001230 3270 - ASSOCIACAO DOS MORAD 31/10/2024 LQ 248,86 248,86"
"Pago título: 2400001244 2842 - CONDOMINIO RESIDENCI 31/10/2024 LQ 246,37 246,37"
"Pago título: 2400001248 834 - BURIGOTTO S/A INDUSTR 31/10/2024 LQ 244,66 244,66"
"Pago título: 2400001250 3850 - PORTO DE AREIA RIO B 31/10/2024 LQ 243,96 243,96"
"Pago título: 2400001254 3802 - TRANSPORTADORA DE AG 31/10/2024 LQ 241,54 241,54"
"Pago título: 2400001310 3242 - SAVEGNAGO SUPERMERCA 31/10/2024 LQ 229,53 229,53"
"Pago título: 2400001314 3632 - PEIXADA DO LAGO LTDA 31/10/2024 LQ 229,08 229,08"
"Pago título: 2400001332 2119 - EDIFICIO CRUZEIRO DO 31/10/2024 LQ 222,8 222,8"
"Pago título: 2400001352 340 - SIND TRAB IND DE VIDR 31/10/2024 LQ 219,57 219,57"
"Pago título: 2400001356 4279 - BOREALIS BRASIL S.A. 31/10/2024 LQ 219,57 219,57"
"Pago título: 2400001424 7856 - CERVEJARIA BERGGREN 31/10/2024 LQ 214,91 214,91"
"Pago título: 2400001597 2963 - FIBRILA TEXTILE LTDA 31/10/2024 LQ 246,79 246,79"
"Pago título: 2400001612 613 - PAULO AGNELO MALZONI 31/10/2024 LQ 243,97 243,97"
"Pago título: 2400001702 176 - SERVICO SOCIAL DO COM 31/10/2024 LQ 238,79 238,79"
"Pago título: 2400001711 4419 - MIDAS INCORPORADORA 31/10/2024 LQ 237,77 237,77"
"Pago título: 2400001765 3815 - CONDOMINIO AMABILIS 31/10/2024 LQ 231,57 231,57"
"Pago título: 2400001783 115 - MARELLI SISTEMAS AUTO 31/10/2024 LQ 230,37 230,37"
"Pago título: 2400001807 2439 - GRAMADO MALL 31/10/2024 LQ 226,41 226,41"
"Pago título: 2400001846 2875 - ASSOCIACAO DE MORADO 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400001855 4872 - CONDOMINIO CAMPINAS 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400001861 2696 - ASSOCIACAO BOTHANICA 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400001873 3244 - PLANMAR INDUSTRIA E 31/10/2024 LQ 218,95 218,95"
"Pago título: 2400001948 4056 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 204,93 204,93"
"Pago título: 2400002031 1035 - RAIZEN ENERGIA S/A 31/10/2024 LQ 86017,94 86017,94"
"Pago título: 2400002067 930 - SERVICO AUTONOMO DE A 31/10/2024 LQ 42586,95 42586,95"
"Pago título: 2400002095 1024 - RAIZEN ENERGIA S/A 31/10/2024 LQ 31858,71 31858,71"
"Pago título: 2400002111 1695 - GOODYEAR DO BRASIL P 31/10/2024 LQ 27113,65 27113,65"
"Pago título: 2400002131 943 - RAIZEN ENERGIA S/A 31/10/2024 LQ 18517,47 18517,47"
"Pago título: 2400002247 1405 - ASSOCIACAO LOTEAMENT 31/10/2024 LQ 6409,87 6409,87"
"Pago título: 2400002279 1048 - AHLSTROM LOUVEIRA LT 31/10/2024 LQ 5416,88 5416,88"
"Pago título: 2400002283 857 - CPIC BRASIL FIBRAS DE 31/10/2024 LQ 5283,65 5283,65"
"Pago título: 2400002335 98 - SOCIEDADE RESIDENCIAL 31/10/2024 LQ 4388,57 4388,57"
"Pago título: 2400002351 1848 - PREFEITURA MUNICIPAL 31/10/2024 LQ 4223,16 4223,16"
"Pago título: 2400002619 559 - BENEFICIADORA DE TECI 31/10/2024 LQ 2226,36 2226,36"
