"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458203110202421250.ret"
""
"Cadastrado título novo: 9000008352 4280 - YARA BRASIL FERTILIZ 29/11/2024 RG 685,39 0"
"Cadastrado título novo: 9000008353 497 - ALCOOL FERREIRA S/A 29/11/2024 RG 1090,17 0"
"Cadastrado título novo: 9000008354 3857 - CRS MINERACAO INDUST 29/11/2024 RG 2074,99 0"
"Pago título: 2400000133 3324 - NIDEC MOBILIDADE BRA 31/10/2024 LQ 1053,96 1053,96"
"Pago título: 2400001012 5263 - ANHANGUERA EDUCACION 31/10/2024 LQ 299,07 299,07"
"Pago título: 2400001016 1476 - INNARA INDUSTRIA NAC 31/10/2024 LQ 297,83 297,83"
"Pago título: 2400001022 569 - ALCAR ABRASIVOS LTDA 31/10/2024 LQ 295,57 295,57"
"Pago título: 2400001026 2307 - AGROLINK IMPORTACAO 31/10/2024 LQ 293,35 293,35"
"Pago título: 2400001038 4696 - NEWSUL S/A EMBALAGEN 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001040 2089 - POSTO TROPICOS LTDA 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001042 5665 - ASSOCIACAO DEMOCRATI 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001044 5019 - ASSOC DOS PROPRIETAR 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001046 4690 - RODONAVES TRANSPORTE 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001048 7858 - GNR PARK EMPREENDIME 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001052 2948 - ASSOCIACAO RESIDENCI 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001058 5648 - MAX GEAR INDUSTRIA E 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001060 3830 - CONDOMINIO RESIDENCI 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001064 2026 - SERRA DO SOL EMPREEN 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001066 3123 - FRANCISCO ISSAO SAIT 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001070 4846 - CONDOMINIO RESIDENCI 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400001080 2257 - BALLAGRO AGRO TECNOL 31/10/2024 LQ 292,45 292,45"
"Pago título: 2400001084 285 - CAPIVARI CLUBE 31/10/2024 LQ 291,87 291,87"
"Pago título: 2400001086 4563 - RESIDENCIAL AUREA 31/10/2024 LQ 291,78 291,78"
"Pago título: 2400001088 3301 - COMERCIAL ANDRETA DE 31/10/2024 LQ 289,98 289,98"
"Pago título: 2400001094 1863 - TEXTIL ELIANA LTDA 31/10/2024 LQ 285,95 285,95"
"Pago título: 2400001096 1699 - JRPH RESORT HOTEL PR 31/10/2024 LQ 285,45 285,45"
"Pago título: 2400001104 3776 - INDUSTRIA TEXTIL NOS 31/10/2024 LQ 278,75 278,75"
"Pago título: 2400001108 5605 - ASSOCIACAO MORADORES 31/10/2024 LQ 278,13 278,13"
"Pago título: 2400001110 5636 - QUIBRITA MINERADORA 31/10/2024 LQ 276,98 276,98"
"Pago título: 2400001114 574 - SINTER FUTURA LTDA 31/10/2024 LQ 275,84 275,84"
