"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458482211202420906.ret"
""
"Cadastrado título novo: 9000008406 7791 - CTVI - CENTRO DE TES 29/11/2024 RG 9093,49 0"
"Cadastrado título novo: 9000008407 451 - VOLKSWAGEN DO BRASIL 29/11/2024 RG 468,55 0"
"Pago título: 2400001604 3765 - CONDOMINIO RESIDENCI 29/11/2024 LQ 245,92 245,92"
"Pago título: 2400002720 7373 - LEVISSIMA DISTRIBUIC 29/11/2024 LQ 1932,26 1932,26"
"Pago título: 2400003004 1829 - NHEEL QUIMICA LTDA 29/11/2024 LQ 1309,66 1309,66"
"Pago título: 2400003408 989 - A P LOSA & CIA LTDA 29/11/2024 LQ 878,3 878,3"
"Pago título: 2400003896 3145 - RCL CAMPING E TURISM 29/11/2024 LQ 618,47 618,47"
"Pago título: 2400003920 1222 - SOCIEDADE COMUNITARI 29/11/2024 LQ 598,71 598,71"
"Pago título: 2400003940 5082 - ELLOS EMPREENDIMENTO 29/11/2024 LQ 592,85 592,85"
"Pago título: 2400003948 85 - ASSOCIACAO PROPRIETARI 29/11/2024 LQ 591,93 591,93"
"Pago título: 2400004108 7194 - EMBAVI - EMPRESA BRA 29/11/2024 LQ 548,94 548,94"
"Pago título: 2400004248 523 - CONDOMINIO RESIDENCIA 29/11/2024 LQ 506,88 506,88"
"Pago título: 2400004344 5443 - ASSOC DOS PROP E MOR 29/11/2024 LQ 461,11 461,11"
"Pago título: 2400004345 5443 - ASSOC DOS PROP E MOR 19/12/2024 LQ 461,11 461,11"
"Pago título: 2400004748 7850 - CONDOMINIO RESIDENCI 29/11/2024 LQ 359,62 359,62"
"Pago título: 2400004792 2069 - TRANSPORTES  21 LTDA 29/11/2024 LQ 351,32 351,32"
"Pago título: 2400005096 3929 - MINERACAO SAMAMBAIA 29/11/2024 LQ 303,29 303,29"
"Pago título: 9000008212 7883 - ASSOCIACAO NOVA DIST 29/11/2024 LQ 201,23 201,23"
