"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458502511202423443.ret"
""
"Cadastrado título novo: 9000008408 74 - UNILEVER BRASIL INDUST 29/11/2024 RG 8367,72 0"
"Pago título: 2400001508 3642 - CONDOMINIO RESIDENCI 29/11/2024 LQ 265,01 265,01"
"Pago título: 2400001511 1809 - ASSOCIACAO RESIDENCI 29/11/2024 LQ 264,36 264,36"
"Pago título: 2400001655 524 - CONDOMINIO EDIFICIO C 29/11/2024 LQ 243,97 243,97"
"Pago título: 2400001724 7776 - HEDGE LOGISTICA FUND 29/11/2024 LQ 234,91 234,91"
"Pago título: 2400001850 2169 - ASSOCIACAO DE PROPRI 29/11/2024 LQ 219,58 219,58"
"Pago título: 2400001880 6886 - CONDOMINIO RESIDENCI 29/11/2024 LQ 217,51 217,51"
"Pago título: 2400002108 1132 - CIA SANEAMENTO BASIC 29/11/2024 LQ 30607,04 30607,04"
"Pago título: 2400002200 856 - PREFEITURA MUNICIPAL 29/11/2024 LQ 9192,86 9192,86"
"Pago título: 2400002356 1128 - CIA SANEAMENTO BASIC 29/11/2024 LQ 4202,57 4202,57"
"Pago título: 2400002556 7778 - SSB ENERGIA RENOVAVE 29/11/2024 LQ 2508,97 2508,97"
"Pago título: 2400002568 358 - ASSOCIACAO AMIGOS MAR 29/11/2024 LQ 2438,59 2438,59"
"Pago título: 2400002624 4330 - CPD LOCADORA DE VEIC 29/11/2024 LQ 2195,75 2195,75"
"Pago título: 2400002680 7846 - KLABIN S.A. 29/11/2024 LQ 2049,37 2049,37"
"Pago título: 2400002903 3622 - CONDOMINIO CAPELA DO 31/10/2024 LQ 1466,7 1508,25"
"Pago título: 2400002976 254 - SOCIEDADE HIPICA DE C 29/11/2024 LQ 1323,98 1323,98"
"Pago título: 2400002992 7308 - MARIA CRISTINA RODRI 29/11/2024 LQ 1317,44 1317,44"
"Pago título: 2400003096 59 - FUND CPQD - CENTRO PES 29/11/2024 LQ 1204,05 1204,05"
"Pago título: 2400003100 1789 - CENTRAIS DE ABASTECI 29/11/2024 LQ 1194,72 1194,72"
"Pago título: 2400003132 3899 - ASSOCIACAO RESIDENCI 29/11/2024 LQ 1158,01 1158,01"
"Pago título: 2400003168 1490 - AGUA SANTO ANTONIO L 29/11/2024 LQ 1121,47 1121,47"
"Pago título: 2400003420 3333 - AUREO ALESSANDRO DA 29/11/2024 LQ 875,69 875,69"
"Pago título: 2400003616 7733 - ASSOC PROP LOT FECH 29/11/2024 LQ 731,92 731,92"
"Pago título: 2400003832 1972 - SINDICATO DOS TRAB I 29/11/2024 LQ 640,86 640,86"
"Pago título: 2400003984 5558 - PARKLOG ADMINISTRADO 29/11/2024 LQ 585,53 585,53"
"Pago título: 2400004012 3336 - CONDOMINIO RESIDENCI 29/11/2024 LQ 577,18 577,18"
"Pago título: 2400004176 3779 - SOCIEDADE JARDIM VIL 29/11/2024 LQ 528,44 528,44"
"Pago título: 2400004196 1675 - ASSOCIACAO DOS MORAD 29/11/2024 LQ 522,59 522,59"
"Pago título: 2400004228 4830 - CONDOMINIO RESIDENCI 29/11/2024 LQ 512,34 512,34"
"Pago título: 2400004596 7711 - PAULO SETUBAL NETO 29/11/2024 LQ 386,46 386,46"
"Pago título: 2400004688 5982 - ASSOCIACAO DOS MORAD 29/11/2024 LQ 365,96 365,96"
"Pago título: 2400004744 6768 - CONDOMINIO RESIDENCI 29/11/2024 LQ 359,62 359,62"
"Pago título: 2400004772 1936 - IVO ZARZUR ADMINISTR 29/11/2024 LQ 354,9 354,9"
"Pago título: 2400004904 2304 - LAZARO MELLO BRANDAO 29/11/2024 LQ 329,73 329,73"
"Pago título: 2400004928 3124 - BARREIRENSE PRODUTOS 29/11/2024 LQ 329,36 329,36"
"Pago título: 2400005360 3680 - T & K LOCACOES DE QU 29/11/2024 LQ 256,17 256,17"
"Pago título: 2400005364 5290 - ASSOC DE PROPR E MOR 29/11/2024 LQ 256,17 256,17"
"Pago título: 2400005448 1092 - PREFEITURA MUNICIPAL 29/11/2024 LQ 243,89 243,89"
"Pago título: 2400005608 6890 - SP TINTAS E COMERCIO 29/11/2024 LQ 219,58 219,58"
"Pago título: 2400005624 1375 - IGREJA DO EVANGELHO 29/11/2024 LQ 219,58 219,58"
"Pago título: 2400005756 3150 - QUARTZO MINERACAO LT 29/11/2024 LQ 211,76 211,76"
"Pago título: 2400005836 5754 - ASSOCIACAO DOS PROPR 29/11/2024 LQ 204,94 204,94"
"Pago título: 9000008402 4280 - YARA BRASIL FERTILIZ 29/11/2024 LQ 678,63 678,63"
