"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458522611202421052.ret"
""
"Cadastrado título novo: 9000008409 7382 - EMBALIXO INDUSTRIA E 29/11/2024 RG 2140,39 0"
"Pago título: 2400005496 2657 - INDUSTRIAS NARDINI S 29/11/2024 LQ 234,07 234,07"
"Pago título: 2400001706 3527 - CARFAM EMPREENDIMENT 29/11/2024 LQ 238,54 238,54"
"Pago título: 2400001763 6791 - ASSOCIACAO DOS PROPR 29/11/2024 LQ 231,61 231,61"
"Pago título: 2400001787 3734 - ASSOCIACAO DE PROP C 29/11/2024 LQ 230,31 230,31"
"Pago título: 2400001913 3569 - CONDOMINIO RESIDENCI 29/11/2024 LQ 212,26 212,26"
"Pago título: 2400001916 2495 - HOTEL NACIONAL INN L 29/11/2024 LQ 211,96 211,96"
"Pago título: 2400002447 7813 - EMPREEND. IMOB. JARD 31/10/2024 LQ 3296,63 3391,1"
"Pago título: 2400002748 1145 - JOBEMA DISTRIBUIDORA 29/11/2024 LQ 1828,18 1828,18"
"Pago título: 2400002944 3060 - ASSOCIACAO DOS PROPR 29/11/2024 LQ 1427,24 1427,24"
"Pago título: 2400003204 2410 - COND CENTRO DE LOGIS 29/11/2024 LQ 1097,88 1097,88"
"Pago título: 2400003252 477 - TERRA DO PARAISO LTDA 29/11/2024 LQ 1053,96 1053,96"
"Pago título: 2400003276 2655 - JOAO CARLOS LEME RIB 29/11/2024 LQ 1030,72 1030,72"
"Pago título: 2400003412 5040 - CONDOMINIO GARNET 29/11/2024 LQ 878,3 878,3"
"Pago título: 2400003520 2478 - ASSOC DOS PROPRIETAR 29/11/2024 LQ 792,94 792,94"
"Pago título: 2400003592 3954 - MARCO ANTONIO TONOLI 29/11/2024 LQ 731,92 731,92"
"Pago título: 2400003876 342 - IPE AGRO AVICOLA LTDA 29/11/2024 LQ 625,67 625,67"
"Pago título: 2400003928 4129 - TERRAPLANAGEM PARAIZ 29/11/2024 LQ 596,15 596,15"
"Pago título: 2400004364 149 - GREEN GOLF CLUB 29/11/2024 LQ 445,96 445,96"
"Pago título: 2400004956 3594 - CPM CONCRETO DE PRE 29/11/2024 LQ 327,07 327,07"
"Pago título: 2400005540 450 - CONDOMINIO CHACARAS D 29/11/2024 LQ 229,09 229,09"
"Pago título: 9000008382 3060 - ASSOCIACAO DOS PROPR 29/11/2024 LQ 2955,37 2955,37"
