"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458562811202420912.ret"
""
"Cadastrado título novo: 9000008413 1249 - ESTANCIA PARQUE ATIB 31/12/2024 RG 2312,24 0"
"Cadastrado título novo: 9000008414 2239 - CERAMICA RAMOS LTDA 31/12/2024 RG 1606,88 0"
"Cadastrado título novo: 9000008415 6923 - PAULO CASTEJON GUERR 29/11/2024 RG 19726,71 0"
"Cadastrado título novo: 9000008416 3644 - IBG CRYO INDUSTRIA D 31/12/2024 RG 8281,68 0"
"Cadastrado título novo: 9000008417 3032 - CONDOMINIO VILLAGE S 29/11/2024 RG 2227,9 0"
"Cadastrado título novo: 9000008418 591 - UMICORE BRASIL LTDA 31/12/2024 RG 1093,76 0"
"Cadastrado título novo: 9000008419 1145 - JOBEMA DISTRIBUIDORA 29/11/2024 RG 1902,24 0"
"Pago título: 2400001382 4012 - CONDOMINIO RESIDENCI 31/10/2024 LQ 219,57 226"
"Pago título: 2400001685 3177 - CONCREVIP CONCRETARI 29/11/2024 LQ 239,99 239,99"
"Pago título: 2400001733 3211 - DENILSON BISPO 29/11/2024 LQ 234,21 234,21"
"Pago título: 2400001751 4694 - WALDIR PARISE E OUTR 29/11/2024 LQ 233,08 233,08"
"Pago título: 2400001784 115 - MARELLI SISTEMAS AUTO 29/11/2024 LQ 230,37 230,37"
"Pago título: 2400001847 2875 - ASSOCIACAO DE MORADO 29/11/2024 LQ 219,58 219,58"
"Pago título: 2400001856 4872 - CONDOMINIO CAMPINAS 29/11/2024 LQ 219,58 219,58"
"Pago título: 2400001949 4056 - ASSOCIACAO DOS PROPR 29/11/2024 LQ 204,93 204,93"
"Pago título: 2400001964 3448 - CONDOMINIO CENTER LO 29/11/2024 LQ 202,43 202,43"
"Pago título: 2400002248 1405 - ASSOCIACAO LOTEAMENT 29/11/2024 LQ 6409,87 6409,87"
"Pago título: 2400002252 417 - EMBRAMACO EMPRESA BRA 29/11/2024 LQ 6067,19 6067,19"
"Pago título: 2400002288 2289 - ADVANCE INDUSTRIA TE 29/11/2024 LQ 5166,36 5166,36"
"Pago título: 2400002332 1575 - SO AGUA COMERCIO E S 29/11/2024 LQ 4389,97 4389,97"
"Pago título: 2400002360 3384 - FRIGODELISS LTDA 29/11/2024 LQ 4103,92 4103,92"
"Pago título: 2400002456 5076 - CLUBE DE CAMPO FAZEN 29/11/2024 LQ 3235,07 3235,07"
"Pago título: 2400002552 7784 - BRACELL SP CELULOSE 29/11/2024 LQ 2536,72 2536,72"
"Pago título: 2400002756 157 - CONDOMINIO TECH TOWN 29/11/2024 LQ 1812,23 1812,23"
"Pago título: 2400002780 421 - MARTINREA HONSEL BRAS 29/11/2024 LQ 1734,67 1734,67"
"Pago título: 2400002808 375 - CAPUAVA S/A INDUSTRIA 29/11/2024 LQ 1632,71 1632,71"
"Pago título: 2400002864 861 - HUDTELFA TEXTILE TECH 29/11/2024 LQ 1517,58 1517,58"
"Pago título: 2400002988 4014 - ASSOC DOS PROPRIETAR 29/11/2024 LQ 1317,45 1317,45"
"Pago título: 2400003116 7797 - JD RES P DAS LARANJE 29/11/2024 LQ 1186,15 1186,15"
"Pago título: 2400003188 356 - ESTANCIA ARVORE DA VI 29/11/2024 LQ 1110,27 1110,27"
"Pago título: 2400003200 1249 - ESTANCIA PARQUE ATIB 29/11/2024 LQ 1105,59 1105,59"
"Pago título: 2400003248 6849 - ASSOCIACAO DOS MORAD 29/11/2024 LQ 1061,28 1061,28"
"Pago título: 2400003456 7822 - ASSOC CONDOMINIOS RE 29/11/2024 LQ 836,88 836,88"
"Pago título: 2400003500 7816 - PRACAS DO HARAS 1 EM 29/11/2024 LQ 802,39 802,39"
"Pago título: 2400003556 7764 - ASSOCIACAO BUSINESS 29/11/2024 LQ 755,64 755,64"
"Pago título: 2400003620 4631 - AGROPECUARIA CAPUAVA 29/11/2024 LQ 731,92 731,92"
"Pago título: 2400003636 6692 - CONDOMINIO EMPRESARI 29/11/2024 LQ 729,71 729,71"
"Pago título: 2400003652 2906 - TRANSPORTADORA H2O L 29/11/2024 LQ 724,57 724,57"
"Pago título: 2400003688 3926 - HWT PROMOCOES ESPORT 29/11/2024 LQ 709,96 709,96"
"Pago título: 2400003696 2773 - SOCIEDADE DE ARMAZEN 29/11/2024 LQ 705,26 705,26"
"Pago título: 2400003704 3660 - SO AGUA COMERCIAL E 29/11/2024 LQ 702,64 702,64"
"Pago título: 2400003752 7854 - ARKEMA COATEX BRASIL 29/11/2024 LQ 666,66 666,66"
"Pago título: 2400003800 5035 - CLOSURE SYSTEMS INTE 29/11/2024 LQ 658,73 658,73"
"Pago título: 2400003844 841 - MAGNETI MARELLI SISTE 29/11/2024 LQ 638,85 638,85"
"Pago título: 2400003852 1082 - LENA & CIA LTDA 29/11/2024 LQ 638,15 638,15"
"Pago título: 2400003892 46 - ASSOCIACAO DE MORADORE 29/11/2024 LQ 622,13 622,13"
"Pago título: 2400003924 5323 - ERCA INDUSTRIA E COM 29/11/2024 LQ 596,9 596,9"
"Pago título: 2400004004 1902 - KENJI EXTRACAO E COM 29/11/2024 LQ 580,12 580,12"
"Pago título: 2400004064 1749 - USINA PAULISTA DE BR 29/11/2024 LQ 565,24 565,24"
"Pago título: 2400004112 5803 - ASSOCIACAO DOS AMIGO 29/11/2024 LQ 548,94 548,94"
"Pago título: 2400004152 6784 - CONDOMINIO RESIDENCI 29/11/2024 LQ 535,89 535,89"
"Pago título: 2400004320 2962 - CONDOMINIO VITORIA D 29/11/2024 LQ 474,28 474,28"
"Pago título: 2400004432 7829 - ACNL LOTEADORA E PAR 29/11/2024 LQ 435,16 435,16"
"Pago título: 2400004544 3994 - ASSOCIACAO RESERVA D 29/11/2024 LQ 395,24 395,24"
"Pago título: 2400004552 1742 - CONDOMINIO SERANILA 29/11/2024 LQ 395,23 395,23"
"Pago título: 2400004980 3516 - JOSE JORGE BERARDINE 29/11/2024 LQ 322,04 322,04"
"Pago título: 2400005172 7294 - ASSOCIACAO DE PROPRI 29/11/2024 LQ 292,77 292,77"
"Pago título: 2400005292 2389 - JOFEGE CONCRETO LTDA 29/11/2024 LQ 269,63 269,63"
"Pago título: 2400005324 4973 - ASSOCIACAO DOS PROPR 29/11/2024 LQ 263,49 263,49"
"Pago título: 2400005368 3424 - ASSOCIACAO DOS PROP. 29/11/2024 LQ 256,17 256,17"
"Pago título: 2400005388 853 - TAKASAGO FRANGANCIAS 29/11/2024 LQ 255,34 255,34"
"Pago título: 2400005412 2280 - TINTURARIA SANTA ADE 29/11/2024 LQ 250,46 250,46"
"Pago título: 2400005436 3827 - STAVIAS SATANOSKI TE 29/11/2024 LQ 246,65 246,65"
"Pago título: 2400005588 1854 - TRANSPORTADORA ORQUI 29/11/2024 LQ 222,5 222,5"
"Pago título: 2400005589 1854 - TRANSPORTADORA ORQUI 19/12/2024 LQ 222,5 222,5"
"Pago título: 2400005648 3298 - ASSOC DO CONJUNTO RE 29/11/2024 LQ 219,58 219,58"
"Pago título: 2400005672 3663 - ASSOCIACAO DOS ADQ L 29/11/2024 LQ 219,58 219,58"
"Pago título: 2400005712 3459 - JOFEGE CONCRETO LTDA 29/11/2024 LQ 215,36 215,36"
"Pago título: 2400005768 4509 - EXTRACAO E COMERCIO 29/11/2024 LQ 210,79 210,79"
"Pago título: 2400005828 7361 - GENCONS EMPREENDIMEN 29/11/2024 LQ 204,94 204,94"
"Pago título: 9000008125 1105 - RECAM RC LTDA 28/11/2025 LQ 2012,77 2012,77"
"Pago título: 9000008217 7884 - ASSOCIACAO DE CONSER 29/11/2024 LQ 292,77 292,77"
"Pago título: 9000008275 7887 - ASS MOR. E PROP. LOT 29/11/2024 LQ 590,35 590,35"
"Pago título: 9000008351 2156 - HENKEL LTDA 29/11/2024 LQ 1884,54 1884,54"
"Pago título: 9000008400 7797 - JD RES P DAS LARANJE 29/11/2024 LQ 2456,16 2456,16"
"Pago título: 9000008401 7893 - NUCTECH DO BRASIL LT 29/11/2024 LQ 2181,34 2181,34"
"Cancelado título: 2400002304 529 - OWENS CORNING FIBERGL 29/11/2024 BX 4954,08 0"
"Cancelado título: 2400002305 529 - OWENS CORNING FIBERGL 19/12/2024 BX 4954,08 0"
